optimizer,learning_rate,credit_rule,compatible,step,gradient_cosine,gradient_relative_error,path_capture
adam,0.01,broadcast_projection,False,0,0.9923428609570427,0.0973090017373101,0.9902987927514361
adam,0.01,broadcast_projection,False,10,0.9820238152021586,0.1665393925070068,0.9861535293465044
adam,0.01,broadcast_projection,False,100,0.9502946812665306,0.30752721692853796,0.9200047706735378
adam,0.01,broadcast_projection,False,300,0.9396524411885684,0.32355635880873806,0.915482413435221
adam,0.01,broadcast_projection,False,1000,0.9386250120494324,0.3353843385208875,0.9124873677943626
adam,0.01,broadcast_projection,True,0,0.9940719523279079,0.08879588771327514,0.9902987927514361
adam,0.01,broadcast_projection,True,10,0.9877827294395581,0.14292082155667,0.9862736855738014
adam,0.01,broadcast_projection,True,100,0.942198848642574,0.3308863531000631,0.9057330356686902
adam,0.01,broadcast_projection,True,300,0.9390850982946805,0.3361820382623307,0.9019770546409025
adam,0.01,broadcast_projection,True,1000,0.9365348800415183,0.34853595078441607,0.9021172203217476
adam,0.01,calibrated_broadcast,False,0,0.9918669545161631,0.10211019778773833,0.9891946155478262
adam,0.01,calibrated_broadcast,False,10,0.9804127201491764,0.1749826707742959,0.9848252379479479
adam,0.01,calibrated_broadcast,False,100,0.9453872324386159,0.3292525842532745,0.9115259637549925
adam,0.01,calibrated_broadcast,False,300,0.93418665433104,0.35049407819071743,0.9066440480937376
adam,0.01,calibrated_broadcast,False,1000,0.9361791205517286,0.354627857355618,0.9023903060280521
adam,0.01,calibrated_broadcast,True,0,0.9936838208723096,0.09340645057263713,0.9891946155478262
adam,0.01,calibrated_broadcast,True,10,0.9867926879780362,0.15011833622462817,0.9849030349177921
adam,0.01,calibrated_broadcast,True,100,0.9357566302844107,0.36157535359426096,0.896951652089411
adam,0.01,calibrated_broadcast,True,300,0.9348402733520677,0.35886101371531026,0.893229960016799
adam,0.01,calibrated_broadcast,True,1000,0.9335444732759315,0.3689179807202673,0.8931205810020053
adam,0.01,exact_path,False,0,1.0,0.0,1.0
adam,0.01,exact_path,False,10,1.0,0.0,1.0
adam,0.01,exact_path,False,100,1.0,0.0,1.0
adam,0.01,exact_path,False,300,1.0,0.0,1.0
adam,0.01,exact_path,False,1000,1.0,0.0,1.0
adam,0.01,exact_path,True,0,1.0,0.0,1.0
