optimizer,learning_rate,contrast,mean_difference,ci95_low,ci95_high,positive_seeds,n_seed_blocks
adam,0.01,incompatible_minus_compatible__exact_path,0.028771099038964076,0.026919237813972745,0.03072541687344338,20,20
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,0.03135063514324757,0.02874948931624078,0.03429146102071889,20,20
adam,0.01,incompatible_minus_compatible__subtree_projection,0.030016848771667555,0.02784486554931856,0.03238966631083638,20,20
adam,0.01,incompatible_minus_compatible__broadcast_projection,0.031183318493772455,0.02864895556484993,0.034025323484441004,20,20
adam,0.01,calibrated_broadcast_minus_exact_path__compatible_True,5.92903617134598e-05,-8.243972076893415e-06,0.00015435883323929655,10,20
adam,0.01,broadcast_projection_minus_exact_path__compatible_True,9.7348387148217e-05,6.1753646785409535e-06,0.00023576378282983053,11,20
adam,0.01,subtree_projection_minus_exact_path__compatible_True,3.314658395669597e-05,-8.12763248107175e-06,8.028302595391494e-05,8,20
adam,0.01,calibrated_broadcast_minus_subtree_projection__compatible_True,2.6143777756763835e-05,-6.676545485002993e-06,7.980332493310445e-05,10,20
adam,0.01,broadcast_projection_minus_subtree_projection__compatible_True,6.420180319152101e-05,8.74555226608633e-06,0.00016103242639503812,16,20
adam,0.01,calibrated_broadcast_minus_exact_path__compatible_False,0.0026388264659969385,0.0015927893701682778,0.0038492062372519373,20,20
adam,0.01,broadcast_projection_minus_exact_path__compatible_False,0.00250956784195659,0.0015329365962598964,0.003627448306165772,20,20
adam,0.01,subtree_projection_minus_exact_path__compatible_False,0.0012788963166601567,0.000777849825811163,0.0018762624021704565,20,20
adam,0.01,calibrated_broadcast_minus_subtree_projection__compatible_False,0.0013599301493367824,0.0008020063829355463,0.0020038517979693313,20,20
adam,0.01,broadcast_projection_minus_subtree_projection__compatible_False,0.0012306715252964331,0.0007404196658598258,0.0017836931322510157,20,20
sgd,0.3,incompatible_minus_compatible__exact_path,0.0287095309701694,0.02685722451626947,0.03064640531605558,20,20
sgd,0.3,incompatible_minus_compatible__calibrated_broadcast,0.030994349597720044,0.028503938611191302,0.03382317039086366,20,20
sgd,0.3,incompatible_minus_compatible__subtree_projection,0.02992106727656469,0.027735299512438603,0.03232143235877323,20,20
sgd,0.3,incompatible_minus_compatible__broadcast_projection,0.030807741758928597,0.028373466631816332,0.033580750721093504,20,20
sgd,0.3,calibrated_broadcast_minus_exact_path__compatible_True,0.0003924755502580189,0.00022977804076970462,0.0005842344174325126,17,20
sgd,0.3,broadcast_projection_minus_exact_path__compatible_True,0.000492489939304372,0.00027744789319729185,0.0007644214532566293,18,20
sgd,0.3,subtree_projection_minus_exact_path__compatible_True,0.0002651158403089361,0.0001374343233996295,0.00040904257784682587,16,20
sgd,0.3,calibrated_broadcast_minus_subtree_projection__compatible_True,0.00012735970994908282,3.720941949820546e-05,0.00023895007463360125,14,20
sgd,0.3,broadcast_projection_minus_subtree_projection__compatible_True,0.00022737409899543587,7.641560796377194e-05,0.00043836458729636763,16,20
sgd,0.3,calibrated_broadcast_minus_exact_path__compatible_False,0.0026772941778086686,0.0017031440889904046,0.0038361362281296905,20,20
sgd,0.3,broadcast_projection_minus_exact_path__compatible_False,0.002590700728063576,0.0016666404295262712,0.0036689750720490153,20,20
sgd,0.3,subtree_projection_minus_exact_path__compatible_False,0.0014766521467042327,0.0009130768102206773,0.0021655304073208556,20,20
sgd,0.3,calibrated_broadcast_minus_subtree_projection__compatible_False,0.0012006420311044357,0.0007647606719975662,0.0017169440339336345,20,20
sgd,0.3,broadcast_projection_minus_subtree_projection__compatible_False,0.0011140485813593433,0.0007223189205568392,0.001562443494597297,20,20
