optimizer,learning_rate,contrast,seed,difference
adam,0.01,incompatible_minus_compatible__exact_path,15400,0.03104953971999038
adam,0.01,incompatible_minus_compatible__exact_path,15401,0.031301975079547906
adam,0.01,incompatible_minus_compatible__exact_path,15402,0.02228424586739297
adam,0.01,incompatible_minus_compatible__exact_path,15403,0.0233528158872211
adam,0.01,incompatible_minus_compatible__exact_path,15404,0.039611670938425596
adam,0.01,incompatible_minus_compatible__exact_path,15405,0.03213838105923598
adam,0.01,incompatible_minus_compatible__exact_path,15406,0.032414591825525564
adam,0.01,incompatible_minus_compatible__exact_path,15407,0.030422222301061747
adam,0.01,incompatible_minus_compatible__exact_path,15408,0.03562758409564611
adam,0.01,incompatible_minus_compatible__exact_path,15409,0.0304326736809111
adam,0.01,incompatible_minus_compatible__exact_path,15410,0.026779913400095938
adam,0.01,incompatible_minus_compatible__exact_path,15411,0.028173610729837064
adam,0.01,incompatible_minus_compatible__exact_path,15412,0.025632553218797312
adam,0.01,incompatible_minus_compatible__exact_path,15413,0.026576261086510716
adam,0.01,incompatible_minus_compatible__exact_path,15414,0.029057988909050633
adam,0.01,incompatible_minus_compatible__exact_path,15415,0.02969971597461828
adam,0.01,incompatible_minus_compatible__exact_path,15416,0.025947781087385796
adam,0.01,incompatible_minus_compatible__exact_path,15417,0.021724529530604816
adam,0.01,incompatible_minus_compatible__exact_path,15418,0.023753941283460218
adam,0.01,incompatible_minus_compatible__exact_path,15419,0.029439985103962448
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15400,0.03139822358729252
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15401,0.03169530031917175
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15402,0.024791418836720796
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15403,0.02471337333796663
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15404,0.04946216633432226
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15405,0.03291723569154318
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15406,0.03736835465140527
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15407,0.032118985388519546
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15408,0.04319850170479048
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15409,0.03560351351840189
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15410,0.03036220195724841
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15411,0.02831376429762868
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15412,0.026823163591732698
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15413,0.030666766200537023
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15414,0.03215043710225663
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15415,0.031396854274200955
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15416,0.028545196959208385
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15417,0.02171046313386195
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15418,0.02402699165329012
adam,0.01,incompatible_minus_compatible__calibrated_broadcast,15419,0.029749790324852084
adam,0.01,incompatible_minus_compatible__subtree_projection,15400,0.03130098175486212
adam,0.01,incompatible_minus_compatible__subtree_projection,15401,0.0316059526273315
adam,0.01,incompatible_minus_compatible__subtree_projection,15402,0.023422082277427078
adam,0.01,incompatible_minus_compatible__subtree_projection,15403,0.023989273765666785
adam,0.01,incompatible_minus_compatible__subtree_projection,15404,0.044788201508045765
adam,0.01,incompatible_minus_compatible__subtree_projection,15405,0.03258493606485415
adam,0.01,incompatible_minus_compatible__subtree_projection,15406,0.03446263539743811
adam,0.01,incompatible_minus_compatible__subtree_projection,15407,0.031147734771887817
adam,0.01,incompatible_minus_compatible__subtree_projection,15408,0.03844173156424018
adam,0.01,incompatible_minus_compatible__subtree_projection,15409,0.033400535002723886
adam,0.01,incompatible_minus_compatible__subtree_projection,15410,0.02849354032247685
adam,0.01,incompatible_minus_compatible__subtree_projection,15411,0.028243463006868794
adam,0.01,incompatible_minus_compatible__subtree_projection,15412,0.026197051375123268
adam,0.01,incompatible_minus_compatible__subtree_projection,15413,0.02840615427718596
adam,0.01,incompatible_minus_compatible__subtree_projection,15414,0.030580973677337694
adam,0.01,incompatible_minus_compatible__subtree_projection,15415,0.03055992915409392
adam,0.01,incompatible_minus_compatible__subtree_projection,15416,0.027563668048177857
adam,0.01,incompatible_minus_compatible__subtree_projection,15417,0.021744673715965168
adam,0.01,incompatible_minus_compatible__subtree_projection,15418,0.023790350826641334
adam,0.01,incompatible_minus_compatible__subtree_projection,15419,0.02961310629500265
adam,0.01,incompatible_minus_compatible__broadcast_projection,15400,0.03123180000691388
adam,0.01,incompatible_minus_compatible__broadcast_projection,15401,0.03168241438857298
adam,0.01,incompatible_minus_compatible__broadcast_projection,15402,0.02452535904903611
adam,0.01,incompatible_minus_compatible__broadcast_projection,15403,0.0245659835347564
adam,0.01,incompatible_minus_compatible__broadcast_projection,15404,0.048621687307860685
adam,0.01,incompatible_minus_compatible__broadcast_projection,15405,0.032846053217328856
adam,0.01,incompatible_minus_compatible__broadcast_projection,15406,0.037360750940185386
adam,0.01,incompatible_minus_compatible__broadcast_projection,15407,0.031954116219477885
adam,0.01,incompatible_minus_compatible__broadcast_projection,15408,0.04243535847069103
adam,0.01,incompatible_minus_compatible__broadcast_projection,15409,0.035452172226385636
adam,0.01,incompatible_minus_compatible__broadcast_projection,15410,0.03021650406923305
adam,0.01,incompatible_minus_compatible__broadcast_projection,15411,0.028288488763219002
adam,0.01,incompatible_minus_compatible__broadcast_projection,15412,0.026733714611724073
adam,0.01,incompatible_minus_compatible__broadcast_projection,15413,0.03060737770234413
adam,0.01,incompatible_minus_compatible__broadcast_projection,15414,0.03203343239668469
adam,0.01,incompatible_minus_compatible__broadcast_projection,15415,0.031221629846861366
adam,0.01,incompatible_minus_compatible__broadcast_projection,15416,0.028366414735619166
adam,0.01,incompatible_minus_compatible__broadcast_projection,15417,0.02181479476681015
adam,0.01,incompatible_minus_compatible__broadcast_projection,15418,0.0240183152329958
adam,0.01,incompatible_minus_compatible__broadcast_projection,15419,0.029690002388748853
adam,0.01,calibrated_broadcast_minus_exact_path__compatible_True,15400,0.0008102852954446666
adam,0.01,calibrated_broadcast_minus_exact_path__compatible_True,15401,-0.0001244756197904
