cohort,seed,family,step,structure,optimizer,rate,rule,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,exact,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,exact,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,exact,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,broadcast,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,broadcast,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,broadcast,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,broadcast,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,global_projection,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,global_projection,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,global_projection,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,global_projection,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,subtree_projection,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,subtree_projection,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,subtree_projection,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,subtree_projection,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,shuffled_projection,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,shuffled_projection,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,shuffled_projection,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,sgd,0.03,shuffled_projection,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.003,broadcast,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.003,broadcast,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.003,broadcast,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.003,broadcast,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.01,exact,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
frozen_algebraic_replay,127202,matching,0,compatible,adam,0.01,exact,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
