cohort,seed,family,step,structure,optimizer,rate,rule,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
frozen_algebraic_replay,127214,matching,0,compatible,adam,0.01,shuffled_projection,parameter_gradient_nonroot,24,2.8872430517748584,3.9029799147983906,7,8,0.4339088826795584
frozen_algebraic_replay,127214,matching,0,compatible,adam,0.03,subtree_projection,path_q,6,0.4544191777738062,2.6678389769343887,3,3,0.4956715402802388
frozen_algebraic_replay,127214,matching,0,compatible,adam,0.03,subtree_projection,loss_credit,6,0.541838877305855,2.6031323804312927,3,3,0.5152003678581961
frozen_algebraic_replay,127214,matching,0,compatible,adam,0.03,subtree_projection,parameter_jacobian_nonroot,24,2.154576370618064,5.778878839168122,8,8,0.2930775528589428
frozen_algebraic_replay,127214,matching,0,compatible,adam,0.03,subtree_projection,parameter_gradient_nonroot,24,2.8872430517748584,3.9029799147983906,7,8,0.4339088826795584
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,exact,path_q,6,0.41006511379367366,2.657350737103682,3,3,0.49935858008289397
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,exact,loss_credit,6,0.4732458714040086,2.6143233980020693,3,3,0.511563382311311
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,24,1.9411986462257507,5.781182396293332,8,8,0.2924564043457169
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,exact,parameter_gradient_nonroot,24,2.501459220537818,3.9922005194991996,7,8,0.4263910559441802
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,broadcast,path_q,6,0.4022381609139574,2.6389471492017265,3,3,0.5053416397691591
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,broadcast,loss_credit,6,0.4600811336485211,2.6164692530327187,3,3,0.5097539767313994
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,broadcast,parameter_jacobian_nonroot,24,1.9130303493668757,5.752089418663479,8,8,0.2931237109233278
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,broadcast,parameter_gradient_nonroot,24,2.4506635212360144,3.972293512443571,7,8,0.4283362792292482
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,global_projection,path_q,6,0.41544334924831233,2.6655123753972427,3,3,0.49688520395998825
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,global_projection,loss_credit,6,0.48414356588699464,2.6085845941843506,3,3,0.5136667496058956
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,global_projection,parameter_jacobian_nonroot,24,1.969156622104813,5.778884581640927,8,8,0.29294000068411286
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,global_projection,parameter_gradient_nonroot,24,2.5674515655279,3.9456218818190467,7,8,0.430908969066972
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,subtree_projection,path_q,6,0.41376456208341716,2.660911794139952,3,3,0.49835169111701627
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,subtree_projection,loss_credit,6,0.480643425084922,2.6093051049249056,3,3,0.5131929913362518
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,subtree_projection,parameter_jacobian_nonroot,24,1.9609446664880235,5.7779235258466395,8,8,0.2927845907316467
