seed,phase,optimizer,rate_scope,rule,contrast,value
2101,fresh,adam,selected,unit_broadcast,target_gap,0.7842135108819345
2102,fresh,adam,selected,unit_broadcast,target_gap,0.4607163147627008
2103,fresh,adam,selected,unit_broadcast,target_gap,0.9954070061760071
2104,fresh,adam,selected,unit_broadcast,target_gap,0.9919494700311342
2105,fresh,adam,selected,unit_broadcast,target_gap,0.7541519072237564
2106,fresh,adam,selected,unit_broadcast,target_gap,0.026184610741346658
2107,fresh,adam,selected,unit_broadcast,target_gap,0.6893264051234538
2108,fresh,adam,selected,unit_broadcast,target_gap,0.5603407986024002
2109,fresh,adam,selected,unit_broadcast,target_gap,0.9970615339462302
2110,fresh,adam,selected,unit_broadcast,target_gap,0.7220835491334632
2111,fresh,adam,selected,unit_broadcast,target_gap,0.5953046705523866
2112,fresh,adam,selected,unit_broadcast,target_gap,1.001494097325199
2113,fresh,adam,selected,unit_broadcast,target_gap,1.008024080661977
2114,fresh,adam,selected,unit_broadcast,target_gap,0.8602134358813182
2115,fresh,adam,selected,unit_broadcast,target_gap,0.07616306732485331
2116,fresh,adam,selected,unit_broadcast,target_gap,0.933596891754289
2117,fresh,adam,selected,unit_broadcast,target_gap,0.9954362507394519
2118,fresh,adam,selected,unit_broadcast,target_gap,0.6023090773826996
2119,fresh,adam,selected,unit_broadcast,target_gap,0.10116056632535883
2120,fresh,adam,selected,unit_broadcast,target_gap,0.1340993360133361
2101,fresh,adam,selected,unit_broadcast,control_gap,0.00024168441587035273
2102,fresh,adam,selected,unit_broadcast,control_gap,0.0013855286853123917
2103,fresh,adam,selected,unit_broadcast,control_gap,0.0002766808327123824
2104,fresh,adam,selected,unit_broadcast,control_gap,0.00033231354722064715
2105,fresh,adam,selected,unit_broadcast,control_gap,0.0009185311101456566
2106,fresh,adam,selected,unit_broadcast,control_gap,0.0005823589884164215
2107,fresh,adam,selected,unit_broadcast,control_gap,7.779547963582278e-06
2108,fresh,adam,selected,unit_broadcast,control_gap,0.0011187497148649073
2109,fresh,adam,selected,unit_broadcast,control_gap,0.0006182576578754208
2110,fresh,adam,selected,unit_broadcast,control_gap,5.3818089773668167e-05
2111,fresh,adam,selected,unit_broadcast,control_gap,0.0009884635699932095
2112,fresh,adam,selected,unit_broadcast,control_gap,8.923127240145414e-06
2113,fresh,adam,selected,unit_broadcast,control_gap,0.0006003209652419831
2114,fresh,adam,selected,unit_broadcast,control_gap,6.471450742330048e-05
2115,fresh,adam,selected,unit_broadcast,control_gap,0.0002694764289007979
2116,fresh,adam,selected,unit_broadcast,control_gap,0.0025434926349823875
2117,fresh,adam,selected,unit_broadcast,control_gap,9.624872239317176e-05
2118,fresh,adam,selected,unit_broadcast,control_gap,0.0013041321441971561
2119,fresh,adam,selected,unit_broadcast,control_gap,0.0010251709773614114
2120,fresh,adam,selected,unit_broadcast,control_gap,0.0004662844724636738
2101,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.7839718264660641
2102,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.4593307860773884
2103,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.9951303253432947
2104,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.9916171564839136
2105,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.7532333761136107
2106,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.02560225175293024
2107,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.6893186255754902
2108,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.5592220488875352
2109,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.9964432762883548
2110,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.7220297310436895
2111,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.5943162069823934
2112,fresh,adam,selected,unit_broadcast,task_difference_in_gap,1.0014851741979587
2113,fresh,adam,selected,unit_broadcast,task_difference_in_gap,1.007423759696735
2114,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.8601487213738949
2115,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.07589359089595252
2116,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.9310533991193065
2117,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.9953400020170586
2118,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.6010049452385025
2119,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.10013539534799742
2120,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.13363305154087243
2101,fresh,adam,selected,calibrated_broadcast,target_gap,0.7842133455286511
2102,fresh,adam,selected,calibrated_broadcast,target_gap,0.46071583843649333
2103,fresh,adam,selected,calibrated_broadcast,target_gap,0.9954070149429134
2104,fresh,adam,selected,calibrated_broadcast,target_gap,0.991949464901994
2105,fresh,adam,selected,calibrated_broadcast,target_gap,0.7541518205462274
2106,fresh,adam,selected,calibrated_broadcast,target_gap,0.026184675884982557
2107,fresh,adam,selected,calibrated_broadcast,target_gap,0.6893264618156598
2108,fresh,adam,selected,calibrated_broadcast,target_gap,0.5603408258828614
2109,fresh,adam,selected,calibrated_broadcast,target_gap,0.9970615325029973
2110,fresh,adam,selected,calibrated_broadcast,target_gap,0.7220831410309887
2111,fresh,adam,selected,calibrated_broadcast,target_gap,0.5953045805049866
2112,fresh,adam,selected,calibrated_broadcast,target_gap,1.0014940463112287
2113,fresh,adam,selected,calibrated_broadcast,target_gap,1.008024084700732
2114,fresh,adam,selected,calibrated_broadcast,target_gap,0.8602111392583085
2115,fresh,adam,selected,calibrated_broadcast,target_gap,0.07616323168008021
2116,fresh,adam,selected,calibrated_broadcast,target_gap,0.9335994335956932
2117,fresh,adam,selected,calibrated_broadcast,target_gap,0.9954362426195217
2118,fresh,adam,selected,calibrated_broadcast,target_gap,0.6023092667735479
2119,fresh,adam,selected,calibrated_broadcast,target_gap,0.10116073594078293
2120,fresh,adam,selected,calibrated_broadcast,target_gap,0.13409950276418708
2101,fresh,adam,selected,calibrated_broadcast,control_gap,0.00024168091287395273
2102,fresh,adam,selected,calibrated_broadcast,control_gap,0.0013855305468359917
2103,fresh,adam,selected,calibrated_broadcast,control_gap,0.0002767008730135824
2104,fresh,adam,selected,calibrated_broadcast,control_gap,0.00033231849394074715
2105,fresh,adam,selected,calibrated_broadcast,control_gap,0.0009185213434464565
2106,fresh,adam,selected,calibrated_broadcast,control_gap,0.0005823498508343214
2107,fresh,adam,selected,calibrated_broadcast,control_gap,7.781056430624819e-06
2108,fresh,adam,selected,calibrated_broadcast,control_gap,0.0011187513162721073
2109,fresh,adam,selected,calibrated_broadcast,control_gap,0.0006182259543101209
2110,fresh,adam,selected,calibrated_broadcast,control_gap,5.3818847617768866e-05
2111,fresh,adam,selected,calibrated_broadcast,control_gap,0.0009879966230472094
2112,fresh,adam,selected,calibrated_broadcast,control_gap,8.939371244025376e-06
2113,fresh,adam,selected,calibrated_broadcast,control_gap,0.0006003206054659831
2114,fresh,adam,selected,calibrated_broadcast,control_gap,6.471286963789018e-05
2115,fresh,adam,selected,calibrated_broadcast,control_gap,0.0002694819025286979
2116,fresh,adam,selected,calibrated_broadcast,control_gap,0.0025434987312939875
2117,fresh,adam,selected,calibrated_broadcast,control_gap,9.624155332107176e-05
2118,fresh,adam,selected,calibrated_broadcast,control_gap,0.0013041552230704562
2119,fresh,adam,selected,calibrated_broadcast,control_gap,0.0010251742684490113
2120,fresh,adam,selected,calibrated_broadcast,control_gap,0.0004662875954443738
2101,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.7839716646157772
2102,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.45933030788965734
2103,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.9951303140698998
2104,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.9916171464080532
2105,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.7532332992027809
2106,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.025602326034148234
2107,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.6893186807592292
2108,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.5592220745665892
2109,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.9964433065486872
2110,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.7220293221833709
2111,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.5943165838819394
2112,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,1.0014851069399846
2113,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,1.0074237640952661
2114,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.8601464263886706
2115,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.07589374977755152
2116,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.9310559348643992
2117,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.9953400010662006
2118,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.6010051115504774
2119,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.10013556167233391
2120,fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,0.13363321516874271
2101,fresh,adam,selected,ancestry_three_oracle,target_gap,-8.700137864546796e-07
2102,fresh,adam,selected,ancestry_three_oracle,target_gap,1.178576384984857e-06
2103,fresh,adam,selected,ancestry_three_oracle,target_gap,4.2182693502060144e-07
2104,fresh,adam,selected,ancestry_three_oracle,target_gap,9.580819179085662e-08
2105,fresh,adam,selected,ancestry_three_oracle,target_gap,1.375034116356285e-08
2106,fresh,adam,selected,ancestry_three_oracle,target_gap,1.489616594433791e-07
2107,fresh,adam,selected,ancestry_three_oracle,target_gap,1.8996907570653097e-07
2108,fresh,adam,selected,ancestry_three_oracle,target_gap,-4.842251503772756e-07
2109,fresh,adam,selected,ancestry_three_oracle,target_gap,2.2686146006362727e-06
2110,fresh,adam,selected,ancestry_three_oracle,target_gap,-1.0415369425621381e-06
2111,fresh,adam,selected,ancestry_three_oracle,target_gap,2.116148029250002e-06
2112,fresh,adam,selected,ancestry_three_oracle,target_gap,1.587213938075314e-07
2113,fresh,adam,selected,ancestry_three_oracle,target_gap,1.1502723874347995e-06
2114,fresh,adam,selected,ancestry_three_oracle,target_gap,-3.288912362201745e-06
2115,fresh,adam,selected,ancestry_three_oracle,target_gap,1.7831002012456803e-07
2116,fresh,adam,selected,ancestry_three_oracle,target_gap,2.461953470658725e-07
