seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
201,aligned_strong,development,adam,exact,0.003,False,False,4096,0.0006440140773302,0.0006501089861311,0.9897592295034716,0.9430758574597008,1.1202819496051295,0.6060477216282045,0.9013116887347564,0.989925365037231,0.9618741617695006,1.0791497150289622,0.6240358459242332,0.9301121419125068,0.8535136567802899,0.929363017443633
201,aligned_strong,development,adam,exact,0.01,False,False,4096,0.0001901992367979,0.0001927324635576,0.9903541871199054,0.9331214968113426,1.1426110414145023,0.598334312435423,0.9000122142934481,0.9904216077118414,0.9404892540721196,1.1260480561162138,0.6077478864078398,0.9170829853406524,0.8446141636210234,0.9027304928805076
201,aligned_strong,development,adam,exact,0.03,False,False,4096,3.0494617928916392e-05,2.9974151911650588e-05,0.991843197195022,0.91702876944872,1.1794873156300154,0.5843245564966872,0.8931919177738202,0.9919436732537734,0.9372727628220074,1.1332537071802942,0.5998086653724211,0.9227522621213556,0.8188200463875883,0.9013976756929876
201,aligned_strong,development,adam,unit_broadcast,0.003,False,False,4096,0.0010856297435569,0.0011067532880241,0.995295309430888,0.948462944571262,1.1083549705851463,0.6134766590817257,0.9158023128700494,0.995403315147252,0.9608742105625604,1.0813030978296865,0.6252683795314347,0.9325731537079788,0.871883360800184,0.928611537214895
201,aligned_strong,development,adam,unit_broadcast,0.01,False,False,4096,0.0003927953381208,0.0003912905285304,0.9948784284728812,0.9372377571349892,1.133332342574894,0.602762099251749,0.9098854361663404,0.9949220547590334,0.9413840943512032,1.1240503829264183,0.6094543455730211,0.9203175616868406,0.8558801578455335,0.8951217938279235
201,aligned_strong,development,adam,unit_broadcast,0.03,False,False,4096,0.0001949824194688,0.0002006663058767,0.998021721897738,0.9179836201571184,1.177273054336419,0.5832954402368707,0.9069614178546588,0.9980337776329236,0.928003745363843,1.1542353814288513,0.5905198365377551,0.9203315618448557,0.8326445066000052,0.8807217718091644
201,aligned_strong,development,adam,calibrated_broadcast,0.003,False,False,4096,0.0010856303892478,0.0011067538063359,0.9952953215780824,0.9484629239966224,1.1083550159246276,0.6134766206289816,0.9158023352070864,0.9954033271295564,0.9608742106056865,1.0813030977367302,0.6252683288055908,0.9325731681054208,0.8718833840590704,0.9286115378698018
201,aligned_strong,development,adam,calibrated_broadcast,0.01,False,False,4096,0.0003927967150028,0.0003912921128362,0.9948784770908636,0.9372378449284784,1.1333321453532867,0.6027622245123833,0.909885597905974,0.9949221024546762,0.9413840782773156,1.124050418783022,0.6094543699286267,0.9203175450556166,0.855880383497547,0.8951213251673158
201,aligned_strong,development,adam,calibrated_broadcast,0.03,False,False,4096,0.0001949812622967,0.0002006662544034,0.9980219110356884,0.9179836609592978,1.177272959787404,0.5832949344158985,0.9069618623707928,0.9980339691062298,0.9280035525654464,1.1542358211727393,0.590518900016839,0.9203313694359808,0.8326455320158214,0.8807234550811758
201,aligned_strong,development,adam,ancestry_three_oracle,0.003,False,False,4096,0.0006391481810265,0.0006451530929403,0.988134499462254,0.9445513685083574,1.117004128907368,0.6071407506838208,0.8981470472001886,0.988309241972002,0.9628942867898516,1.076956928098736,0.6266089604811511,0.9285947126851088,0.8506564376307204,0.9308300689786184
201,aligned_strong,development,adam,ancestry_three_oracle,0.01,False,False,4096,0.000195803845876,0.0001976918317249,0.9891814561660196,0.934439612911391,1.1396328875873727,0.5989286299281492,0.8977431373819816,0.9892442503533184,0.940921783586989,1.1250820822833263,0.6085708497525397,0.914736868684078,0.8430344553043504,0.9034442323391928
201,aligned_strong,development,adam,ancestry_three_oracle,0.03,False,False,4096,3.484114924920939e-05,3.399414875676439e-05,0.9931090968584568,0.916486525206204,1.180746207278592,0.5834148761467132,0.8954864843271182,0.9931982813047028,0.9342635705599543,1.1400302620220264,0.5964954974846254,0.9210328031756192,0.8212217673517277,0.8943308155920231
201,aligned_strong,development,sgd,exact,0.03,False,False,4096,0.0029835855218891,0.0029972491005733,0.987069225172235,0.9276900674849816,1.1549510142120574,0.53730565496285,0.8976909505159587,0.9867162983739324,0.9268504581121444,1.1568683025190496,0.5452907222279255,0.907522424444851,0.8477596756573016,0.842038117338854
201,aligned_strong,development,sgd,exact,0.1,False,False,4096,0.0005956800052301,0.0006242632356071,0.9914135183430796,0.9199180451751175,1.1727972089359706,0.5389961665612172,0.8993529638972015,0.9909837575681,0.925978379619406,1.1588624775399867,0.5532048283397992,0.9152270059395434,0.8394436340773709,0.8680160384264641
201,aligned_strong,development,sgd,exact,0.3,False,False,4096,0.0001844023529681,0.000198196576151,0.9926063866626168,0.9153012147021564,1.1835017052192989,0.5376251587847642,0.8981817009136077,0.9926632928712068,0.9171294103356497,1.1792537798567266,0.535622866638619,0.8960176870454143,0.8295596177679876,0.8344884168827968
