phase,optimizer,rate_scope,rule,contrast,n,mean,ci_low,ci_high,n_positive,n_negative
fresh,adam,selected,unit_broadcast,target_gap,20,0.6644618290291648,0.5113321115072224,0.8046994233745753,20,0
fresh,adam,selected,unit_broadcast,control_gap,20,0.0006451465070176333,0.0004004206179733443,0.0009321709928866312,20,0
fresh,adam,selected,unit_broadcast,task_difference_in_gap,20,0.6638166825221472,0.5106204280067955,0.804260591521022,20,0
fresh,adam,selected,calibrated_broadcast,target_gap,20,0.6644618192811418,0.5113319432647467,0.8046992457976951,20,0
fresh,adam,selected,calibrated_broadcast,control_gap,20,0.000645124396953919,0.0004004202961868905,0.0009321495670466979,20,0
fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,20,0.6638166948841879,0.5106206056654092,0.8042602021981505,20,0
fresh,adam,selected,ancestry_three_oracle,target_gap,20,4.0210029141486925e-07,-6.131909506602665e-07,1.4653263831285363e-06,14,6
fresh,adam,selected,ancestry_three_oracle,control_gap,20,2.93929509310477e-06,1.7261974380424767e-06,4.402525437723491e-06,19,1
fresh,adam,selected,ancestry_three_oracle,task_difference_in_gap,20,-2.537194801689901e-06,-4.102093342847782e-06,-1.1817742257405063e-06,2,18
fresh,adam,common,unit_broadcast,target_gap,20,0.6644618290291648,0.5113321115072224,0.8046994233745753,20,0
fresh,adam,common,unit_broadcast,control_gap,20,0.0006451465070176333,0.0004004206179733443,0.0009321709928866312,20,0
fresh,adam,common,unit_broadcast,task_difference_in_gap,20,0.6638166825221472,0.5106204280067955,0.804260591521022,20,0
fresh,adam,common,calibrated_broadcast,target_gap,20,0.6644618192811418,0.5113319432647467,0.8046992457976951,20,0
fresh,adam,common,calibrated_broadcast,control_gap,20,0.000645124396953919,0.0004004202961868905,0.0009321495670466979,20,0
fresh,adam,common,calibrated_broadcast,task_difference_in_gap,20,0.6638166948841879,0.5106206056654092,0.8042602021981505,20,0
fresh,adam,common,ancestry_three_oracle,target_gap,20,4.0210029141486925e-07,-6.131909506602665e-07,1.4653263831285363e-06,14,6
fresh,adam,common,ancestry_three_oracle,control_gap,20,2.93929509310477e-06,1.7261974380424767e-06,4.402525437723491e-06,19,1
fresh,adam,common,ancestry_three_oracle,task_difference_in_gap,20,-2.537194801689901e-06,-4.102093342847782e-06,-1.1817742257405063e-06,2,18
fresh,sgd,selected,unit_broadcast,target_gap,20,0.664515220842253,0.5144721258675468,0.810208877420523,20,0
fresh,sgd,selected,unit_broadcast,control_gap,20,0.000980934984264031,0.0004947734751519313,0.001527694137174909,16,4
fresh,sgd,selected,unit_broadcast,task_difference_in_gap,20,0.663534285857989,0.5133381477934689,0.8093732092904413,20,0
fresh,sgd,selected,calibrated_broadcast,target_gap,20,0.7500756525881914,0.6241536512183745,0.8669624650535854,20,0
fresh,sgd,selected,calibrated_broadcast,control_gap,20,0.0015680927168071034,0.0008497225431249281,0.002397955826409717,20,0
fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,20,0.7485075598713843,0.6225320394476175,0.8653818880758086,20,0
fresh,sgd,selected,ancestry_three_oracle,target_gap,20,-2.3471054199580013e-06,-4.421899113273851e-06,-6.880435639183744e-07,6,14
fresh,sgd,selected,ancestry_three_oracle,control_gap,20,-1.073876544675616e-05,-1.993545377638263e-05,-3.922325231048567e-06,2,18
fresh,sgd,selected,ancestry_three_oracle,task_difference_in_gap,20,8.39166002679816e-06,2.222065144953209e-06,1.622709529535984e-05,15,5
fresh,sgd,common,unit_broadcast,target_gap,20,0.664515220842253,0.5144721258675468,0.810208877420523,20,0
fresh,sgd,common,unit_broadcast,control_gap,20,0.000980934984264031,0.0004947734751519313,0.001527694137174909,16,4
fresh,sgd,common,unit_broadcast,task_difference_in_gap,20,0.663534285857989,0.5133381477934689,0.8093732092904413,20,0
fresh,sgd,common,calibrated_broadcast,target_gap,20,0.7500756525881914,0.6241536512183745,0.8669624650535854,20,0
fresh,sgd,common,calibrated_broadcast,control_gap,20,0.0015680927168071034,0.0008497225431249281,0.002397955826409717,20,0
fresh,sgd,common,calibrated_broadcast,task_difference_in_gap,20,0.7485075598713843,0.6225320394476175,0.8653818880758086,20,0
fresh,sgd,common,ancestry_three_oracle,target_gap,20,-2.3471054199580013e-06,-4.421899113273851e-06,-6.880435639183744e-07,6,14
fresh,sgd,common,ancestry_three_oracle,control_gap,20,-1.073876544675616e-05,-1.993545377638263e-05,-3.922325231048567e-06,2,18
fresh,sgd,common,ancestry_three_oracle,task_difference_in_gap,20,8.39166002679816e-06,2.222065144953209e-06,1.622709529535984e-05,15,5
extension,adam,selected,unit_broadcast,target_gap,20,0.6282255746409551,0.46426320328519294,0.7749857454659882,20,0
extension,adam,selected,unit_broadcast,control_gap,20,0.00046122903474843277,0.00022946249982981365,0.0007577353611626542,20,0
extension,adam,selected,unit_broadcast,task_difference_in_gap,20,0.6277643456062068,0.463910931228323,0.7744938965730517,20,0
extension,adam,selected,calibrated_broadcast,target_gap,20,0.6282254639189156,0.46426319096166613,0.7749856101957201,20,0
extension,adam,selected,calibrated_broadcast,control_gap,20,0.0004613107678393515,0.00022956034761028476,0.0007578223912000121,20,0
extension,adam,selected,calibrated_broadcast,task_difference_in_gap,20,0.6277641531510765,0.4639109828810445,0.7744937655173034,20,0
extension,adam,selected,ancestry_three_oracle,target_gap,20,6.549992449791645e-07,-2.897480263907616e-07,2.3977933271575703e-06,4,16
extension,adam,selected,ancestry_three_oracle,control_gap,20,6.2096568539761e-10,-2.442413028994137e-07,2.9511275746048003e-07,6,14
extension,adam,selected,ancestry_three_oracle,task_difference_in_gap,20,6.543782792937666e-07,-4.654836280051504e-07,2.56112790070075e-06,10,10
extension,adam,common,unit_broadcast,target_gap,20,0.6282255746409551,0.46426320328519294,0.7749857454659882,20,0
extension,adam,common,unit_broadcast,control_gap,20,0.00046122903474843277,0.00022946249982981365,0.0007577353611626542,20,0
extension,adam,common,unit_broadcast,task_difference_in_gap,20,0.6277643456062068,0.463910931228323,0.7744938965730517,20,0
extension,adam,common,calibrated_broadcast,target_gap,20,0.6282254639189156,0.46426319096166613,0.7749856101957201,20,0
extension,adam,common,calibrated_broadcast,control_gap,20,0.0004613107678393515,0.00022956034761028476,0.0007578223912000121,20,0
extension,adam,common,calibrated_broadcast,task_difference_in_gap,20,0.6277641531510765,0.4639109828810445,0.7744937655173034,20,0
extension,adam,common,ancestry_three_oracle,target_gap,20,6.549992449791645e-07,-2.897480263907616e-07,2.3977933271575703e-06,4,16
extension,adam,common,ancestry_three_oracle,control_gap,20,6.2096568539761e-10,-2.442413028994137e-07,2.9511275746048003e-07,6,14
extension,adam,common,ancestry_three_oracle,task_difference_in_gap,20,6.543782792937666e-07,-4.654836280051504e-07,2.56112790070075e-06,10,10
extension,sgd,selected,unit_broadcast,target_gap,20,0.6262239279842373,0.4639783074285234,0.7803245770378113,20,0
extension,sgd,selected,unit_broadcast,control_gap,20,0.0007424828752384517,0.0004144129483832062,0.0011004969927832064,16,4
extension,sgd,selected,unit_broadcast,task_difference_in_gap,20,0.625481445108999,0.4632149836265178,0.7795024946364792,20,0
extension,sgd,selected,calibrated_broadcast,target_gap,20,0.7172969213049062,0.5875043483415175,0.839315753092881,20,0
extension,sgd,selected,calibrated_broadcast,control_gap,20,0.0011057042190215178,0.0006243375728147702,0.0016751396116377762,20,0
extension,sgd,selected,calibrated_broadcast,task_difference_in_gap,20,0.7161912170858845,0.5863317475997804,0.8383458043164381,20,0
extension,sgd,selected,ancestry_three_oracle,target_gap,20,-2.3480813735364104e-06,-4.332803543436652e-06,-5.114063810470569e-07,8,12
extension,sgd,selected,ancestry_three_oracle,control_gap,20,-5.466880624222741e-06,-7.463183752541365e-06,-3.6138373317390646e-06,0,20
extension,sgd,selected,ancestry_three_oracle,task_difference_in_gap,20,3.1187992506863315e-06,1.860177018651283e-06,4.462523369273908e-06,17,3
extension,sgd,common,unit_broadcast,target_gap,20,0.6262239279842373,0.4639783074285234,0.7803245770378113,20,0
extension,sgd,common,unit_broadcast,control_gap,20,0.0007424828752384517,0.0004144129483832062,0.0011004969927832064,16,4
extension,sgd,common,unit_broadcast,task_difference_in_gap,20,0.625481445108999,0.4632149836265178,0.7795024946364792,20,0
extension,sgd,common,calibrated_broadcast,target_gap,20,0.7172969213049062,0.5875043483415175,0.839315753092881,20,0
extension,sgd,common,calibrated_broadcast,control_gap,20,0.0011057042190215178,0.0006243375728147702,0.0016751396116377762,20,0
extension,sgd,common,calibrated_broadcast,task_difference_in_gap,20,0.7161912170858845,0.5863317475997804,0.8383458043164381,20,0
extension,sgd,common,ancestry_three_oracle,target_gap,20,-2.3480813735364104e-06,-4.332803543436652e-06,-5.114063810470569e-07,8,12
extension,sgd,common,ancestry_three_oracle,control_gap,20,-5.466880624222741e-06,-7.463183752541365e-06,-3.6138373317390646e-06,0,20
extension,sgd,common,ancestry_three_oracle,task_difference_in_gap,20,3.1187992506863315e-06,1.860177018651283e-06,4.462523369273908e-06,17,3
