partner_index,pre_pt_root_id,recording_id,session,scan_idx,field,unit_id,dandi_asset_id,dandi_path
0,864691136524348561,ses7_scan4_field8_unit12427,7,4,8,12427,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
1,864691136275334078,ses7_scan4_field2_unit2244,7,4,2,2244,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
2,864691136380816597,ses7_scan4_field6_unit9000,7,4,6,9000,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
3,864691135738969220,ses7_scan4_field2_unit2197,7,4,2,2197,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
4,864691135295414796,ses7_scan4_field4_unit5940,7,4,4,5940,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
5,864691136335276211,ses7_scan4_field6_unit9030,7,4,6,9030,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
6,864691135464671550,ses7_scan4_field2_unit2678,7,4,2,2678,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
7,864691135469339474,ses7_scan4_field2_unit2153,7,4,2,2153,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
8,864691135839950227,ses7_scan4_field2_unit2757,7,4,2,2757,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
9,864691136034487739,ses7_scan4_field2_unit2279,7,4,2,2279,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
10,864691135591111179,ses7_scan4_field2_unit2340,7,4,2,2340,e87d07fd-ef6a-4a73-a0a5-524838fbd5d1,sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb
