seed,family,structure,optimizer,rate,rule,step,test_nmse,population_nmse,variance,gradient_cosine,field_relative_squared_error,gradient_clipped_steps,parameter_projected_steps,parameter_norm,max_abs_parameter,centered_cut_bound,parameters,edges,depth,elapsed_seconds,selected_rate
127200,matching,compatible,sgd,0.03,exact,1024,0.0241013376571348,0.0021023847356506,1.0,1.0,0.0,0,0,2.6384559443542117,1.101418368710626,0.0,28,14,3,2.201541395043023,0.03
127200,matching,compatible,sgd,0.03,broadcast,1024,0.0221261070747514,0.0004949462471487,1.0,0.8501835710931365,1.6335051721813862,0,146,3.900386656326487,1.997229537854291,0.0,28,14,3,2.2015522780129686,0.03
127200,matching,compatible,sgd,0.03,global_projection,1024,0.274052091981606,0.2552312321238171,1.0,0.5927437166651194,0.1654122246002944,0,0,3.296644212052192,1.7766644973790646,0.0,28,14,3,2.2015610790112987,0.03
127200,matching,compatible,sgd,0.03,subtree_projection,1024,0.5517572031078357,0.5195559577350444,1.0,0.9243586965988908,0.0843365727678496,0,0,2.748126126528029,1.515920296272302,0.0,28,14,3,2.2015698089962825,0.03
127200,matching,compatible,sgd,0.03,shuffled_projection,1024,0.0387863254850703,0.0187626326076746,1.0,0.9643239441727518,0.0992473595094674,0,0,3.370154704163378,1.8343264092263976,0.0,28,14,3,2.201578692998737,0.03
127200,matching,compatible,adam,0.003,broadcast,1024,0.0221858891895236,0.0007067019696203,1.0,0.9067026672464626,0.9554459782579716,0,0,3.388594619437745,1.704978648911577,0.0,28,14,3,2.2015962669393048,0.003
127200,matching,compatible,adam,0.01,exact,1024,0.0250336318486319,0.0032890444369196,1.0,1.0,0.0,0,0,2.88828199693386,1.1371368713349042,0.0,28,14,3,2.201630276045762,0.01
127200,matching,compatible,adam,0.01,global_projection,1024,0.0236780152242013,0.001792604158068,1.0,0.9996056089476693,0.0066077969724165,0,84,4.357589818066824,1.976273388855192,0.0,28,14,3,2.201649599941448,0.01
127200,matching,compatible,adam,0.01,shuffled_projection,1024,0.0227005316168983,0.0009299622166299,1.0,0.997543079037144,0.0110320911579351,0,0,3.6261383472623736,1.67903235005255,0.0,28,14,3,2.201671901973896,0.01
127200,matching,compatible,adam,0.03,subtree_projection,1024,0.0253670286364652,0.0035333192843827,1.0,0.9877964946964224,0.0488923321534826,0,146,4.240818447590885,1.994794440231556,0.0,28,14,3,2.2017059760401025,0.03
127200,matching,assignment_shuffled,sgd,0.03,exact,1024,0.7629641360333965,0.751765775596217,1.0,1.0,0.0,0,0,2.1170999450853114,0.9262214458568568,0.5,28,14,3,2.201816370943561,0.03
127200,matching,assignment_shuffled,sgd,0.03,broadcast,1024,0.7637695855855238,0.7518709989572726,1.0,0.6281438820203434,4.565195874125623,0,0,3.3157533564358026,1.9716860412209287,0.5,28,14,3,2.201824999996461,0.03
127200,matching,assignment_shuffled,sgd,0.03,global_projection,1024,0.9922103997236834,0.9578049792536664,1.0,0.5339564287779925,0.1900392115130844,0,0,2.2490293095604623,1.0394374798225274,0.5,28,14,3,2.201833690982312,0.03
127200,matching,assignment_shuffled,sgd,0.03,subtree_projection,1024,0.9710238390866608,0.938490563384412,1.0,0.7063525876817026,0.1594055039559507,0,0,2.2597931205344066,1.090541939734848,0.5,28,14,3,2.2018422910477966,0.03
127200,matching,assignment_shuffled,sgd,0.03,shuffled_projection,1024,0.8764065095868612,0.8366782273030489,1.0,0.1003632089801442,0.3334671888150437,0,0,2.265723053221921,1.212998993630367,0.5,28,14,3,2.2018509979825467,0.03
127200,matching,assignment_shuffled,adam,0.003,broadcast,1024,0.7648131179029016,0.7533414377280129,1.0,0.6616745824723241,3.8042010458366287,0,0,2.8106845752810026,1.4797396973242516,0.5,28,14,3,2.2018704609945416,0.003
127200,matching,assignment_shuffled,adam,0.01,exact,1024,0.534932178928264,0.5107056707419404,1.0,1.0,0.0,0,0,2.5439495697644885,1.2797912667952849,0.5,28,14,3,2.2019047630019486,0.01
127200,matching,assignment_shuffled,adam,0.01,global_projection,1024,0.6151258710917485,0.5933968779276952,1.0,0.775900451389844,0.4224384161568219,0,46,3.918165606964565,2.0,0.5,28,14,3,2.201921846019104,0.01
127200,matching,assignment_shuffled,adam,0.01,shuffled_projection,1024,0.7701045769730472,0.7576359653385911,1.0,0.9694866656896188,0.2398264889162535,0,0,3.3500968550215235,1.526536860882963,0.5,28,14,3,2.2019395669922237,0.01
127200,matching,assignment_shuffled,adam,0.03,subtree_projection,1024,0.5629995919151529,0.5427153990635449,1.0,0.991386655163094,0.1390597940569125,0,216,4.616167616828185,2.0,0.5,28,14,3,2.2019776509841904,0.03
127200,quartet,compatible,sgd,0.03,exact,1024,0.0446453238107221,0.0008015360923533,0.5,1.0000000000000002,0.0,0,0,2.584423734463745,1.3317889292983631,0.0,28,14,3,2.2016596439061686,0.03
127200,quartet,compatible,sgd,0.03,broadcast,1024,0.5256650168102563,0.4826521478595414,0.5,0.1823703697166425,2.1631748476784183,0,0,2.631960714945069,0.9839672992025272,0.0,28,14,3,2.2016704719280824,0.03
127200,quartet,compatible,sgd,0.03,global_projection,1024,0.9026283012434038,0.8656569858458255,0.5,0.7404572014907624,0.2538487598793925,0,0,2.082005391579432,0.8220147137955675,0.0,28,14,3,2.2016794339288026,0.03
127200,quartet,compatible,sgd,0.03,subtree_projection,1024,0.3776638942916386,0.3340768355661687,0.5,0.8855773249086107,0.4321028541640172,0,0,2.4842622548896305,0.9775586249509772,0.0,28,14,3,2.2016894789412618,0.03
127200,quartet,compatible,sgd,0.03,shuffled_projection,1024,0.5422533597027471,0.4975372940314675,0.5,0.7811616889947076,0.3860047850147658,0,0,2.225686351315832,1.1024992505076514,0.0,28,14,3,2.2016982989152893,0.03
127200,quartet,compatible,adam,0.003,broadcast,1024,0.6751703874722204,0.6295356176678837,0.5,0.2041676187085523,2.102688562349884,0,0,2.471212641345461,1.098786779076356,0.0,28,14,3,2.2017153629567474,0.003
127200,quartet,compatible,adam,0.01,exact,1024,0.04611489919551,0.0026730524065303,0.5,1.0000000000000002,0.0,0,0,2.858416501172653,1.6905373657504137,0.0,28,14,3,2.201749754953198,0.01
127200,quartet,compatible,adam,0.01,global_projection,1024,0.0474963636536898,0.0040986669863126,0.5,0.7846617103253005,0.5775672235975577,0,0,2.7677780649276484,1.200905352381593,0.0,28,14,3,2.201769935898483,0.01
127200,quartet,compatible,adam,0.01,shuffled_projection,1024,0.0479042553247621,0.0040592164040412,0.5,0.7837023041662811,0.6082823091339534,0,191,3.505554359520741,1.9900557897657565,0.0,28,14,3,2.201789859915152,0.01
127200,quartet,compatible,adam,0.03,subtree_projection,1024,0.0505913595563876,0.0076227456334447,0.5,0.952530873411534,0.3197611595378173,0,17,3.862809467136631,1.8045880842377304,0.0,28,14,3,2.2018241689074785,0.03
