family,structure,optimizer,rule,rate,test_nmse
nested,assignment_shuffled,sgd,shuffled_projection,0.03,0.9786021902722141
nested,assignment_shuffled,sgd,subtree_projection,0.003,1.0273040293878688
nested,assignment_shuffled,sgd,subtree_projection,0.01,1.0128160419528747
nested,assignment_shuffled,sgd,subtree_projection,0.03,0.9809779677723904
nested,compatible,adam,broadcast,0.003,0.7537785199626961
nested,compatible,adam,broadcast,0.01,0.7899286937336241
nested,compatible,adam,broadcast,0.03,0.9247980034410086
nested,compatible,adam,exact,0.003,0.0230561818435076
nested,compatible,adam,exact,0.01,0.024468267602726947
nested,compatible,adam,exact,0.03,0.027737260823253583
nested,compatible,adam,global_projection,0.003,0.5628025223814614
nested,compatible,adam,global_projection,0.01,0.5412822599421074
nested,compatible,adam,global_projection,0.03,0.5274325871392649
nested,compatible,adam,shuffled_projection,0.003,0.3726889351890864
nested,compatible,adam,shuffled_projection,0.01,0.27697178526062227
nested,compatible,adam,shuffled_projection,0.03,0.18646864344293923
nested,compatible,adam,subtree_projection,0.003,0.4673663625741929
nested,compatible,adam,subtree_projection,0.01,0.4655701248400459
nested,compatible,adam,subtree_projection,0.03,0.37909665055560926
nested,compatible,sgd,broadcast,0.003,0.825752632653965
nested,compatible,sgd,broadcast,0.01,0.7568874655371823
nested,compatible,sgd,broadcast,0.03,0.7550241531815046
nested,compatible,sgd,exact,0.003,0.8195868739448597
nested,compatible,sgd,exact,0.01,0.5741827983347861
nested,compatible,sgd,exact,0.03,0.16331306117806604
nested,compatible,sgd,global_projection,0.003,0.9337256478028515
nested,compatible,sgd,global_projection,0.01,0.851382523406923
nested,compatible,sgd,global_projection,0.03,0.6830823689688583
nested,compatible,sgd,shuffled_projection,0.003,0.9219585197653026
nested,compatible,sgd,shuffled_projection,0.01,0.8118069556847336
nested,compatible,sgd,shuffled_projection,0.03,0.5780075465299438
nested,compatible,sgd,subtree_projection,0.003,0.8422599138338445
nested,compatible,sgd,subtree_projection,0.01,0.710405591587987
nested,compatible,sgd,subtree_projection,0.03,0.5930602865723035
quartet,assignment_shuffled,adam,broadcast,0.003,1.0521748427708233
quartet,assignment_shuffled,adam,broadcast,0.01,1.0600624162031436
quartet,assignment_shuffled,adam,broadcast,0.03,1.2052615174690255
quartet,assignment_shuffled,adam,exact,0.003,0.6994486634880601
quartet,assignment_shuffled,adam,exact,0.01,0.5614336544473899
quartet,assignment_shuffled,adam,exact,0.03,0.5773421749894491
quartet,assignment_shuffled,adam,global_projection,0.003,0.9379709372837255
quartet,assignment_shuffled,adam,global_projection,0.01,0.8685940520091465
quartet,assignment_shuffled,adam,global_projection,0.03,0.8393206577968126
quartet,assignment_shuffled,adam,shuffled_projection,0.003,0.8456505357889188
quartet,assignment_shuffled,adam,shuffled_projection,0.01,0.6580124552885868
quartet,assignment_shuffled,adam,shuffled_projection,0.03,0.6550515755202777
quartet,assignment_shuffled,adam,subtree_projection,0.003,0.8885835367813565
quartet,assignment_shuffled,adam,subtree_projection,0.01,0.7467271679173239
quartet,assignment_shuffled,adam,subtree_projection,0.03,0.6530110089233214
quartet,assignment_shuffled,sgd,broadcast,0.003,1.0555182303529929
quartet,assignment_shuffled,sgd,broadcast,0.01,1.055282074632581
quartet,assignment_shuffled,sgd,broadcast,0.03,1.05938775227744
quartet,assignment_shuffled,sgd,exact,0.003,1.0265677024025548
quartet,assignment_shuffled,sgd,exact,0.01,0.9584923414698817
quartet,assignment_shuffled,sgd,exact,0.03,0.9029916726905052
quartet,assignment_shuffled,sgd,global_projection,0.003,1.0718504617059796
quartet,assignment_shuffled,sgd,global_projection,0.01,1.0353396209860815
