family,structure,optimizer,rule,mean_test_nmse,mean_population_nmse,n_seeds,mean_gradient_cosine
matching,assignment_shuffled,adam,broadcast,0.8200251115205258,0.7987428806223218,20,0.5134705990766942
matching,assignment_shuffled,adam,exact,0.5831608323483797,0.560585223617962,20,1.0
matching,assignment_shuffled,adam,global_projection,0.6619321826920995,0.6383052844878601,20,0.8510986649694496
matching,assignment_shuffled,adam,shuffled_projection,0.6559466356348083,0.6328176136716731,20,0.9083014652785014
matching,assignment_shuffled,adam,subtree_projection,0.6513343415357434,0.6261905039034946,20,0.9255307833013331
matching,assignment_shuffled,sgd,broadcast,0.825412524202895,0.8035131933880993,20,0.617756207824867
matching,assignment_shuffled,sgd,exact,0.6658063128741692,0.6422754007681377,20,1.0
matching,assignment_shuffled,sgd,global_projection,0.9511128456780387,0.9281812129097577,20,0.6624219662095647
matching,assignment_shuffled,sgd,shuffled_projection,0.8874427127329323,0.8639180048753252,20,0.7127926174412702
matching,assignment_shuffled,sgd,subtree_projection,0.8832616101853652,0.8589713896717072,20,0.6982031229796312
matching,compatible,adam,broadcast,0.04222798287595026,0.019913900746131894,20,0.8884144084335203
matching,compatible,adam,exact,0.024707765157280154,0.0023983449895753303,20,1.0
matching,compatible,adam,global_projection,0.02728959249275299,0.0049028062805415145,20,0.9889022108799287
matching,compatible,adam,shuffled_projection,0.0478931776851021,0.02628251755633839,20,0.9809473928193938
matching,compatible,adam,subtree_projection,0.09403667649406958,0.07160593534937407,20,0.9520077835982761
matching,compatible,sgd,broadcast,0.02292734484971587,0.000520420205352625,20,0.9251340047513927
matching,compatible,sgd,exact,0.05644046769811665,0.03412672367701754,20,1.0
matching,compatible,sgd,global_projection,0.422340916944695,0.4040910638822545,20,0.6358418031199046
matching,compatible,sgd,shuffled_projection,0.29009336752629283,0.27004764532776837,20,0.7629862216170367
matching,compatible,sgd,subtree_projection,0.516124272703936,0.4958720155432972,20,0.5771785206762405
nested,assignment_shuffled,adam,broadcast,0.993905199546519,0.9772636876082877,20,0.5852222904467423
nested,assignment_shuffled,adam,exact,0.6792803816598889,0.6611968138569233,20,1.0
nested,assignment_shuffled,adam,global_projection,0.8733982369340613,0.8516542321744728,20,0.8863899435586788
nested,assignment_shuffled,adam,shuffled_projection,0.8249989417656602,0.8023105463871317,20,0.8768429665426563
nested,assignment_shuffled,adam,subtree_projection,0.8764278977049195,0.8557850824135353,20,0.9209563135052523
nested,assignment_shuffled,sgd,broadcast,1.286459907999878,1.2783316933223363,20,0.7046133659239642
nested,assignment_shuffled,sgd,exact,0.8563807417215642,0.8412144683074037,20,1.0
nested,assignment_shuffled,sgd,global_projection,1.0002886538703284,0.9811442368045478,20,0.7937799610896421
nested,assignment_shuffled,sgd,shuffled_projection,0.9786021902722141,0.9598055999921771,20,0.7520537535774972
nested,assignment_shuffled,sgd,subtree_projection,0.9809779677723904,0.9618703070982549,20,0.7653531703369505
nested,compatible,adam,broadcast,0.7537785199626961,0.7342230579852624,20,0.5315009335012222
nested,compatible,adam,exact,0.024468267602726947,0.0019225260654197,20,1.0
nested,compatible,adam,global_projection,0.5412822599421074,0.5189708684084727,20,0.7913702590446812
nested,compatible,adam,shuffled_projection,0.27697178526062227,0.2548731834391452,20,0.7756235575469804
nested,compatible,adam,subtree_projection,0.37909665055560926,0.3542587215988377,20,0.7617291467764827
nested,compatible,sgd,broadcast,0.7550241531815046,0.735034020173121,20,0.511026640821046
nested,compatible,sgd,exact,0.16331306117806604,0.14136187230358363,20,1.0000000000000002
nested,compatible,sgd,global_projection,0.6830823689688583,0.6634026836599198,20,0.4985543466515708
nested,compatible,sgd,shuffled_projection,0.5780075465299438,0.5596823970405003,20,0.4745722941470566
nested,compatible,sgd,subtree_projection,0.5930602865723035,0.5726272973305626,20,0.6045437829084698
quartet,assignment_shuffled,adam,broadcast,1.0521748427708233,1.0035602447605831,20,0.609780689560711
quartet,assignment_shuffled,adam,exact,0.5614336544473899,0.5155116335745543,20,1.0
quartet,assignment_shuffled,adam,global_projection,0.8685940520091465,0.8198255295229104,20,0.8021437537100728
quartet,assignment_shuffled,adam,shuffled_projection,0.6580124552885868,0.613322662365513,20,0.8463473020074386
quartet,assignment_shuffled,adam,subtree_projection,0.6530110089233214,0.6043487949353307,20,0.9315909071882388
