run_dir,run_name,dataset,network_type,strategy,rule_variant,error_broadcast_mode,ie_value,loss_name,loss_value,layer_index,layer_name,parameter_group,cosine,sign_agreement,relative_l2,norm_ratio,best_scale,scaled_relative_l2,scale_mismatch,r2,numel
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_0,config_0,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.8596649169921875,0,core_network.layers.0.excitatory_cells.branch_layers.0,exc_syn,1.0000014305114746,1.0,1.0768132794094695e-07,1.0,1.0,1.0768132794094695e-07,0.0,0.9999999999999885,903168
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_0,config_0,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.8596649169921875,1,core_network.layers.0.excitatory_cells.branch_layers.1,exc_syn,1.0000003576278687,1.0,1.2215932267501758e-07,1.0,1.0000001192092896,1.5669247444566793e-07,0.0,0.9999999999999851,301056
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_0,config_0,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.8596649169921875,1,core_network.layers.0.excitatory_cells.branch_layers.1,dendritic_cond,1.0,1.0,3.906124972745102e-07,1.0,1.0,3.906124972745102e-07,0.0,0.9999999999998473,1152
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_0,config_0,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.8596649169921875,2,core_network.layers.0.excitatory_cells.branch_layers.2,dendritic_cond,1.0,1.0,4.6593329233577733e-07,1.0,0.9999998807907104,4.740570949818535e-07,0.0,0.9999999999997828,384
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,0,core_network.layers.0.excitatory_cells.branch_layers.0,exc_syn,1.0000001192092896,1.0,1.2752110424416307e-07,1.0,1.0,1.2752110424416307e-07,0.0,0.9999999999999838,903168
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,exc_syn,1.0000004768371582,1.0,1.201414203481037e-07,1.0,1.0,1.201414203481037e-07,0.0,0.9999999999999856,301056
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,dendritic_cond,1.0,1.0,3.5424379792379524e-07,1.0,0.9999998807907104,3.4468551817137816e-07,0.0,0.9999999999998745,1152
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,2,core_network.layers.0.excitatory_cells.branch_layers.2,dendritic_cond,1.000000238418579,1.0,2.2210859417213838e-07,1.0000002809146384,0.9999998211860657,9.868116032423585e-08,1.2199966022446918e-07,0.9999999999999507,384
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_10,config_10,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2831821143627167,0,core_network.layers.0.excitatory_cells.branch_layers.0,exc_syn,1.0000003576278687,1.0,9.369877586956633e-08,1.0000000602632177,0.9999998807907104,1.4266810002722569e-07,2.617198214166134e-08,0.9999999999999912,903168
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_10,config_10,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2831821143627167,0,core_network.layers.0.excitatory_cells.branch_layers.0,inh_syn,1.0,1.0,8.711609915524475e-08,1.0,1.0,8.711609915524475e-08,0.0,0.9999999999999925,903168
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_10,config_10,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2831821143627167,1,core_network.layers.0.excitatory_cells.branch_layers.1,exc_syn,1.000000238418579,1.0,1.0496772917947561e-07,0.9999998812944508,0.9999997615814209,3.246148066236687e-07,5.155316803479902e-08,0.999999999999989,301056
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_10,config_10,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2831821143627167,1,core_network.layers.0.excitatory_cells.branch_layers.1,inh_syn,0.9999999403953552,1.0,9.398986149166952e-08,1.0,0.9999995827674866,4.2849621386694794e-07,0.0,0.9999999999999911,301056
