run_dir,run_name,dataset,network_type,strategy,rule_variant,error_broadcast_mode,ie_value,loss_name,loss_value,layer_index,layer_name,path_gain_mean,path_gain_std,path_gain_cv,numel
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_12,config_12,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.36100900173187256,2,core_network.layers.0.excitatory_cells.branch_layers.2,1.0,0.0,0.0,32768
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_13,config_13,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2874906361103058,0,core_network.layers.0.excitatory_cells.branch_layers.0,0.102452352643013,0.026819512248039246,0.261775464947005,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_13,config_13,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2874906361103058,1,core_network.layers.0.excitatory_cells.branch_layers.1,0.32650426030158997,0.06927604973316193,0.21217502543204816,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_13,config_13,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2874906361103058,2,core_network.layers.0.excitatory_cells.branch_layers.2,1.0,0.0,0.0,32768
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_14,config_14,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.3005574643611908,0,core_network.layers.0.excitatory_cells.branch_layers.0,0.10211461037397385,0.0288812518119812,0.2828317290367121,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_14,config_14,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.3005574643611908,1,core_network.layers.0.excitatory_cells.branch_layers.1,0.32651379704475403,0.07069380581378937,0.21651092987075102,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_14,config_14,mnist,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.3005574643611908,2,core_network.layers.0.excitatory_cells.branch_layers.2,1.0,0.0,0.0,32768
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_15,config_15,noise_resilience,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2319093495607376,0,core_network.layers.0.excitatory_cells.branch_layers.0,0.10354577004909515,0.008213916793465614,0.07932643496273262,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_15,config_15,noise_resilience,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2319093495607376,1,core_network.layers.0.excitatory_cells.branch_layers.1,0.32668042182922363,0.017836641520261765,0.05459966477448133,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_15,config_15,noise_resilience,dendritic_shunting,local_ca,5f,per_soma,5,cat_nll,0.2319093495607376,2,core_network.layers.0.excitatory_cells.branch_layers.2,1.0,0.0,0.0,32768
