run_dir,run_name,dataset,network_type,strategy,rule_variant,error_broadcast_mode,ie_value,loss_name,loss_value,layer_index,layer_name,broadcast_mode,cosine,sign_agreement,relative_l2,norm_ratio,best_scale,scaled_relative_l2,scale_mismatch,r2,numel
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_0,config_0,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.8596649169921875,2,core_network.layers.0.excitatory_cells.branch_layers.2,path_transport,0.6711899042129517,0.999969482421875,51.555638087547216,52.221504978100945,0.012852744199335575,0.7412865888578043,1.7178493836544169,-2656.9789805421387,32768
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,0,core_network.layers.0.excitatory_cells.branch_layers.0,scalar,0.0035938287619501352,0.4285176694393158,19.317234916623146,19.294968134818763,0.00018626281234901398,0.9999897088003844,1.285444065680994,-372.14558451462796,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,0,core_network.layers.0.excitatory_cells.branch_layers.0,per_soma,0.0035938287619501352,0.4285176694393158,19.317234916623146,19.294968134818763,0.00018626281234901398,0.9999897088003844,1.285444065680994,-372.14558451462796,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,0,core_network.layers.0.excitatory_cells.branch_layers.0,path_factor_scalar,0.003743528388440609,0.4285176694393158,2.2526906214863884,2.022319756176175,0.0018510814988985658,0.9999889496135275,0.30584982453085,-4.074673999748721,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,0,core_network.layers.0.excitatory_cells.branch_layers.0,path_transport,0.09694130718708038,0.7728508710861206,20.94603826352371,21.019317003448986,0.0046119242906570435,0.9952592998492001,1.3226186000627091,-437.7425349939628,294912
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,scalar,0.02390587143599987,0.5155537724494934,10.24617470321994,10.221212191105167,0.002338845282793045,0.999707821272376,1.0095024042810365,-103.98408471768523,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,per_soma,0.02390587143599987,0.5155537724494934,10.24617470321994,10.221212191105167,0.002338845282793045,0.999707821272376,1.0095024042810365,-103.98408471768523,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,path_factor_scalar,0.025458838790655136,0.5155537724494934,3.510638169424034,3.3907580501624826,0.007508289068937302,0.9996701282815541,0.530296801506727,-11.324548109957995,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,1,core_network.layers.0.excitatory_cells.branch_layers.1,path_transport,0.23646514117717743,0.9327494502067566,35.339754402688385,35.56285728040505,0.006649184040725231,0.9716371466823899,1.5509966468780982,-1247.8953376524144,98304
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_gradient_fidelity_vs_ie_20260225030528/results/config_1,config_1,mnist,dendritic_shunting,local_ca,5f,per_soma,0,cat_nll,0.7080085873603821,2,core_network.layers.0.excitatory_cells.branch_layers.2,scalar,0.023081304505467415,0.53302001953125,2.62086758408028,2.4457792027822145,0.009437174536287785,0.9997335601547135,0.3884172477364308,-5.86903187353589,32768
