model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
0,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0,0,oracle_context,1,0,0
1,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0,0,learned_local_cue,1,0,0
2,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0,0,frozen_profile,0.25,0.1875,0
3,0,0.699426668825,0.43603515625,-0.906985724547,52015,16,0,0,mismatched_encoder,0,0.5,0
4,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0,1,oracle_context,1,0,0
5,0,0.699426668825,0.43603515625,-0.893072149636,52015,16,0,1,learned_local_cue,0.25146484375,0.374267578125,0
6,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0,1,frozen_profile,0.25,0.1875,0
7,0,0.699426668825,0.43603515625,-0.905082303058,52015,16,0,1,mismatched_encoder,0.24658203125,0.376708984375,0
8,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0,4,oracle_context,1,0,0
9,0,0.699426668825,0.43603515625,-0.888718817416,52015,16,0,4,learned_local_cue,0.2470703125,0.37646484375,0
10,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0,4,frozen_profile,0.25,0.1875,0
11,0,0.699426668825,0.43603515625,-0.911098241377,52015,16,0,4,mismatched_encoder,0.25,0.375,0
12,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0,0,oracle_context,1,0,0
13,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0,0,learned_local_cue,1,0,0
14,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0,0,frozen_profile,0.25,0.1875,0
15,0,0.699426668825,0.43603515625,-0.906985724547,52015,64,0,0,mismatched_encoder,0,0.5,0
16,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0,1,oracle_context,1,0,0
17,0,0.699426668825,0.43603515625,-0.893072149636,52015,64,0,1,learned_local_cue,0.25146484375,0.374267578125,0
18,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0,1,frozen_profile,0.25,0.1875,0
19,0,0.699426668825,0.43603515625,-0.905082303058,52015,64,0,1,mismatched_encoder,0.24658203125,0.376708984375,0
20,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0,4,oracle_context,1,0,0
21,0,0.699426668825,0.43603515625,-0.888718817416,52015,64,0,4,learned_local_cue,0.2470703125,0.37646484375,0
22,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0,4,frozen_profile,0.25,0.1875,0
23,0,0.699426668825,0.43603515625,-0.911098241377,52015,64,0,4,mismatched_encoder,0.25,0.375,0
24,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0,0,oracle_context,1,0,0
25,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0,0,learned_local_cue,1,0,0
26,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0,0,frozen_profile,0.25,0.1875,0
27,0,0.699426668825,0.43603515625,-0.906985724547,52015,256,0,0,mismatched_encoder,0,0.5,0
28,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0,1,oracle_context,1,0,0
29,0,0.699426668825,0.43603515625,-0.893072149636,52015,256,0,1,learned_local_cue,0.25146484375,0.374267578125,0
30,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0,1,frozen_profile,0.25,0.1875,0
31,0,0.699426668825,0.43603515625,-0.905082303058,52015,256,0,1,mismatched_encoder,0.24658203125,0.376708984375,0
32,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0,4,oracle_context,1,0,0
33,0,0.699426668825,0.43603515625,-0.888718817416,52015,256,0,4,learned_local_cue,0.2470703125,0.37646484375,0
34,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0,4,frozen_profile,0.25,0.1875,0
35,0,0.699426668825,0.43603515625,-0.911098241377,52015,256,0,4,mismatched_encoder,0.25,0.375,0
36,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0.5,0,oracle_context,1,0,0
37,0,0.699426668825,0.43603515625,-0.0868645716216,52015,16,0.5,0,learned_local_cue,0.54345703125,0.228271484375,0
38,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0.5,0,frozen_profile,0.25,0.1875,0
39,0,0.699426668825,0.43603515625,-0.866980134894,52015,16,0.5,0,mismatched_encoder,0.140625,0.4296875,0
40,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0.5,1,oracle_context,1,0,0
41,0,0.699426668825,0.43603515625,-0.871757291837,52015,16,0.5,1,learned_local_cue,0.25537109375,0.372314453125,0
42,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0.5,1,frozen_profile,0.25,0.1875,0
43,0,0.699426668825,0.43603515625,-0.881020907987,52015,16,0.5,1,mismatched_encoder,0.248046875,0.3759765625,0
44,0,0.699426668825,0.43603515625,0.974013920487,52015,16,0.5,4,oracle_context,1,0,0
45,0,0.699426668825,0.43603515625,-0.913293591984,52015,16,0.5,4,learned_local_cue,0.24609375,0.376953125,0
46,0,0.699426668825,0.43603515625,-0.930544965084,52015,16,0.5,4,frozen_profile,0.25,0.1875,0
47,0,0.699426668825,0.43603515625,-0.881116509808,52015,16,0.5,4,mismatched_encoder,0.2451171875,0.37744140625,0
48,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0.5,0,oracle_context,1,0,0
49,0,0.699426668825,0.43603515625,0.378297112184,52015,64,0.5,0,learned_local_cue,0.62060546875,0.189697265625,0
50,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0.5,0,frozen_profile,0.25,0.1875,0
51,0,0.699426668825,0.43603515625,-0.891368191451,52015,64,0.5,0,mismatched_encoder,0.13427734375,0.432861328125,0
52,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0.5,1,oracle_context,1,0,0
53,0,0.699426668825,0.43603515625,-0.888841550387,52015,64,0.5,1,learned_local_cue,0.2529296875,0.37353515625,0
54,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0.5,1,frozen_profile,0.25,0.1875,0
55,0,0.699426668825,0.43603515625,-0.899072363522,52015,64,0.5,1,mismatched_encoder,0.2578125,0.37109375,0
56,0,0.699426668825,0.43603515625,0.974013920487,52015,64,0.5,4,oracle_context,1,0,0
57,0,0.699426668825,0.43603515625,-0.88273300656,52015,64,0.5,4,learned_local_cue,0.24560546875,0.377197265625,0
58,0,0.699426668825,0.43603515625,-0.930544965084,52015,64,0.5,4,frozen_profile,0.25,0.1875,0
59,0,0.699426668825,0.43603515625,-0.895728630495,52015,64,0.5,4,mismatched_encoder,0.2568359375,0.37158203125,0
60,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0.5,0,oracle_context,1,0,0
61,0,0.699426668825,0.43603515625,0.552877778062,52015,256,0.5,0,learned_local_cue,0.6435546875,0.17822265625,0
62,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0.5,0,frozen_profile,0.25,0.1875,0
63,0,0.699426668825,0.43603515625,-0.911820227878,52015,256,0.5,0,mismatched_encoder,0.12255859375,0.438720703125,0
64,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0.5,1,oracle_context,1,0,0
65,0,0.699426668825,0.43603515625,-0.871357080814,52015,256,0.5,1,learned_local_cue,0.27294921875,0.363525390625,0
66,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0.5,1,frozen_profile,0.25,0.1875,0
67,0,0.699426668825,0.43603515625,-0.911222986882,52015,256,0.5,1,mismatched_encoder,0.2490234375,0.37548828125,0
68,0,0.699426668825,0.43603515625,0.974013920487,52015,256,0.5,4,oracle_context,1,0,0
69,0,0.699426668825,0.43603515625,-0.882977943509,52015,256,0.5,4,learned_local_cue,0.2509765625,0.37451171875,0
70,0,0.699426668825,0.43603515625,-0.930544965084,52015,256,0.5,4,frozen_profile,0.25,0.1875,0
71,0,0.699426668825,0.43603515625,-0.898845501978,52015,256,0.5,4,mismatched_encoder,0.23974609375,0.380126953125,0
72,0,0.699426668825,0.43603515625,0.974013920487,52015,16,1,0,oracle_context,1,0,0
73,0,0.699426668825,0.43603515625,-0.890057272137,52015,16,1,0,learned_local_cue,0.275390625,0.3623046875,0
