model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
50,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0.5,0,frozen_profile,0.25,0.1875,0
51,0,0.688394098898,0.5419921875,-0.948233528271,52007,64,0.5,0,mismatched_encoder,0.125,0.4375,0
52,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0.5,1,oracle_context,1,0,0
53,0,0.688394098898,0.5419921875,-0.919415770557,52007,64,0.5,1,learned_local_cue,0.255859375,0.3720703125,0
54,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0.5,1,frozen_profile,0.25,0.1875,0
55,0,0.688394098898,0.5419921875,-0.88670521611,52007,64,0.5,1,mismatched_encoder,0.2412109375,0.37939453125,0
56,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0.5,4,oracle_context,1,0,0
57,0,0.688394098898,0.5419921875,-0.899098205167,52007,64,0.5,4,learned_local_cue,0.2578125,0.37109375,0
58,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0.5,4,frozen_profile,0.25,0.1875,0
59,0,0.688394098898,0.5419921875,-0.923010992401,52007,64,0.5,4,mismatched_encoder,0.24853515625,0.375732421875,0
60,0,0.688394098898,0.5419921875,0.980488266392,52007,256,0.5,0,oracle_context,1,0,0
61,0,0.688394098898,0.5419921875,0.32710518051,52007,256,0.5,0,learned_local_cue,0.65869140625,0.170654296875,0
62,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,0.5,0,frozen_profile,0.25,0.1875,0
63,0,0.688394098898,0.5419921875,-0.946371527185,52007,256,0.5,0,mismatched_encoder,0.13330078125,0.433349609375,0
64,0,0.688394098898,0.5419921875,0.980488266392,52007,256,0.5,1,oracle_context,1,0,0
65,0,0.688394098898,0.5419921875,-0.936146452659,52007,256,0.5,1,learned_local_cue,0.2568359375,0.37158203125,0
66,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,0.5,1,frozen_profile,0.25,0.1875,0
67,0,0.688394098898,0.5419921875,-0.903534678355,52007,256,0.5,1,mismatched_encoder,0.23681640625,0.381591796875,0
68,0,0.688394098898,0.5419921875,0.980488266392,52007,256,0.5,4,oracle_context,1,0,0
69,0,0.688394098898,0.5419921875,-0.900711455346,52007,256,0.5,4,learned_local_cue,0.25,0.375,0
