model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
0,0,0.695642997486,0.501953125,0.980494121236,52003,16,0,0,oracle_context,1,0,0
1,0,0.695642997486,0.501953125,0.980494121236,52003,16,0,0,learned_local_cue,1,0,0
2,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0,0,frozen_profile,0.25,0.1875,0
3,0,0.695642997486,0.501953125,-0.940940296128,52003,16,0,0,mismatched_encoder,0,0.5,0
4,0,0.695642997486,0.501953125,0.980494121236,52003,16,0,1,oracle_context,1,0,0
5,0,0.695642997486,0.501953125,-0.913903270176,52003,16,0,1,learned_local_cue,0.24560546875,0.377197265625,0
6,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0,1,frozen_profile,0.25,0.1875,0
7,0,0.695642997486,0.501953125,-0.910415206759,52003,16,0,1,mismatched_encoder,0.2529296875,0.37353515625,0
8,0,0.695642997486,0.501953125,0.980494121236,52003,16,0,4,oracle_context,1,0,0
9,0,0.695642997486,0.501953125,-0.912083103256,52003,16,0,4,learned_local_cue,0.25537109375,0.372314453125,0
10,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0,4,frozen_profile,0.25,0.1875,0
11,0,0.695642997486,0.501953125,-0.911279565573,52003,16,0,4,mismatched_encoder,0.25146484375,0.374267578125,0
12,0,0.695642997486,0.501953125,0.980494121236,52003,64,0,0,oracle_context,1,0,0
13,0,0.695642997486,0.501953125,0.980494121236,52003,64,0,0,learned_local_cue,1,0,0
14,0,0.695642997486,0.501953125,-0.961245633594,52003,64,0,0,frozen_profile,0.25,0.1875,0
15,0,0.695642997486,0.501953125,-0.940940296128,52003,64,0,0,mismatched_encoder,0,0.5,0
16,0,0.695642997486,0.501953125,0.980494121236,52003,64,0,1,oracle_context,1,0,0
17,0,0.695642997486,0.501953125,-0.913903270176,52003,64,0,1,learned_local_cue,0.24560546875,0.377197265625,0
18,0,0.695642997486,0.501953125,-0.961245633594,52003,64,0,1,frozen_profile,0.25,0.1875,0
19,0,0.695642997486,0.501953125,-0.910415206759,52003,64,0,1,mismatched_encoder,0.2529296875,0.37353515625,0
20,0,0.695642997486,0.501953125,0.980494121236,52003,64,0,4,oracle_context,1,0,0
21,0,0.695642997486,0.501953125,-0.912083103256,52003,64,0,4,learned_local_cue,0.25537109375,0.372314453125,0
22,0,0.695642997486,0.501953125,-0.961245633594,52003,64,0,4,frozen_profile,0.25,0.1875,0
23,0,0.695642997486,0.501953125,-0.911279565573,52003,64,0,4,mismatched_encoder,0.25146484375,0.374267578125,0
24,0,0.695642997486,0.501953125,0.980494121236,52003,256,0,0,oracle_context,1,0,0
25,0,0.695642997486,0.501953125,0.980494121236,52003,256,0,0,learned_local_cue,1,0,0
26,0,0.695642997486,0.501953125,-0.961245633594,52003,256,0,0,frozen_profile,0.25,0.1875,0
27,0,0.695642997486,0.501953125,-0.940940296128,52003,256,0,0,mismatched_encoder,0,0.5,0
28,0,0.695642997486,0.501953125,0.980494121236,52003,256,0,1,oracle_context,1,0,0
29,0,0.695642997486,0.501953125,-0.913903270176,52003,256,0,1,learned_local_cue,0.24560546875,0.377197265625,0
30,0,0.695642997486,0.501953125,-0.961245633594,52003,256,0,1,frozen_profile,0.25,0.1875,0
31,0,0.695642997486,0.501953125,-0.910415206759,52003,256,0,1,mismatched_encoder,0.2529296875,0.37353515625,0
32,0,0.695642997486,0.501953125,0.980494121236,52003,256,0,4,oracle_context,1,0,0
33,0,0.695642997486,0.501953125,-0.912083103256,52003,256,0,4,learned_local_cue,0.25537109375,0.372314453125,0
34,0,0.695642997486,0.501953125,-0.961245633594,52003,256,0,4,frozen_profile,0.25,0.1875,0
35,0,0.695642997486,0.501953125,-0.911279565573,52003,256,0,4,mismatched_encoder,0.25146484375,0.374267578125,0
36,0,0.695642997486,0.501953125,0.980494121236,52003,16,0.5,0,oracle_context,1,0,0
37,0,0.695642997486,0.501953125,-0.366018048507,52003,16,0.5,0,learned_local_cue,0.5439453125,0.22802734375,0
38,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0.5,0,frozen_profile,0.25,0.1875,0
39,0,0.695642997486,0.501953125,-0.923609528628,52003,16,0.5,0,mismatched_encoder,0.17431640625,0.412841796875,0
40,0,0.695642997486,0.501953125,0.980494121236,52003,16,0.5,1,oracle_context,1,0,0
41,0,0.695642997486,0.501953125,-0.892449320264,52003,16,0.5,1,learned_local_cue,0.2568359375,0.37158203125,0
42,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0.5,1,frozen_profile,0.25,0.1875,0
43,0,0.695642997486,0.501953125,-0.9269164599,52003,16,0.5,1,mismatched_encoder,0.2392578125,0.38037109375,0
44,0,0.695642997486,0.501953125,0.980494121236,52003,16,0.5,4,oracle_context,1,0,0
45,0,0.695642997486,0.501953125,-0.893987242982,52003,16,0.5,4,learned_local_cue,0.251953125,0.3740234375,0
46,0,0.695642997486,0.501953125,-0.961245633594,52003,16,0.5,4,frozen_profile,0.25,0.1875,0
47,0,0.695642997486,0.501953125,-0.891185491279,52003,16,0.5,4,mismatched_encoder,0.24462890625,0.377685546875,0
48,0,0.695642997486,0.501953125,0.980494121236,52003,64,0.5,0,oracle_context,1,0,0
49,0,0.695642997486,0.501953125,0.16582810113,52003,64,0.5,0,learned_local_cue,0.63818359375,0.180908203125,0
50,0,0.695642997486,0.501953125,-0.961245633594,52003,64,0.5,0,frozen_profile,0.25,0.1875,0
