root_id,n_e_segments,n_i_segments,reciprocal_operator_rank,off_ancestry_response_energy_fraction,derivative_dose
864691135060651419,128,138,128,0.14018014634039175,0.001
864691135196576298,21,22,21,0.19233673596373466,0.001
864691135277186789,95,101,95,0.16440963175079362,0.001
864691135324623260,34,40,34,0.15129102203302147,0.001
864691135409937097,70,76,70,0.16552584263925896,0.001
864691135739661169,32,34,32,0.28758727657545413,0.001
864691135810666525,116,123,115,0.10137704874860741,0.001
864691136043380566,55,59,55,0.20593081538663946,0.001
