seed,branches,conflict_probability,condition,train_loss,train_accuracy,test_loss,test_accuracy,initial_gradient_cosine,initial_gradient_capture,initial_signed_utility,theoretical_shared_relative_signal,theoretical_deranged_relative_signal,feedback_rank,feedback_nonzeros_per_example,forward_parameters,active_forward_branches_per_example,simultaneously_driven_branches_per_example
11000,2,0,neuron_shared_k1,0.4076360464,0.8173828125,0.3914410472,0.8260000348,0.9991701245,0.9983409643,0.9983409047,1,1,1,2,100,1,2
11000,2,0,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2
11000,2,0,within_neuron_deranged,10.19149494,0.5483398438,9.834051132,0.5480000377,0.9966819286,0.9933748841,0.9966819286,1,1,2,1,100,1,2
11000,2,0,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2
11000,2,0,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2
11000,2,0.25,neuron_shared_k1,0.4188464582,0.8199462891,0.4045087993,0.8260000348,0.9990251064,0.9980511665,0.7424132824,0.75,0.5,1,2,100,1,2
11000,2,0.25,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2
11000,2,0.25,within_neuron_deranged,7.37351656,0.5314941406,7.149774075,0.5325000286,0.9909664392,0.9820144773,0.484826684,0.75,0.5,2,1,100,1,2
11000,2,0.25,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2
11000,2,0.25,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2
11000,2,0.5,neuron_shared_k1,0.4440162182,0.8159179688,0.4324013889,0.8285000324,0.9979233146,0.9958509207,0.4924251735,0.5,0,1,2,100,1,2
11000,2,0.5,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.5,0,2,1,100,1,2
11000,2,0.5,within_neuron_deranged,6.210354328,0.5053710938,6.119656563,0.5,-0.2318280637,0.05374425277,-0.01514963619,0.5,0,2,1,100,1,2
11000,2,0.5,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.5,0,2,1,100,1,2
11000,2,0.5,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.5,0,2,1,100,1,2
11000,2,0.5714285714,neuron_shared_k1,0.4555517733,0.8170166016,0.4445187449,0.8270000219,0.996599555,0.9932106733,0.4241581559,0.4285714286,-0.1428571429,1,2,100,1,2
11000,2,0.5714285714,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
11000,2,0.5714285714,within_neuron_deranged,5.552308083,0.4854736328,5.514231682,0.478000015,-0.9076638222,0.8238536119,-0.1516836882,0.4285714286,-0.1428571429,2,1,100,1,2
11000,2,0.5714285714,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
11000,2,0.5714285714,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
