branches,conflict_probability,contrast,left_condition,right_condition,endpoint,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
2,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.75,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.00427500606,0.002050003415,0.006575006245,16,0,0.00204993572
2,0.75,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.09077623785,-0.09395524026,-0.08760498416,0,0,1.907348633e-06
2,0.75,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.566575031,0.5538994053,0.5790506562,20,0,1.907348633e-06
2,0.75,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-5.171172074,-5.306061528,-5.038294437,0,0,1.907348633e-06
2,0.75,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.75,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.75,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.75,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,1,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.3490000144,0.2986243896,0.3991500111,20,0,1.907348633e-06
2,1,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.2773272127,-0.2855290242,-0.2691368296,0,0,1.907348633e-06
2,1,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.5758500293,0.5679750368,0.5843500257,20,0,1.907348633e-06
2,1,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-14.01289261,-14.17918406,-13.85198363,0,0,1.907348633e-06
2,1,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,1,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,1,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,1,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,5.0002325e-05,-0.0008750021701,0.0009750008601,10,3,0.8870372598
4,0,correct - shared,correct_path,neuron_shared_k1,test_loss,20,0.00064140708,8.177575013e-05,0.001192092277,14,0,0.03276824951
