branches,n_seeds,mean_accuracy_interaction_slope,ci95_low,ci95_high,positive_pairs,wilcoxon_p_two_sided
2,20,0.2455971058,0.2104532423,0.2801370885,20,1.907348633e-06
4,20,0.6477732811,0.6376293249,0.6585566399,20,1.907348633e-06
8,20,0.7503111147,0.7381954111,0.7621513051,20,1.907348633e-06
