seed,branches,conflict_probability,train_context_label_count_min,train_context_label_count_max,train_context_label_count_range,train_context_label_correlation,train_selected_label_mismatch_rate,train_opposite_label_match_rate,train_target_conflict_probability,train_realized_inactive_conflict_probability,train_conflict_probability_abs_error,test_context_label_count_min,test_context_label_count_max,test_context_label_count_range,test_context_label_correlation,test_selected_label_mismatch_rate,test_opposite_label_match_rate,test_target_conflict_probability,test_realized_inactive_conflict_probability,test_conflict_probability_abs_error,exact_autograd_gradient_max_abs_difference,fallback_count
11000,2,0,2048,2048,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,2.011656761e-07,0
11000,2,0.25,2048,2048,0,0,0,0,0.25,0.2543945312,0.00439453125,500,500,0,0,0,0,0.25,0.256,0.006,2.011656761e-07,0
11000,2,0.5,2048,2048,0,0,0,0,0.5,0.4991455078,0.0008544921875,500,500,0,0,0,0,0.5,0.5025,0.0025,2.011656761e-07,0
11000,2,0.5714285714,2048,2048,0,0,0,0,0.5714285714,0.5653076172,0.006120954241,500,500,0,0,0,0,0.5714285714,0.5615,0.009928571429,2.011656761e-07,0
11000,2,0.6,2048,2048,0,0,0,0,0.6,0.5972900391,0.002709960937,500,500,0,0,0,0,0.6,0.59,0.01,2.011656761e-07,0
11000,2,0.6666666667,2048,2048,0,0,0,0,0.6666666667,0.6658935547,0.0007731119792,500,500,0,0,0,0,0.6666666667,0.65,0.01666666667,2.011656761e-07,0
11000,2,0.75,2048,2048,0,0,0,0,0.75,0.7473144531,0.002685546875,500,500,0,0,0,0,0.75,0.7375,0.0125,2.011656761e-07,0
11000,2,1,2048,2048,0,0,0,0,1,1,0,500,500,0,0,0,0,1,1,0,2.011656761e-07,0
11000,4,0,1024,1024,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,7.450580597e-08,0
11000,4,0.25,1024,1024,0,0,0,0,0.25,0.2500813802,8.138020833e-05,250,250,0,0,0,0,0.25,0.2555,0.0055,7.450580597e-08,0
11000,4,0.5,1024,1024,0,0,0,0,0.5,0.4953613281,0.004638671875,250,250,0,0,0,0,0.5,0.4985,0.0015,7.450580597e-08,0
11000,4,0.5714285714,1024,1024,0,0,0,0,0.5714285714,0.5666097005,0.004818870908,250,250,0,0,0,0,0.5714285714,0.57,0.001428571429,7.450580597e-08,0
11000,4,0.6,1024,1024,0,0,0,0,0.6,0.5948079427,0.005192057292,250,250,0,0,0,0,0.6,0.6003333333,0.0003333333333,7.450580597e-08,0
11000,4,0.6666666667,1024,1024,0,0,0,0,0.6666666667,0.6619059245,0.004760742188,250,250,0,0,0,0,0.6666666667,0.6685,0.001833333333,7.450580597e-08,0
11000,4,0.75,1024,1024,0,0,0,0,0.75,0.7475179036,0.002482096354,250,250,0,0,0,0,0.75,0.7501666667,0.0001666666667,7.450580597e-08,0
11000,4,1,1024,1024,0,0,0,0,1,1,0,250,250,0,0,0,0,1,1,0,7.450580597e-08,0
11000,8,0,512,512,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,3.166496754e-08,0
11000,8,0.25,512,512,0,0,0,0,0.25,0.2525983538,0.002598353795,125,125,0,0,0,0,0.25,0.2593571429,0.009357142857,3.166496754e-08,0
11000,8,0.5,512,512,0,0,0,0,0.5,0.4991106306,0.0008893694196,125,125,0,0,0,0,0.5,0.5035,0.0035,3.166496754e-08,0
11000,8,0.5714285714,512,512,0,0,0,0,0.5714285714,0.571219308,0.0002092633929,125,125,0,0,0,0,0.5714285714,0.5775714286,0.006142857143,3.166496754e-08,0
11000,8,0.6,512,512,0,0,0,0,0.6,0.5990687779,0.0009312220982,125,125,0,0,0,0,0.6,0.6075714286,0.007571428571,3.166496754e-08,0
11000,8,0.6666666667,512,512,0,0,0,0,0.6666666667,0.6665910993,7.556733631e-05,125,125,0,0,0,0,0.6666666667,0.6746428571,0.007976190476,3.166496754e-08,0
11000,8,0.75,512,512,0,0,0,0,0.75,0.7499476842,5.231584821e-05,125,125,0,0,0,0,0.75,0.755,0.005,3.166496754e-08,0
11000,8,1,512,512,0,0,0,0,1,1,0,125,125,0,0,0,0,1,1,0,3.166496754e-08,0
11001,2,0,2048,2048,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,2.384185791e-07,0
11001,2,0.25,2048,2048,0,0,0,0,0.25,0.2486572266,0.001342773438,500,500,0,0,0,0,0.25,0.2475,0.0025,2.384185791e-07,0
11001,2,0.5,2048,2048,0,0,0,0,0.5,0.5050048828,0.005004882812,500,500,0,0,0,0,0.5,0.515,0.015,2.384185791e-07,0
11001,2,0.5714285714,2048,2048,0,0,0,0,0.5714285714,0.5718994141,0.0004708426339,500,500,0,0,0,0,0.5714285714,0.582,0.01057142857,2.384185791e-07,0
11001,2,0.6,2048,2048,0,0,0,0,0.6,0.5983886719,0.001611328125,500,500,0,0,0,0,0.6,0.6145,0.0145,2.384185791e-07,0
11001,2,0.6666666667,2048,2048,0,0,0,0,0.6666666667,0.6630859375,0.003580729167,500,500,0,0,0,0,0.6666666667,0.691,0.02433333333,2.384185791e-07,0
11001,2,0.75,2048,2048,0,0,0,0,0.75,0.75,0,500,500,0,0,0,0,0.75,0.767,0.017,2.384185791e-07,0
11001,2,1,2048,2048,0,0,0,0,1,1,0,500,500,0,0,0,0,1,1,0,2.384185791e-07,0
11001,4,0,1024,1024,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,8.940696716e-08,0
11001,4,0.25,1024,1024,0,0,0,0,0.25,0.2484130859,0.001586914062,250,250,0,0,0,0,0.25,0.2388333333,0.01116666667,8.940696716e-08,0
11001,4,0.5,1024,1024,0,0,0,0,0.5,0.4980061849,0.001993815104,250,250,0,0,0,0,0.5,0.4943333333,0.005666666667,8.940696716e-08,0
11001,4,0.5714285714,1024,1024,0,0,0,0,0.5714285714,0.5677490234,0.003679547991,250,250,0,0,0,0,0.5714285714,0.5701666667,0.001261904762,8.940696716e-08,0
11001,4,0.6,1024,1024,0,0,0,0,0.6,0.5987548828,0.001245117187,250,250,0,0,0,0,0.6,0.5986666667,0.001333333333,8.940696716e-08,0
11001,4,0.6666666667,1024,1024,0,0,0,0,0.6666666667,0.6673177083,0.0006510416667,250,250,0,0,0,0,0.6666666667,0.663,0.003666666667,8.940696716e-08,0
11001,4,0.75,1024,1024,0,0,0,0,0.75,0.7491048177,0.0008951822917,250,250,0,0,0,0,0.75,0.7473333333,0.002666666667,8.940696716e-08,0
11001,4,1,1024,1024,0,0,0,0,1,1,0,250,250,0,0,0,0,1,1,0,8.940696716e-08,0
11001,8,0,512,512,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,2.980232239e-08,0
11001,8,0.25,512,512,0,0,0,0,0.25,0.2515345982,0.001534598214,125,125,0,0,0,0,0.25,0.2497142857,0.0002857142857,2.980232239e-08,0
11001,8,0.5,512,512,0,0,0,0,0.5,0.5031040737,0.003104073661,125,125,0,0,0,0,0.5,0.5075714286,0.007571428571,2.980232239e-08,0
11001,8,0.5714285714,512,512,0,0,0,0,0.5714285714,0.5747767857,0.003348214286,125,125,0,0,0,0,0.5714285714,0.5765714286,0.005142857143,2.980232239e-08,0
11001,8,0.6,512,512,0,0,0,0,0.6,0.6033761161,0.003376116071,125,125,0,0,0,0,0.6,0.6037142857,0.003714285714,2.980232239e-08,0
11001,8,0.6666666667,512,512,0,0,0,0,0.6666666667,0.6688581194,0.002191452753,125,125,0,0,0,0,0.6666666667,0.6717142857,0.005047619048,2.980232239e-08,0
11001,8,0.75,512,512,0,0,0,0,0.75,0.7525285993,0.00252859933,125,125,0,0,0,0,0.75,0.7563571429,0.006357142857,2.980232239e-08,0
11001,8,1,512,512,0,0,0,0,1,1,0,125,125,0,0,0,0,1,1,0,2.980232239e-08,0
11002,2,0,2048,2048,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,3.427267075e-07,0
11002,2,0.25,2048,2048,0,0,0,0,0.25,0.2453613281,0.004638671875,500,500,0,0,0,0,0.25,0.249,0.001,3.427267075e-07,0
11002,2,0.5,2048,2048,0,0,0,0,0.5,0.4962158203,0.003784179688,500,500,0,0,0,0,0.5,0.4905,0.0095,3.427267075e-07,0
11002,2,0.5714285714,2048,2048,0,0,0,0,0.5714285714,0.5661621094,0.005266462054,500,500,0,0,0,0,0.5714285714,0.5685,0.002928571429,3.427267075e-07,0
11002,2,0.6,2048,2048,0,0,0,0,0.6,0.5938720703,0.006127929687,500,500,0,0,0,0,0.6,0.597,0.003,3.427267075e-07,0
11002,2,0.6666666667,2048,2048,0,0,0,0,0.6666666667,0.6586914062,0.007975260417,500,500,0,0,0,0,0.6666666667,0.6685,0.001833333333,3.427267075e-07,0
11002,2,0.75,2048,2048,0,0,0,0,0.75,0.7435302734,0.006469726562,500,500,0,0,0,0,0.75,0.7525,0.0025,3.427267075e-07,0
11002,2,1,2048,2048,0,0,0,0,1,1,0,500,500,0,0,0,0,1,1,0,3.427267075e-07,0
11002,4,0,1024,1024,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,8.940696716e-08,0
11002,4,0.25,1024,1024,0,0,0,0,0.25,0.249226888,0.0007731119792,250,250,0,0,0,0,0.25,0.2448333333,0.005166666667,8.940696716e-08,0
11002,4,0.5,1024,1024,0,0,0,0,0.5,0.4989420573,0.001057942708,250,250,0,0,0,0,0.5,0.4958333333,0.004166666667,8.940696716e-08,0
