seed,branches,accuracy_interaction_slope
11000,2,0.2286187635
11001,2,0.2266648159
11002,2,0.2778781717
11003,2,0.3987871141
11004,2,0.254989522
11005,2,0.1390695804
11006,2,0.1088418642
11007,2,0.2442790115
11008,2,0.3631465351
11009,2,0.2753249913
11010,2,0.1685008186
11011,2,0.2732831167
11012,2,0.1504057063
11013,2,0.1045665091
11014,2,0.3118462036
11015,2,0.3526609903
11016,2,0.3070057303
11017,2,0.265615329
11018,2,0.2045671099
11019,2,0.2558902319
11000,4,0.6241777905
11001,4,0.6557784056
11002,4,0.6502025307
11003,4,0.6091363709
11004,4,0.6395840037
11005,4,0.6201055637
11006,4,0.6506027639
11007,4,0.6617171993
11008,4,0.6448652361
11009,4,0.6428211171
11010,4,0.6969196596
11011,4,0.6329625668
11012,4,0.6692930281
11013,4,0.6738183749
11014,4,0.6988512824
11015,4,0.6314439689
11016,4,0.6227816266
11017,4,0.6665640113
11018,4,0.626049797
11019,4,0.6377903257
11000,8,0.7021904976
11001,8,0.8042297114
11002,8,0.7804034664
11003,8,0.709833646
11004,8,0.7602010304
11005,8,0.7637200022
11006,8,0.7537959021
11007,8,0.7527476946
11008,8,0.7324992213
11009,8,0.7072918396
11010,8,0.7543509893
11011,8,0.7506712409
11012,8,0.7482441376
11013,8,0.7718277044
11014,8,0.7458116587
11015,8,0.7827558602
11016,8,0.7381634201
11017,8,0.7070072366
11018,8,0.7849247869
11019,8,0.755552247
