branches,conflict_probability,condition,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_test_loss,ci95_low_test_loss,ci95_high_test_loss,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_signed_utility,ci95_low_initial_signed_utility,ci95_high_initial_signed_utility
2,0,backpropagation,20,0.79990004,0.7957000464,0.8045250416,0.4228547782,0.4174994258,0.4279228702,1,1,1,1,1,1,1,1,1
2,0,correct_path,20,0.79990004,0.7957500457,0.8045500398,0.4228547782,0.4176588348,0.4277975632,1,1,1,1,1,1,1,1,1
2,0,gated_point_emulation,20,0.79990004,0.7956750423,0.8045000344,0.4228547782,0.4176173427,0.4278356762,1,1,1,1,1,1,1,1,1
2,0,neuron_shared_k1,20,0.7990750372,0.7947000325,0.803875041,0.4225123614,0.4171466583,0.4276425067,0.9977481484,0.9967004096,0.9986373655,0.9955063999,0.9933956969,0.9972550195,0.9955064058,0.9934071199,0.99727174
2,0,within_neuron_deranged,20,0.5485500246,0.5448000193,0.5525250226,11.00012565,10.49265555,11.48629849,0.9910128325,0.9867873276,0.9945643251,0.9821863145,0.9739804742,0.9892240273,0.9910128325,0.9867806618,0.9946000815
2,0.25,backpropagation,20,0.79990004,0.7957250357,0.8045750321,0.4228547782,0.4175252491,0.4278726409,1,1,1,1,1,1,1,1,1
2,0.25,correct_path,20,0.79990004,0.7957000375,0.8046000361,0.4228547782,0.4175851942,0.42785443,1,1,1,1,1,1,1,1,1
2,0.25,gated_point_emulation,20,0.79990004,0.7958000392,0.8046250373,0.4228547782,0.4176599584,0.4277556949,1,1,1,1,1,1,1,1,1
2,0.25,neuron_shared_k1,20,0.7994000375,0.7950000375,0.8041500301,0.4316311657,0.426915972,0.4360966232,0.9980979443,0.9973348735,0.998724773,0.9962020278,0.9947074582,0.997452182,0.7462348163,0.7432538253,0.7492740057
2,0.25,within_neuron_deranged,20,0.5379000217,0.533825022,0.5422750205,8.42812357,8.032408205,8.828806862,0.9829397768,0.9761437209,0.988548646,0.9663697243,0.9531181288,0.9770724621,0.4924695969,0.4864350837,0.4986149825
2,0.5,backpropagation,20,0.79990004,0.7956750393,0.8045750379,0.4228547782,0.4176551048,0.4278061015,1,1,1,1,1,1,1,1,1
2,0.5,correct_path,20,0.79990004,0.7957250386,0.8046250403,0.4228547782,0.4175313681,0.427781569,1,1,1,1,1,1,1,1,1
2,0.5,gated_point_emulation,20,0.79990004,0.7957500398,0.8045250416,0.4228547782,0.4176416254,0.4278475296,1,1,1,1,1,1,1,1,1
2,0.5,neuron_shared_k1,20,0.7977250367,0.7931500315,0.8029000372,0.4552323744,0.4512614157,0.4589748714,0.9976315558,0.9968950792,0.9982780082,0.9952711821,0.9938118807,0.9965602007,0.5003253818,0.4965739599,0.5042753774
2,0.5,within_neuron_deranged,20,0.5043500245,0.5002750248,0.508750023,6.096705508,5.648032863,6.519250491,0.03025028712,-0.07755480801,0.1428109264,0.06354115134,0.03503089647,0.09562278118,0.0006507506972,-0.006957755008,0.008565740223
