sweep_dir,sweep_name,config_id,dataset,encoder_type,router_mode,pathway_dim,network_type,strategy,layer_sizes,branch_factors,ie_value,ee_value,seed,rule_variant,error_broadcast_mode,error_noise_sigma,encoder_update_mode,decoder_update_mode,dynamics_mode,rho_mode,use_path_propagation,morphology_modulator_mode,use_dendritic_normalization,use_branch_type_rules,use_conductance_scaling,use_driving_force,hsic_enabled,hsic_weight,train_accuracy,valid_accuracy,test_accuracy,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,nparams,run_dir,lr,decoder_lr,mi_E_I_C,mi_E_C,mi_I_C,mi_Vb_C,mi_Vout_C,router_mean_max_assignment,router_assignment_entropy,router_num_routed_features,router_target_alignment
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_43,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,45,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.0,0.9216041564941406,0.9110000133514404,0.9143999814987183,-0.2587628960609436,-0.3039602041244507,-0.2872031629085541,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_43,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_53,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,45,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.1,0.9216041564941406,0.9110000133514404,0.9143999814987183,-0.2587628960609436,-0.3039602041244507,-0.2872031629085541,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_53,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_61,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.0,0.9230625033378601,0.909333348274231,0.916700005531311,-0.2524549067020416,-0.299332857131958,-0.280690461397171,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_61,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_56,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,1.0,0.9230625033378601,0.909333348274231,0.916700005531311,-0.2524549067020416,-0.299332857131958,-0.280690461397171,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_56,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_51,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.1,0.9230625033378601,0.909333348274231,0.916700005531311,-0.2524549067020416,-0.299332857131958,-0.280690461397171,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_51,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_46,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.01,0.9230625033378601,0.909333348274231,0.916700005531311,-0.2524549067020416,-0.299332857131958,-0.280690461397171,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_46,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_41,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.0,0.9230625033378601,0.909333348274231,0.916700005531311,-0.2524549067020416,-0.299332857131958,-0.280690461397171,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_41,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_66,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.01,0.918666660785675,0.9085000157356262,0.9139999747276306,-0.26238298416137695,-0.3084065020084381,-0.2905120849609375,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_66,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_60,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.0,0.9221875071525574,0.9081666469573975,0.9134999513626099,-0.2580289840698242,-0.3047536611557007,-0.2959575057029724,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_60,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_50,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.1,0.9221875071525574,0.9081666469573975,0.9134999513626099,-0.2580289840698242,-0.3047536611557007,-0.2959575057029724,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_50,0.0015,0.0015,,,,,,,,,
