dataset,strategy,network_type,router_mode,error_broadcast_mode,encoder_update_mode,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,router_mean_max_assignment_mean,router_mean_max_assignment_std,router_target_alignment_mean,router_target_alignment_std,router_assignment_entropy_mean,router_assignment_entropy_std
cue_integration,standard,dendritic_additive,fixed,,,1.0,0.0,1.0,0.0,,,,,,
cue_integration,local_ca,dendritic_shunting,learned,low_rank,backprop,1.0,0.0,1.0,0.0,0.9635860323905945,0.014178236707360944,0.9635860323905945,0.014178236707360944,0.12465849270423253,0.03365954237739918
cue_integration,local_ca,dendritic_shunting,fixed,per_soma,backprop,1.0,0.0,1.0,0.0,,,,,,
cue_integration,local_ca,dendritic_shunting,fixed,low_rank,backprop,1.0,0.0,1.0,0.0,,,,,,
cue_integration,standard,dendritic_shunting,fixed,,,1.0,0.0,1.0,0.0,,,,,,
cue_integration,standard,dendritic_additive,learned,,,1.0,0.0,1.0,0.0,0.999998946984609,9.104759880291864e-08,0.999998946984609,9.104759880291864e-08,1.5622307425170828e-05,5.533113559808312e-07
cue_integration,standard,dendritic_shunting,learned,,,1.0,0.0,1.0,0.0,0.9999984701474508,2.2565954309917602e-07,0.9999984701474508,2.2565954309917602e-07,2.2240192265599035e-05,3.2156397866809165e-06
cue_integration,local_ca,dendritic_additive,fixed,per_soma,backprop,0.999666690826416,0.0005773084232762552,0.999666690826416,0.0005773084232762552,,,,,,
cue_integration,local_ca,dendritic_shunting,learned,per_soma,backprop,0.9993333419164022,0.0011546856720679145,0.999666690826416,0.0005773084232762552,0.972937802473704,0.02099534715353531,0.972937802473704,0.02099534715353531,0.09208115190267563,0.06736059925497324
cue_integration,local_ca,dendritic_additive,fixed,low_rank,backprop,0.999000072479248,0.0,0.9990000327428182,0.000999987125988869,,,,,,
cue_integration,local_ca,dendritic_additive,learned,per_soma,backprop,0.999000072479248,0.0,0.999666690826416,0.0005773084232762552,0.9999980926513672,3.5762786865234375e-07,0.9999980926513672,3.5762786865234375e-07,2.647931554141299e-05,4.309816924981677e-06
cue_integration,local_ca,dendritic_additive,learned,low_rank,backprop,0.9980000456174215,0.0010000169278671295,0.996666689713796,0.0030550371444239156,0.9999968806902567,2.514958167882995e-06,0.9999968806902567,2.514958167882995e-06,4.157360611619273e-05,3.0455196323855355e-05
