dataset,error_broadcast_mode,decoder_update_mode,use_path_propagation,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
context_gating,per_soma,backprop,False,0.39683335026105243,0.028484500685385616,0.38616668184598285,0.039392475396728875,-1.581765592098236,0.04767155601571765
context_gating,scalar,local,False,0.3918333500623703,0.030785819760801834,0.36216668287913006,0.026858270618517987,-1.6142837405204773,0.02945742790389542
context_gating,scalar,backprop,False,0.3828333467245102,0.02189444030978937,0.3656666775544484,0.023669949421637995,-1.6224183241526287,0.02932783744832391
context_gating,scalar,local,True,0.37700002392133075,0.01981918008627023,0.36133334537347156,0.01207753470797668,-1.6383347312609355,0.05476553662693596
context_gating,per_soma,local,False,0.37666668991247815,0.02218708271261093,0.3633333494265874,0.03091709369422899,-1.5797909299532573,0.04218055730586199
context_gating,scalar,backprop,True,0.35200001547733945,0.11326076539452945,0.33550001432498294,0.10999045840072842,-1.7465790907541912,0.27500345611594396
context_gating,local_mismatch,backprop,False,0.1210000067949295,0.0,0.11400000751018524,0.0,-2.299374540646871,0.000393396996437391
context_gating,local_mismatch,backprop,True,0.1210000067949295,0.0,0.11400000751018524,0.0,-2.2995468378067017,0.0007220819691477288
context_gating,local_mismatch,local,False,0.1210000067949295,0.0,0.11400000751018524,0.0,-2.2993783156077066,0.00038531058603476226
context_gating,per_soma,local,True,0.1210000067949295,0.0,0.11400000751018524,0.0,-2.298640807469686,0.0004974065891817215
context_gating,per_soma,backprop,True,0.1210000067949295,0.0,0.11400000751018524,0.0,-2.298637310663859,0.0004986610998158261
context_gating,local_mismatch,local,True,0.11950000623861949,0.0036742359768504496,0.11316667372981708,0.0020412425473265608,-2.2996768951416016,0.0006447969886134561
hierarchical_processing,scalar,local,True,0.05500000218550364,0.010807404503229541,0.04683333511153857,0.009064584203001439,-3.9987963835398355,0.029721488737806313
hierarchical_processing,scalar,backprop,True,0.05450000241398811,0.010802777242980729,0.05233333632349968,0.011910779945138538,-3.997049927711487,0.035740740668523716
hierarchical_processing,scalar,local,False,0.05033333599567413,0.018565201657993968,0.045833334947625794,0.016216247078260113,-4.048494140307109,0.052771398270614965
hierarchical_processing,scalar,backprop,False,0.04616666895647844,0.012998719667466756,0.04033333528786898,0.007941453354460278,-4.0627947251002,0.047295522579803455
hierarchical_processing,per_soma,backprop,False,0.046000001952052116,0.012247449200585797,0.04300000208119551,0.005176870763727129,-3.9392511447270713,0.022808747530383044
hierarchical_processing,per_soma,local,False,0.045833334947625794,0.012448561067088856,0.04500000240902106,0.007771744485640512,-3.9227518240610757,0.0369509626591111
hierarchical_processing,per_soma,local,True,0.03233333428700765,0.01866190438201069,0.03333333491658171,0.017270399319997645,-4.177486260732015,0.33455360409125023
hierarchical_processing,per_soma,backprop,True,0.03200000089903673,0.01892088818477232,0.03166666766628623,0.017224014633718452,-4.174016714096069,0.33723430604325105
hierarchical_processing,local_mismatch,local,False,0.01300000057866176,0.001788854258715813,0.011000000406056643,0.003898717946990671,-4.608683665593465,0.005302304288853207
hierarchical_processing,local_mismatch,backprop,False,0.01300000057866176,0.001788854258715813,0.011000000406056643,0.003898717946990671,-4.609243790308635,0.005689088860282946
hierarchical_processing,local_mismatch,local,True,0.012500000651925802,0.0021679482216765355,0.012000000414748987,0.003405877448628069,-4.61119278271993,0.0051229478971825245
hierarchical_processing,local_mismatch,backprop,True,0.012500000651925802,0.0021679482216765355,0.012000000414748987,0.003405877448628069,-4.611156066258748,0.005133848598544169
