dataset,layer_sizes,branch_factors,use_path_propagation,morphology_modulator_mode,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
hierarchical_processing,[256],"[2,2]",False,depth,0.46250002086162567,0.024090118058596746,0.46275002509355545,0.020516250931042555,-1.9896332919597626,0.07667611760448872
hierarchical_processing,[256],"[2,2]",False,none,0.4555000215768814,0.0158640096622926,0.4567500203847885,0.009069183397619744,-2.0164387226104736,0.10501743279636086
hierarchical_processing,[256],"[2,2]",False,centrality,0.4555000215768814,0.0158640096622926,0.4567500203847885,0.009069183397619744,-2.0164387226104736,0.10501743279636086
hierarchical_processing,[256],"[3,3]",False,depth,0.437250018119812,0.04531647687275886,0.45225002616643906,0.03200390642196399,-2.099858373403549,0.1720816037914186
hierarchical_processing,[256],"[4,4]",False,centrality,0.4295000210404396,0.03812697497291896,0.4242500141263008,0.04377499803308595,-2.178632438182831,0.15655953642690063
hierarchical_processing,[256],"[4,4]",False,none,0.4295000210404396,0.03812697497291896,0.4242500141263008,0.04377499803308595,-2.178632438182831,0.15655953642690063
hierarchical_processing,[256],"[3,3]",False,none,0.42625002562999725,0.03621579591159661,0.44075001776218414,0.030532773772798266,-2.1310003995895386,0.1259151264079909
hierarchical_processing,[256],"[3,3]",False,centrality,0.42625002562999725,0.03621579591159661,0.44075001776218414,0.030532773772798266,-2.1310003995895386,0.1259151264079909
hierarchical_processing,[256],"[4,4]",False,depth,0.42275001108646393,0.039919709275159844,0.4332500174641609,0.02376797486692365,-2.166373133659363,0.15823790357060394
hierarchical_processing,[256],"[2,2]",True,depth,0.41725002229213715,0.08533609977366144,0.43675000965595245,0.09231964499195787,-2.09391325712204,0.33857350779027334
hierarchical_processing,[256],"[2,2]",True,centrality,0.41175001859664917,0.051376880615972655,0.41825002431869507,0.06851945527004448,-2.2118014097213745,0.2440580009543932
hierarchical_processing,[256],"[2,2]",True,none,0.41175001859664917,0.051376880615972655,0.41825002431869507,0.06851945527004448,-2.2118014097213745,0.2440580009543932
hierarchical_processing,[256],"[3,3]",True,depth,0.4037500247359276,0.05616864247966733,0.40825001150369644,0.04697073788601766,-2.2484570741653442,0.24019875370902055
hierarchical_processing,[128],"[2,2]",False,centrality,0.3930000215768814,0.028507311368360946,0.38700001686811447,0.03734524591022315,-2.316245913505554,0.13410254353538803
hierarchical_processing,[128],"[2,2]",False,none,0.3930000215768814,0.028507311368360946,0.38700001686811447,0.03734524591022315,-2.316245913505554,0.13410254353538803
hierarchical_processing,[128],"[2,2]",False,depth,0.3852500170469284,0.032938083748468995,0.40300001949071884,0.04154514733326177,-2.2988186478614807,0.14701793205374666
hierarchical_processing,[128],"[3,3]",False,depth,0.3852500170469284,0.017858235104490246,0.38875002413988113,0.016997557208625023,-2.3194119930267334,0.11874241164819492
hierarchical_processing,[128],"[3,3]",False,centrality,0.37700002640485764,0.03211438151463324,0.3760000169277191,0.015055461130558953,-2.320365786552429,0.1672047275798679
hierarchical_processing,[128],"[3,3]",False,none,0.37700002640485764,0.03211438151463324,0.3760000169277191,0.015055461130558953,-2.320365786552429,0.1672047275798679
hierarchical_processing,[256],"[3,3]",True,none,0.37575002014636993,0.05613897413655539,0.39000002294778824,0.06892024822876679,-2.33000385761261,0.24770262751055527
hierarchical_processing,[256],"[3,3]",True,centrality,0.37575002014636993,0.05613897413655539,0.39000002294778824,0.06892024822876679,-2.33000385761261,0.24770262751055527
hierarchical_processing,[128],"[4,4]",False,none,0.35100001841783524,0.05201282292224318,0.3515000194311142,0.04343961541858999,-2.467777669429779,0.18202679326134624
hierarchical_processing,[128],"[4,4]",False,centrality,0.35100001841783524,0.05201282292224318,0.3515000194311142,0.04343961541858999,-2.467777669429779,0.18202679326134624
