dataset,network_type,dynamics_mode,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_shunting,conductance,0.9025833129882812,0.003553652298509534,0.9077399849891663,0.0034253551316058644,-0.3185327470302582,0.011997123170071834
mnist,dendritic_shunting,auto,0.9025833129882812,0.003553652298509534,0.9077399849891663,0.0034253551316058644,-0.3185327470302582,0.011997123170071834
mnist,dendritic_additive,auto,0.8889500021934509,0.0044840085911417565,0.8931199789047242,0.004398535448224264,-0.36812211871147155,0.012724382916986047
mnist,dendritic_additive,conductance,0.8718833208084107,0.01004115253904815,0.8817799925804138,0.008825915997887086,-0.41235695481300355,0.025617129751764865
