dataset,network_type,error_broadcast_mode,dynamics_mode,ie_value,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
noise_resilience,dendritic_shunting,per_soma,auto,10,0.8445000449816386,0.06538118627684053,0.8390000462532043,0.057778894970418986,-0.3371012310187022,0.0917080490133359
noise_resilience,dendritic_shunting,per_soma,auto,20,0.8241666952768961,0.07740392445333528,0.8131667077541351,0.08719958423962568,-0.35523972660303116,0.08977874356193763
noise_resilience,dendritic_shunting,per_soma,auto,40,0.7421666979789734,0.0633921765853523,0.7408333619435629,0.06616773350654262,-0.4389171401659648,0.05366461604679404
info_shunting,dendritic_shunting,per_soma,auto,0,0.7228333751360575,0.00897589340439178,0.7375000417232513,0.014747878859652244,-0.5420430998007456,0.009709694289641985
info_shunting,dendritic_shunting,per_soma,auto,30,0.713500032822291,0.029527954209915868,0.7350000341733297,0.022759623074761613,-0.5494493295749029,0.0353638476031023
info_shunting,dendritic_shunting,per_soma,auto,20,0.713500032822291,0.029527954209915868,0.7350000341733297,0.022759623074761613,-0.5494493295749029,0.0353638476031023
info_shunting,dendritic_shunting,per_soma,auto,10,0.713500032822291,0.029527954209915868,0.7350000341733297,0.022759623074761613,-0.5494493295749029,0.0353638476031023
info_shunting,dendritic_shunting,per_soma,auto,40,0.713500032822291,0.029527954209915868,0.7350000341733297,0.022759623074761613,-0.5494493295749029,0.0353638476031023
info_shunting,dendritic_shunting,per_soma,auto,2,0.7066666980584463,0.038312743751538675,0.7280000448226929,0.019359763896941773,-0.5573785603046417,0.033209921621840006
info_shunting,dendritic_shunting,per_soma,auto,5,0.702833374341329,0.03982170320871615,0.7296667098999023,0.02478440334145967,-0.558613528807958,0.03839975538049287
noise_resilience,dendritic_shunting,per_soma,auto,30,0.6880000332991282,0.16992586950113728,0.6818333665529887,0.17113436723070463,-0.5462382783492407,0.27157007086241247
noise_resilience,dendritic_shunting,per_soma,auto,0,0.6600000262260437,0.15674183655734686,0.6601666957139969,0.16938290615754714,-0.563300202290217,0.26141167727026327
noise_resilience,dendritic_shunting,per_soma,auto,5,0.6035000284512838,0.27786167440822584,0.5868333677450815,0.283228848075974,-0.7065531834959984,0.4290575543499464
noise_resilience,dendritic_shunting,per_soma,auto,2,0.5616666972637177,0.23187900918570767,0.5505000154177347,0.2328241871923144,-0.7576124916474024,0.37154919379171136
noise_resilience,dendritic_shunting,per_soma,,30,0.5482000350952149,0.17904944618949697,0.5364000260829925,0.17122589008561254,-0.8396270334720611,0.3385455520668813
noise_resilience,dendritic_shunting,per_soma,,10,0.5470000267028808,0.17836059366044715,0.5386000335216522,0.17333726509986558,-0.8309657871723175,0.32263578163360673
noise_resilience,dendritic_shunting,per_soma,,20,0.5464000225067138,0.17732681859451455,0.5386000216007233,0.17246681949408074,-0.8353483319282532,0.33568912306012416
noise_resilience,dendritic_shunting,per_soma,,40,0.5330000281333923,0.16588098805391338,0.5312000215053558,0.16652538660271268,-0.8453338384628296,0.3415841980762485
info_shunting,dendritic_shunting,per_soma,,10,0.5092000126838684,0.00571838238479285,0.504800021648407,0.023402998384922328,-0.6930553436279296,0.00017887272166447715
info_shunting,dendritic_shunting,per_soma,,30,0.5092000126838684,0.00571838238479285,0.504800021648407,0.023402998384922328,-0.6930553436279296,0.00017887272166447715
info_shunting,dendritic_shunting,per_soma,,40,0.5092000126838684,0.00571838238479285,0.504800021648407,0.023402998384922328,-0.6930553436279296,0.00017887272166447715
info_shunting,dendritic_shunting,per_soma,,20,0.5092000126838684,0.00571838238479285,0.504800021648407,0.023402998384922328,-0.6930553436279296,0.00017887272166447715
info_shunting,dendritic_additive,per_soma,auto,2,0.5080000162124634,0.006572651363151376,0.49000000953674316,0.015336230043097844,-0.6929518282413483,0.0002062082612827345
info_shunting,dendritic_additive,per_soma,auto,5,0.5080000162124634,0.006572651363151376,0.49000000953674316,0.015336230043097844,-0.692951907714208,0.00020618648527112655
