dataset,network_type,error_broadcast_mode,use_path_propagation,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,mi_E_I_C_mean,mi_E_I_C_std,mi_E_C_mean,mi_E_C_std,mi_I_C_mean,mi_I_C_std,mi_Vb_C_mean,mi_Vb_C_std,mi_Vout_C_mean,mi_Vout_C_std
info_shunting,dendritic_additive,scalar,True,0.5096666812896729,0.0066583110263325794,0.4973333477973938,0.018903267180068323,0.01453682899118828,0.008825731540595197,1.980200755953458e-05,2.5345630643008764e-05,5.084233150440527e-05,7.304733741610681e-05,0.13470554443674596,0.08333904584953661,0.15028291790165096,0.07278911309636947
info_shunting,dendritic_additive,scalar,False,0.5096666812896729,0.0066583110263325794,0.4973333477973938,0.018903267180068323,0.016705990012967856,0.005740707826355309,2.2516633632838658e-05,1.8695984467264514e-05,5.9308721282540356e-05,9.03089410370893e-05,0.14851642770023085,0.06947754052255771,0.14841528358845774,0.06106440614514388
info_shunting,dendritic_additive,per_soma,True,0.5096666812896729,0.0066583110263325794,0.4973333477973938,0.018903267180068323,0.010140439507230587,0.014020162560465224,3.659926698402772e-05,3.132973458736092e-05,9.572980467755278e-05,8.453716209010342e-05,0.031214776074590934,0.030284305160058065,0.055593902266502994,0.04807512284566636
info_shunting,dendritic_shunting,per_soma,False,0.5096666812896729,0.0066583110263325794,0.4973333477973938,0.018903267180068323,0.02425771035461974,0.009242679466057427,9.533796776161578e-06,9.896616736310296e-06,2.7170761512145133e-05,3.897163227185421e-05,1.2451228874122281e-06,2.156616102664842e-06,5.4176437155926045e-06,5.734337145549002e-06
info_shunting,dendritic_additive,per_soma,False,0.5096666812896729,0.0066583110263325794,0.4973333477973938,0.018903267180068323,0.014495106007730648,0.0075975433356863424,2.382394165678695e-05,3.718701346679114e-05,4.094965174071118e-05,5.992880057682959e-05,0.14079945460520185,0.07757119857883621,0.1650977921279703,0.07385981330007244
info_shunting,dendritic_shunting,scalar,False,0.5083333452542623,0.008962874123734742,0.5133333603541056,0.010066466313930048,0.02468009291913757,0.008846469156632652,9.051697913745584e-06,1.567800068137256e-05,1.4696636501594083e-05,2.2091811300899524e-05,8.642369477990591e-07,1.496902303366222e-06,4.64411306052377e-06,7.973551164569813e-06
info_shunting,dendritic_shunting,scalar,True,0.5083333452542623,0.008962874123734742,0.5133333603541056,0.010066466313930048,0.025217410622625076,0.009258599060293707,9.279458002824875e-06,1.5327434515891994e-05,1.570408265247723e-05,2.1612238144044055e-05,2.776972370061636e-06,4.809857236161715e-06,6.681251553837504e-06,1.091629315753605e-05
info_shunting,dendritic_shunting,per_soma,True,0.48900001247723895,0.04243817733370429,0.48233335216840106,0.04463555751082539,0.02448655748826781,0.008802913151986813,8.181547388265662e-06,1.0614486828124976e-05,2.9150620893219682e-05,1.4543079094606688e-05,4.940780545121281e-08,8.557682933197913e-08,7.064428921394917e-06,9.750910643057826e-06
context_gating,dendritic_shunting,scalar,False,0.3983333508173625,0.032807520999077674,0.3583333492279053,0.03134219063873169,0.34932117717776306,0.024886356650288138,0.5062320189977809,0.024638034075067185,0.03358908416410735,0.013006680650405595,0.707773022586597,0.0308834879579902,0.59828945007233,0.02806714644637886
context_gating,dendritic_shunting,per_soma,False,0.39400002360343933,0.010816650949938727,0.3830000162124634,0.00793725875428553,0.37357553847632047,0.02684411244228832,0.5299906061559735,0.02240648218795672,0.03835504128785938,0.0038268300871582227,0.724077469037186,0.035153708633203065,0.6031486545384362,0.029504094141001098
context_gating,dendritic_shunting,scalar,True,0.3816666901111603,0.003511884629547044,0.367000013589859,0.014106749779369217,0.34551939657751235,0.026491862757817564,0.5150451868619844,0.01696209975327672,0.03221412624185808,0.013227822358548838,0.7066819613960561,0.03216703582009644,0.5852769602150667,0.021579072879591144
context_gating,dendritic_additive,per_soma,True,0.1210000067949295,0.0,0.11400000751018524,0.0,0.2501020027817123,0.028184781133917407,0.22617542260283977,0.03325657673317927,0.051446357332440844,0.011769220723550076,0.303666855199628,0.03884035354928797,0.20198069840913555,0.03150968201648071
context_gating,dendritic_shunting,per_soma,True,0.1210000067949295,0.0,0.11400000751018524,0.0,0.26897469115791744,0.05691845281363091,0.2720874556862241,0.05154842763854965,0.04927548981154082,0.037744978540492205,0.3571969901649516,0.04334116994680658,0.30830896003040736,0.06048065888655162
context_gating,dendritic_additive,scalar,False,0.11800000568230946,0.005196154349821064,0.1123333399494489,0.0028867528945222265,,,,,,,,,,
context_gating,dendritic_additive,scalar,True,0.11800000568230946,0.005196154349821064,0.1123333399494489,0.0028867528945222265,,,,,,,,,,
context_gating,dendritic_additive,per_soma,False,0.11800000568230946,0.005196154349821064,0.1123333399494489,0.0028867528945222265,0.26048120987571255,0.059773376907315455,0.29927577900468716,0.03439631100792196,0.04473641692245647,0.009392937374011503,0.37732821559880025,0.041975754368766376,0.265096697100339,0.07941561459055664
