partner_index,pre_pt_root_id,recording_id,session,scan_idx,field,unit_id,dandi_asset_id,dandi_path
0,864691135336055529,ses5_scan6_field4_unit5132,5,6,4,5132,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
1,864691135469501522,ses5_scan6_field2_unit1852,5,6,2,1852,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
2,864691135641008443,ses5_scan6_field2_unit1944,5,6,2,1944,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
3,864691135774179147,ses5_scan6_field2_unit1917,5,6,2,1917,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
4,864691136312150874,ses5_scan6_field2_unit2218,5,6,2,2218,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
5,864691135694415551,ses5_scan6_field4_unit4778,5,6,4,4778,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
6,864691136904656818,ses5_scan6_field2_unit1859,5,6,2,1859,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
7,864691136005322698,ses5_scan6_field2_unit1885,5,6,2,1885,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
8,864691136108586969,ses5_scan6_field2_unit1888,5,6,2,1888,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
9,864691135997141418,ses5_scan6_field2_unit2640,5,6,2,2640,05d7fdce-7031-4ba1-81af-6d0b71a6b764,sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb
