unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691135336055529,226093,7959,6855,111.1351917536694,4.0,650.0,500.168,884.32,1,4224.0,0.3545632364868088,True
1,864691135469501522,292237,7787,7356,111.92806395486006,2.0,776.24,484.04,805.52,1,6384.0,0.22146367062640138,True
2,864691135641008443,256420,6679,6618,134.75541664152215,4.0,663.8480000000001,464.192,840.28,2,7524.0,0.21560517150899292,False
3,864691135774179147,256444,7558,5223,116.15718175902497,4.0,713.888,427.24,790.84,1,22144.0,0.33299460903582845,False
4,864691136312150874,256620,6507,5223,45.09888611901749,3.0,710.712,460.768,877.32,1,10024.0,0.3524879538189971,False
5,864691135694415551,260263,7910,6618,111.20443930092284,4.0,691.772,519.76,868.36,2,13760.0,0.24095701540957012,False
6,864691136904656818,292587,7070,6618,127.05247050849589,4.0,674.128,496.24,870.76,1,29432.0,0.40415533610037685,False
7,864691136005322698,292649,6618,6618,17.096535180380066,1.0,701.568,482.798,855.1800000000001,18,61532.0,0.3418586899479987,False
8,864691136108586969,292719,6853,5223,130.00528151888597,8.0,750.864,391.224,853.88,1,8992.0,0.3048041601068651,False
9,864691135997141418,292583,6498,5223,151.51979311870122,9.0,727.376,348.37600000000003,875.76,1,1212.0,0.26127570249510995,False
