cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture,panel
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,activation,subtrees_k3,262144,0.8944349529887611,0.922310482695105,G
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,broadcast_k1,262144,0.7599429941529693,0.8365798729081837,G
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,subtrees_k3,262144,0.8561699795114214,0.9377600856803217,G
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,broadcast_k1,262144,0.8521227811459331,0.889517084507483,G
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,subtrees_k3,262144,0.8930206570558515,0.9222745295970652,G
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,broadcast_k1,262144,0.7723533443869518,0.8443391524158332,G
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,subtrees_k3,262144,0.8640853387086753,0.9406417495622372,G
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,broadcast_k1,262144,0.8502632698881064,0.8877583288423104,G
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,subtrees_k3,262144,0.8918046278985436,0.9212293901395258,G
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,broadcast_k1,262144,0.7624254108587237,0.8479375735137562,G
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,subtrees_k3,262144,0.855890299756358,0.9408560654030468,G
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,broadcast_k1,262144,0.8518775054861735,0.8860428588860044,G
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,subtrees_k3,262144,0.8935670363771258,0.9204130685123344,G
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,broadcast_k1,262134,0.7577064488754551,0.8279693462303919,G
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,exact_k12,262134,1.0,1.0,G
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,subtrees_k3,262134,0.8585452105575384,0.9360969850252356,G
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,broadcast_k1,262144,0.84903358766288,0.8827771316036889,G
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,exact_k12,262144,1.0,1.0,G
