target_root_id,session,scan_idx,n_sites,n_routes,coverage,sites_per_route,one_site_routes
864691135324623260,6,6,5,4,0.8,1.75,False
864691135739661169,7,3,6,4,0.8333333333333334,1.75,False
864691135810666525,6,4,6,4,0.5,1.0,True
864691135060651419,5,7,8,4,0.5,1.0,True
864691135196576298,7,3,9,4,0.6666666666666666,2.0,False
864691135409937097,6,4,9,4,0.4444444444444444,1.0,True
864691135810666525,4,10,9,4,0.4444444444444444,1.0,True
864691135060651419,5,6,10,4,0.4,1.0,True
864691135810666525,6,6,10,4,0.4,1.75,False
864691135810666525,7,4,11,4,0.45454545454545453,1.25,False
864691135277186789,4,7,12,4,0.25,1.25,False
864691135060651419,9,4,13,4,0.3076923076923077,1.0,True
864691135277186789,8,5,17,4,0.23529411764705882,1.25,False
