panel,cohort,method,residual_capture,low,high,n_cells
G,original8,common + ancestry,0.40822549689190346,0.3120278460410076,0.5155296336076394,8
G,original8,common + surrogate ancestry,0.3452608471960681,0.2254572942572702,0.47999824040103956,8
G,original8,common + depth bins,0.19660556554064487,0.14301567354565006,0.255071429748402,8
G,original8,common-constrained SVD,0.5687495144679608,0.46893990521852946,0.6780331729041984,8
G,v661,common + ancestry,0.5266891417925847,0.4809872129035694,0.5750111506332687,47
G,v661,common + surrogate ancestry,0.47585859460597113,0.42917627561468175,0.5247669309438375,47
G,v661,common + depth bins,0.3916128600566383,0.34529030571649066,0.4427992281027083,47
G,v661,common-constrained SVD,0.6806811521931281,0.6387111898181214,0.7233872825567456,47
G,pinky,common + ancestry,0.9699124974441449,0.9463787978361914,0.9903264015912324,8
G,pinky,common + surrogate ancestry,0.8259216029178379,0.7436335381776008,0.9008083640263934,8
G,pinky,common + depth bins,0.5412176133878849,0.4220799960337476,0.6461795405811465,8
G,pinky,common-constrained SVD,0.99513282292428,0.9882541128944349,0.9998617584853404,8
