scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability
target256456_ses4_scan10_automatic_conservative,0,0.1393588092171175,0.1393588092171175,0.1458067357987499,0.1421697151853442,0.0027647422633418,1000,864691135720773937,0.1393588092171175
target256456_ses4_scan10_automatic_conservative,1,0.2436715805543628,0.2436715805543628,0.2544805537938984,0.2442465865178188,0.0026973413472259,1000,864691136389679223,0.2436715805543628
target256456_ses4_scan10_automatic_conservative,2,0.4194694909594008,0.4194694909594008,0.4357442975894418,0.4202178140355899,0.0023629271945183,1000,864691135662408944,0.4194694909594007
target256456_ses4_scan10_automatic_conservative,3,0.1919898859787223,0.1919898859787223,0.2007128917969897,0.1943589189447068,0.0026824254769832,1000,864691135739587697,0.1919898859787223
target256456_ses4_scan10_automatic_conservative,4,0.2409713277038309,0.2409713277038309,0.251675585954329,0.2452710891655932,0.0025977014408172,1000,864691135456920938,0.2409713277038308
target256456_ses4_scan10_automatic_conservative,5,0.1903105767854587,0.1903105767854587,0.1989631240056463,0.1901919040122131,0.0025394504181239,1000,864691135135044512,0.1903105767854586
target256456_ses4_scan10_automatic_conservative,6,0.0855922904441582,0.0855922904441582,0.0896020360088425,0.0855818233862888,0.002724713529244,1000,864691135463493438,0.0855922904441581
target256456_ses4_scan10_automatic_conservative,7,0.0385907160917895,0.0385907160917895,0.0404093535069755,0.0374635179619293,0.00269788575115,1000,864691135892048777,0.0385907160917895
target256456_ses4_scan10_automatic_conservative,8,-0.0979151758026811,0.0,0.0,-0.0013407137064071,0.0027620931636219,1000,864691135912195497,-0.0979151758026811
target256456_ses6_scan4_automatic_conservative,0,0.2059777682362482,0.2059777682362482,0.2152815041957047,0.2119978102189781,0.0026854500182939,1000,864691136033227451,0.2059777682362482
target256456_ses6_scan4_automatic_conservative,1,0.0794141500882591,0.0794141500882591,0.0831383410790019,0.0748771003291827,0.0027779858170107,1000,864691135839950227,0.0794141500882591
target256456_ses6_scan4_automatic_conservative,2,0.2798244358570679,0.2798244358570679,0.2919841778353249,0.2796173751252326,0.0025685394861191,1000,864691135892048777,0.2798244358570679
target256456_ses6_scan4_automatic_conservative,3,0.2512952626305997,0.2512952626305997,0.2623971160015259,0.2513272362959782,0.0025715689692647,1000,864691135212576960,0.2512952626305997
target256456_ses6_scan4_automatic_conservative,4,0.1339058251037641,0.1339058251037641,0.1401109928104436,0.1350766423357664,0.0026681980077066,1000,864691135503287618,0.1339058251037641
target256456_ses6_scan4_automatic_conservative,5,0.0593864796526883,0.0593864796526883,0.0621793549441981,0.0588327465292686,0.0026731859101046,1000,864691135387753601,0.0593864796526883
target256456_ses6_scan6_automatic_conservative,0,0.0549115023138209,0.0549115023138209,0.0574952685403023,0.0561447402318591,0.0026860941410172,1000,864691135456920938,0.0549115023138209
target256456_ses6_scan6_automatic_conservative,1,0.1995992557606984,0.1995992557606984,0.2086395624826556,0.1960171842946424,0.0025991620501809,1000,864691135662408944,0.1995992557606984
