readout,calibration_samples,cue_noise_sd,cue_delay_trials,epoch,n_seeds,mean_accuracy_pct,ci95_low_pct,ci95_high_pct
soft,16,0.0,0,80,20,19.39208984375,19.03076171875,19.76806640625
soft,16,0.5,0,80,20,19.1552734375,18.80615234375,19.50439453125
soft,16,1.0,0,80,20,19.0673828125,18.66455078125,19.45068359375
soft,64,0.0,0,80,20,75.06103515625,74.52392578125,75.5908203125
soft,64,0.5,0,80,20,21.38916015625,20.90087890625,21.8310546875
soft,64,1.0,0,80,20,19.29931640625,18.837890625,19.74853515625
soft,256,0.0,0,80,20,79.97802734375,79.599609375,80.3759765625
soft,256,0.5,0,80,20,25.8251953125,24.9658203125,26.640625
soft,256,1.0,0,80,20,19.27001953125,18.85009765625,19.677795410156246
hard,16,0.0,0,80,20,80.29052734375,79.90966796875,80.68359375
hard,16,0.5,0,80,20,32.4072265625,29.88031005859375,35.02447509765624
hard,16,1.0,0,80,20,20.810546875,20.1806640625,21.4599609375
hard,64,0.0,0,80,20,80.29052734375,79.90966796875,80.68359375
hard,64,0.5,0,80,20,54.2236328125,51.5234375,56.68212890624999
hard,64,1.0,0,80,20,22.29736328125,21.66748046875,22.900451660156246
hard,256,0.0,0,80,20,80.29052734375,79.91204833984375,80.693359375
hard,256,0.5,0,80,20,64.03076171875,62.4267578125,65.45654296875
hard,256,1.0,0,80,20,23.43994140625,22.68060302734375,24.2431640625
