control,mean_pp,low_pp,high_pp,n_cells,positive_cells
common + random routes,27.1709140695014,22.862683212295998,31.786547510651005,47,46
common + depth bins,13.507628173594638,9.857297221510759,16.83539132669268,47,45
common + shuffled routes,23.0606115570287,19.462161870483126,26.598803632205296,47,46
common + surrogate ancestry,5.083054718661363,2.439175914260112,7.683175938559936,47,38
