architecture,feedback_family,budget_grid,n_budgets,predicted_best_k,utility_at_predicted_best,realized_best_k_one_step,one_step_progress_at_realized_best,realized_best_k_accuracy,accuracy_at_realized_best,spearman_utility_vs_one_step,spearman_utility_vs_accuracy,utility_tie_across_grid,match_one_step,match_accuracy,within_one_rung_one_step,within_one_rung_accuracy
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
degree_depth_matched_rewired_tree,depth_interleaved_bins,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
degree_depth_matched_rewired_tree,random_rank_k,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
degree_depth_matched_rewired_tree,random_sparse_matched,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
degree_depth_matched_rewired_tree,within_neuron_route_derangement,"1,2,4,8",4,1,0,8,-1.003951541,8,0.2106201172,,,True,False,False,False,False
dendritic_tree,correct_ancestry_subtrees,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
dendritic_tree,depth_interleaved_bins,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
dendritic_tree,learned_rank_k_upper_bound,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
dendritic_tree,random_rank_k,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
dendritic_tree,random_sparse_matched,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
dendritic_tree,within_neuron_route_derangement,"1,2,4,8",4,1,0,8,-0.8780041035,8,0.2512939453,,,True,False,False,False,False
flat_compartment,correct_ancestry_subtrees,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
flat_compartment,depth_interleaved_bins,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
flat_compartment,learned_rank_k_upper_bound,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
flat_compartment,random_rank_k,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
flat_compartment,random_sparse_matched,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
flat_compartment,within_neuron_route_derangement,"1,2,4,8",4,1,0,8,-0.8780041035,8,0.2512939453,,,True,False,False,False,False
grouped_point_subunits,correct_ancestry_subtrees,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
grouped_point_subunits,depth_interleaved_bins,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
grouped_point_subunits,learned_rank_k_upper_bound,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
grouped_point_subunits,random_rank_k,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
grouped_point_subunits,random_sparse_matched,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
grouped_point_subunits,within_neuron_route_derangement,"1,2,4,8",4,1,0,8,-0.8780041035,8,0.2512939453,,,True,False,False,False,False
point_neuron_explicit_gating,correct_ancestry_subtrees,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
point_neuron_explicit_gating,depth_interleaved_bins,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
point_neuron_explicit_gating,learned_rank_k_upper_bound,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
point_neuron_explicit_gating,random_rank_k,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,1,1,False,True,True,True,True
point_neuron_explicit_gating,random_sparse_matched,"1,2,4,8",4,8,0.7357807143,8,1,8,0.8100097656,0.9486832981,0.9486832981,False,True,True,True,True
point_neuron_explicit_gating,within_neuron_route_derangement,"1,2,4,8",4,1,0,8,-0.8780041035,8,0.2512939453,,,True,False,False,False,False
