dynamics,compartment_index,depth,subtree_index,mean_abs_error,mean_abs_error_raw
additive,0,1,0,0.19004941537455564,4.234781962381155e-06
additive,1,1,1,0.190133340872225,4.236652034872636e-06
additive,2,1,2,0.18946994311138154,4.221869853796377e-06
additive,3,2,0,0.999337328084581,2.226776484929588e-05
additive,4,2,0,0.9877323402480306,2.2009176349736326e-05
additive,5,2,0,0.9689391731977184,2.1590417025042647e-05
additive,6,2,1,0.9904301197542975,2.206928970482929e-05
additive,7,2,1,0.9895511661479012,2.2049704393973158e-05
additive,8,2,1,0.9856074837606229,2.196182916948961e-05
additive,9,2,2,0.985564252789938,2.1960865874051356e-05
additive,10,2,2,1.0,2.228253085669907e-05
additive,11,2,2,0.9865262172783653,2.1982300877447787e-05
shunting,0,1,0,0.9961811245411332,9.941955744129882e-06
shunting,1,1,1,0.9863076159156698,9.843417452874005e-06
shunting,2,1,2,1.0,9.980068382353063e-06
shunting,3,2,0,0.3259715100962355,3.253217961459322e-06
shunting,4,2,0,0.3317347808459141,3.31073579764713e-06
shunting,5,2,0,0.329753822373945,3.290965696634277e-06
shunting,6,2,1,0.3391641424666094,3.3848813346588983e-06
shunting,7,2,1,0.32930482697921826,3.286484691891542e-06
shunting,8,2,1,0.32138325316976335,3.207426843577325e-06
shunting,9,2,2,0.32794963147987904,3.2729597481366797e-06
shunting,10,2,2,0.32710056605239546,3.264486017109302e-06
shunting,11,2,2,0.33667641463351616,3.360053640767945e-06
