dynamics,basis,n_seeds,mean_capture,ci95_low_capture,ci95_high_capture
additive,broadcast_k1,15,0.5189436523262506,0.5155957090121146,0.5222915956403866
additive,subtrees_k3,15,0.7175656839410803,0.7154865645541619,0.7196448033279987
additive,exact_k12,15,1.0,1.0,1.0
shunting,broadcast_k1,15,0.47989802564511985,0.4752740848848496,0.4845219664053901
shunting,subtrees_k3,15,0.6253173742227708,0.6232706279920264,0.6273641204535152
shunting,exact_k12,15,1.0,1.0,1.0
