config,depth,branch_factors,signal_delta,seed,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc
0,1,8,0.80,10140,0.6250999570,0.6164999604,0.6096000075,0.6723759770,0.6618865728,0.6536375880
1,1,8,0.80,10141,0.6223999858,0.6094999909,0.6074999571,0.6694542170,0.6542288661,0.6515998244
2,2,2x3,0.80,10140,0.6782000065,0.6800999641,0.6696000099,0.7468078136,0.7442318201,0.7355798483
3,2,2x3,0.80,10141,0.6829000115,0.6733999848,0.6777999997,0.7516033649,0.7366003990,0.7401026487
4,3,2x1x2,0.80,10140,0.9231999516,0.9237999916,0.9242999554,0.9530636668,0.9515011311,0.9562142491
5,3,2x1x2,0.80,10141,0.9205999970,0.9223999977,0.9210999608,0.9517730474,0.9553340673,0.9544007182
