method,mode,field_match,update_match,update_cosine,static_update_match_replay_error,target_root_id,session,scan_idx,replicate,n_sites,dictionary_channels,exact_heldout_normalized_mse,exact_endpoint_replay_error
random anatomical routes,trialwise_update_oracle,,0.46530808461,0.682134946041,1.72435034029e-08,864691135810666525,4,10,3,9,4,0.559825989301,1.25563387465e-07
unprojected baseline transfer,frozen_baseline,0.993436302297,0.985373050851,0.997081996561,,864691135810666525,4,10,3,9,4,0.559825989301,1.25563387465e-07
topology-matched routes,frozen_baseline,0.342737251001,0.22963476396,0.479720365656,5.58565277364e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
topology-matched routes,trialwise_field_projection,0.344892214518,0.23119722386,0.480829724393,5.58565277364e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
topology-matched routes,trialwise_update_oracle,,0.23119722386,0.480829724393,5.58565277364e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
site-shuffled routes,frozen_baseline,0.459715918193,0.283124442171,0.535380803869,2.93949087293e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
site-shuffled routes,trialwise_field_projection,0.461508941537,0.287166526909,0.535879209252,2.93949087293e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
site-shuffled routes,trialwise_update_oracle,,0.287166526909,0.535879209252,2.93949087293e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
random anatomical routes,frozen_baseline,0.308770510507,0.222189840334,0.473046986419,5.86167336891e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
random anatomical routes,trialwise_field_projection,0.310773559129,0.223849270427,0.473563704093,5.86167336891e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
random anatomical routes,trialwise_update_oracle,,0.229908300201,0.479487539151,5.86167336891e-10,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
unprojected baseline transfer,frozen_baseline,0.995190647886,0.989849062929,0.998758406775,,864691135810666525,4,10,4,9,4,0.608015413265,2.26315188812e-10
topology-matched routes,frozen_baseline,0.340982811196,0.337928254712,0.582339701655,1.17102549879e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
topology-matched routes,trialwise_field_projection,0.342389035718,0.341443978293,0.584332078781,1.17102549879e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
topology-matched routes,trialwise_update_oracle,,0.341443978293,0.584332078781,1.17102549879e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
site-shuffled routes,frozen_baseline,0.652880705079,0.622503170773,0.793496192033,3.29108407193e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
site-shuffled routes,trialwise_field_projection,0.654893354061,0.633176250731,0.795723727641,3.29108407193e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
site-shuffled routes,trialwise_update_oracle,,0.633176250731,0.795723727641,3.29108407193e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
random anatomical routes,frozen_baseline,0.318430646846,0.253846936836,0.506110742982,3.33874927705e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
random anatomical routes,trialwise_field_projection,0.319452401669,0.257310618937,0.507258859591,3.33874927705e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
random anatomical routes,trialwise_update_oracle,,0.270885329511,0.52046645378,3.33874927705e-10,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
unprojected baseline transfer,frozen_baseline,0.996728123932,0.987366861651,0.997322531287,,864691135810666525,4,10,5,9,4,0.635967618901,1.57350354968e-10
topology-matched routes,frozen_baseline,0.341944551227,0.194057961835,0.441703062082,9.0956686627e-12,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
topology-matched routes,trialwise_field_projection,0.343834893494,0.196397961194,0.443168095867,9.0956686627e-12,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
topology-matched routes,trialwise_update_oracle,,0.196397961194,0.443168095867,9.0956686627e-12,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
site-shuffled routes,frozen_baseline,0.39339670852,0.290387068596,0.542067570422,2.82925904926e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
site-shuffled routes,trialwise_field_projection,0.395021404397,0.295097577106,0.54322884414,2.82925904926e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
site-shuffled routes,trialwise_update_oracle,,0.295097577106,0.54322884414,2.82925904926e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
random anatomical routes,frozen_baseline,0.313556692826,0.185456019603,0.430698574159,5.61061475057e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
random anatomical routes,trialwise_field_projection,0.315102856268,0.186195350512,0.431706350144,5.61061475057e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
random anatomical routes,trialwise_update_oracle,,0.188202296333,0.433822885903,5.61061475057e-11,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
unprojected baseline transfer,frozen_baseline,0.99566362851,0.989007128588,0.998399790109,,864691135810666525,4,10,6,9,4,0.693877537447,4.98435737128e-11
topology-matched routes,frozen_baseline,0.339092148559,0.391501908631,0.62662501397,8.77823369549e-11,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
topology-matched routes,trialwise_field_projection,0.340886711324,0.394330751133,0.627957602974,8.77823369549e-11,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
topology-matched routes,trialwise_update_oracle,,0.394330751133,0.627957602974,8.77823369549e-11,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
site-shuffled routes,frozen_baseline,0.678876845519,0.608038568216,0.781442520742,5.74649328122e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
