target_root_id,method,mode,field_match,update_match,update_cosine,exact_endpoint_replay_error,static_update_match_replay_error
864691135409937097,site-shuffled routes,frozen_baseline,0.445435409209,0.393945906053,0.604959548806,1.75635428423e-10,7.39278192136e-10
864691135409937097,site-shuffled routes,trialwise_field_projection,0.454253894952,0.420572603187,0.613653096358,1.75635428423e-10,7.39278192136e-10
864691135409937097,site-shuffled routes,trialwise_update_oracle,,0.420572603187,0.613653096358,1.75635428423e-10,7.39278192136e-10
864691135409937097,topology-matched routes,frozen_baseline,0.424074284337,0.297135260601,0.519298525505,1.75635428423e-10,3.93730330978e-10
864691135409937097,topology-matched routes,trialwise_field_projection,0.426091984572,0.300836437617,0.522036022634,1.75635428423e-10,3.93730330978e-10
864691135409937097,topology-matched routes,trialwise_update_oracle,,0.300836437617,0.522036022634,1.75635428423e-10,3.93730330978e-10
864691135409937097,unprojected baseline transfer,frozen_baseline,0.983807872763,0.951130244667,0.985187958715,1.75635428423e-10,
864691135739661169,random anatomical routes,frozen_baseline,0.421921830417,0.382497513526,0.587799314609,2.69784194984e-15,1.09634523682e-15
864691135739661169,random anatomical routes,trialwise_field_projection,0.435004097396,0.389423259639,0.59426800971,2.69784194984e-15,1.09634523682e-15
864691135739661169,random anatomical routes,trialwise_update_oracle,,0.437994331356,0.615458003717,2.69784194984e-15,1.09634523682e-15
864691135739661169,site-shuffled routes,frozen_baseline,0.626371744076,0.651509757676,0.755132550844,2.69784194984e-15,8.02136135292e-16
864691135739661169,site-shuffled routes,trialwise_field_projection,0.633839135515,0.655596596694,0.757276990973,2.69784194984e-15,8.02136135292e-16
864691135739661169,site-shuffled routes,trialwise_update_oracle,,0.673309144225,0.768766251748,2.69784194984e-15,8.02136135292e-16
864691135739661169,topology-matched routes,frozen_baseline,0.252246850694,0.162710753239,0.410056810477,2.69784194984e-15,1.82492909673e-15
864691135739661169,topology-matched routes,trialwise_field_projection,0.265893723931,0.178299265162,0.415527847629,2.69784194984e-15,1.82492909673e-15
864691135739661169,topology-matched routes,trialwise_update_oracle,,0.178299265162,0.415527847629,2.69784194984e-15,1.82492909673e-15
864691135739661169,unprojected baseline transfer,frozen_baseline,0.986301878894,0.984189946499,0.994063203246,2.69784194984e-15,
864691135810666525,random anatomical routes,frozen_baseline,0.30454926924,0.28742599089,0.434018750676,4.08401054498e-06,2.2513640893e-06
864691135810666525,random anatomical routes,trialwise_field_projection,0.308902263006,0.29024217735,0.435703451243,4.08401054498e-06,2.2513640893e-06
864691135810666525,random anatomical routes,trialwise_update_oracle,,0.301981668605,0.441111141161,4.08401054498e-06,2.2513640893e-06
864691135810666525,site-shuffled routes,frozen_baseline,0.342192679289,0.334063339924,0.486655609293,4.08401054498e-06,2.31985312886e-06
864691135810666525,site-shuffled routes,trialwise_field_projection,0.346934621309,0.337929179882,0.488163413486,4.08401054498e-06,2.31985312886e-06
864691135810666525,site-shuffled routes,trialwise_update_oracle,,0.347086734001,0.493468004153,4.08401054498e-06,2.31985312886e-06
864691135810666525,topology-matched routes,frozen_baseline,0.425765844883,0.43732457187,0.598965626282,4.08401054498e-06,1.27642958472e-06
864691135810666525,topology-matched routes,trialwise_field_projection,0.431283721591,0.44538061996,0.601260783406,4.08401054498e-06,1.27642958472e-06
864691135810666525,topology-matched routes,trialwise_update_oracle,,0.44538061996,0.601260783406,4.08401054498e-06,1.27642958472e-06
864691135810666525,unprojected baseline transfer,frozen_baseline,0.988784799645,0.986146420461,0.996706197452,4.08401054498e-06,
