target_root_id,session,scan_idx,method,mode,field_match,update_match,update_cosine,exact_endpoint_replay_error,static_update_match_replay_error
864691135277186789,4,7,random anatomical routes,frozen_baseline,0.231242188409,0.198425102085,0.414106904409,5.4302857766e-10,2.45344982178e-10
864691135277186789,4,7,random anatomical routes,trialwise_field_projection,0.241626118983,0.215508626198,0.422082120285,5.4302857766e-10,2.45344982178e-10
864691135277186789,4,7,random anatomical routes,trialwise_update_oracle,,0.221747197078,0.426719679271,5.4302857766e-10,2.45344982178e-10
864691135277186789,4,7,site-shuffled routes,frozen_baseline,0.242680235803,0.216745495302,0.436770049727,5.4302857766e-10,3.20708685043e-10
864691135277186789,4,7,site-shuffled routes,trialwise_field_projection,0.252042826173,0.223479074464,0.441920321347,5.4302857766e-10,3.20708685043e-10
864691135277186789,4,7,site-shuffled routes,trialwise_update_oracle,,0.22899465916,0.445951880739,5.4302857766e-10,3.20708685043e-10
864691135277186789,4,7,topology-matched routes,frozen_baseline,0.0694849736463,0.055327589614,0.238144277398,5.4302857766e-10,1.43792853319e-10
864691135277186789,4,7,topology-matched routes,trialwise_field_projection,0.0806582598219,0.0679489442301,0.252946912772,5.4302857766e-10,1.43792853319e-10
864691135277186789,4,7,topology-matched routes,trialwise_update_oracle,,0.0679489442301,0.252946912772,5.4302857766e-10,1.43792853319e-10
864691135277186789,4,7,unprojected baseline transfer,frozen_baseline,0.970266579509,0.965117778597,0.985383055385,5.4302857766e-10,
864691135277186789,8,5,random anatomical routes,frozen_baseline,0.312417240484,0.284661663445,0.471598129217,5.78529186765e-05,8.3331322591e-06
864691135277186789,8,5,random anatomical routes,trialwise_field_projection,0.313937849163,0.290934147615,0.473522626875,5.78529186765e-05,8.3331322591e-06
864691135277186789,8,5,random anatomical routes,trialwise_update_oracle,,0.300351947661,0.478927939356,5.78529186765e-05,8.3331322591e-06
864691135277186789,8,5,site-shuffled routes,frozen_baseline,0.14283263678,0.127778275182,0.335860305871,5.78529186765e-05,2.57251776326e-05
