dataset	local_path	source_url	doi	sha256	access	planned_use
Francioni2026	external_data/animal_learning/francioni_2026/source_data.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10190-7/MediaObjects/41586_2026_10190_MOESM3_ESM.xlsx	10.1038/s41586-026-10190-7	be1b87481d0f1d1bffc85d8a4cabfd37b7055d640306afab5b3622de0ced8264	public	External test of the predicted neuron-specific sign of a dendritic teaching signal
Francioni2026	external_data/animal_learning/francioni_2026/paper/article.pdf	https://www.nature.com/articles/s41586-026-10190-7.pdf	10.1038/s41586-026-10190-7	8be6f1ebec2c662adf96181c2be05e7d4c338c1e57454e9bdaf34356634adcbd	open-access	Variable definitions and source-data interpretation
Wright2025	external_data/animal_learning/wright_2025/RESTRICTED	https://zenodo.org/records/14549129	10.1126/science.ads4706	NA	restricted	Held-out compartment-specific learning-rule test; requires author-approved Zenodo access
CichonGan2015	external_data/animal_learning/cichon_gan_2015/MOESM30.ppt	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature14251/MediaObjects/41586_2015_BFnature14251_MOESM30_ESM.ppt	10.1038/nature14251	a905bca401c9dfdf1cff12858121bcd73d788e351078b87bfa761c420403f153	public	Published figure asset; qualitative external evidence only
CichonGan2015	external_data/animal_learning/cichon_gan_2015/MOESM31.ppt	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature14251/MediaObjects/41586_2015_BFnature14251_MOESM31_ESM.ppt	10.1038/nature14251	8d39958dc8c182ce67208ca999593a745766010658c753bb66ef4c00aec1d1ae	public	Published figure asset; qualitative external evidence only
CichonGan2015	external_data/animal_learning/cichon_gan_2015/MOESM32.ppt	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature14251/MediaObjects/41586_2015_BFnature14251_MOESM32_ESM.ppt	10.1038/nature14251	61cba1d0a110e4243437a5c1399eef6de3c1a9578a787e49b452517afbd81cde	public	Published figure asset; qualitative external evidence only
CichonGan2015	external_data/animal_learning/cichon_gan_2015/MOESM33.ppt	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature14251/MediaObjects/41586_2015_BFnature14251_MOESM33_ESM.ppt	10.1038/nature14251	fe83bd568d6d604d4328ad237ca80550e6ca0ae9205086c0c4033501ff7f52e7	public	Published figure asset; qualitative external evidence only
CichonGan2015	external_data/animal_learning/cichon_gan_2015/MOESM34.ppt	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature14251/MediaObjects/41586_2015_BFnature14251_MOESM34_ESM.ppt	10.1038/nature14251	73e8bde394c9d5714d67042a63a7254c760ac1db1dd921e91cb63fbea36f4279	public	Published figure asset; qualitative external evidence only
Lai2025	external_data/animal_learning/lai_2025/MOESM9.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41593-025-02072-4/MediaObjects/41593_2025_2072_MOESM9_ESM.xlsx	10.1038/s41593-025-02072-4	ad3ddf1a9e9a7252f9b51e2d4ed4109b788d249fcf9912111980374b447e497e	public	Deferred branch-local spine-change analysis; timing-dependent extension is out of current scope
Lai2025	external_data/animal_learning/lai_2025/MOESM10.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41593-025-02072-4/MediaObjects/41593_2025_2072_MOESM10_ESM.xlsx	10.1038/s41593-025-02072-4	329a0d23f8a410ac3fb85ff7a6ed7ed1f391b70f1a8bac826f24a85309eaa484	public	Deferred branch-local spine-change analysis; timing-dependent extension is out of current scope
