config_dir,core_type,ie_synapses,dataset_name,seed,strategy,test_accuracy,train_accuracy,valid_accuracy
config_0,dendritic_shunting,20,mnist,47,local_ca,0.8969999551773071,0.9037916660308838,0.8925833106040955
config_1,dendritic_shunting,20,mnist,48,local_ca,0.889799952507019,0.8980833292007446,0.8865000009536743
config_2,dendritic_shunting,20,mnist,49,local_ca,0.9085999727249146,0.9127708077430725,0.903083324432373
config_3,dendritic_additive,20,mnist,47,local_ca,0.894599974155426,0.8913750052452087,0.8891666531562805
config_4,dendritic_additive,20,mnist,48,local_ca,0.8887999653816223,0.887458324432373,0.8837499618530273
config_5,dendritic_additive,20,mnist,49,local_ca,0.8881999850273132,0.8824374675750732,0.8812499642372131
config_6,dendritic_shunting,20,context_gating,47,local_ca,0.7540000081062317,0.7901250123977661,0.7720000147819519
config_7,dendritic_shunting,20,context_gating,48,local_ca,0.7790000438690186,0.8147500157356262,0.7970000505447388
config_8,dendritic_shunting,20,context_gating,49,local_ca,0.7820000648498535,0.7991250157356262,0.784000039100647
config_9,dendritic_additive,20,context_gating,47,local_ca,0.6910000443458557,0.7012500166893005,0.6990000605583191
config_10,dendritic_additive,20,context_gating,48,local_ca,0.6820000410079956,0.7155000567436218,0.7250000238418579
config_11,dendritic_additive,20,context_gating,49,local_ca,0.6270000338554382,0.6407500505447388,0.6320000290870667
