config_dir,core_type,ie_synapses,dataset_name,seed,strategy,test_accuracy,train_accuracy,valid_accuracy
config_0,dendritic_shunting,0,mnist,42,local_ca,0.7027999758720398,0.700124979019165,0.7005833387374878
config_1,dendritic_shunting,0,mnist,43,local_ca,0.7660999894142151,0.7583958506584167,0.7524166703224182
config_2,dendritic_shunting,0,mnist,44,local_ca,0.6861000061035156,0.6797499656677246,0.6740833520889282
config_3,dendritic_shunting,0,mnist,45,local_ca,0.805899977684021,0.8061458468437195,0.8060833215713501
config_4,dendritic_shunting,0,mnist,46,local_ca,0.6687999963760376,0.661062479019165,0.6610833406448364
config_5,dendritic_shunting,0,noise_resilience,42,local_ca,0.7280000448226929,0.7385000586509705,0.7070000171661377
config_6,dendritic_shunting,0,noise_resilience,43,local_ca,0.7350000143051147,0.7343750596046448,0.7100000381469727
config_7,dendritic_shunting,0,noise_resilience,44,local_ca,0.7260000109672546,0.7443750500679016,0.7190000414848328
config_8,dendritic_shunting,0,noise_resilience,45,local_ca,0.6880000233650208,0.7207500338554382,0.706000030040741
config_9,dendritic_shunting,0,noise_resilience,46,local_ca,0.7070000171661377,0.7288750410079956,0.6950000524520874
config_10,dendritic_shunting,5,mnist,42,local_ca,0.9110999703407288,0.9157499670982361,0.9045833349227905
config_11,dendritic_shunting,5,mnist,43,local_ca,0.9126999974250793,0.9136666655540466,0.9022499918937683
config_12,dendritic_shunting,5,mnist,44,local_ca,0.8962000012397766,0.9045624732971191,0.8955833315849304
config_13,dendritic_shunting,5,mnist,45,local_ca,0.9096999764442444,0.9133332967758179,0.9046666622161865
config_14,dendritic_shunting,5,mnist,46,local_ca,0.9002999663352966,0.9080625176429749,0.8949166536331177
config_15,dendritic_shunting,5,noise_resilience,42,local_ca,0.8950000405311584,0.9417500495910645,0.8720000386238098
config_16,dendritic_shunting,5,noise_resilience,43,local_ca,0.8700000643730164,0.9465000629425049,0.8960000276565552
config_17,dendritic_shunting,5,noise_resilience,44,local_ca,0.8960000276565552,0.952375054359436,0.9080000519752502
config_18,dendritic_shunting,5,noise_resilience,45,local_ca,0.893000066280365,0.9592500329017639,0.8890000581741333
config_19,dendritic_shunting,5,noise_resilience,46,local_ca,0.9050000309944153,0.9578750729560852,0.9040000438690186
config_20,dendritic_shunting,10,mnist,42,local_ca,0.9043999910354614,0.9149374961853027,0.9020833373069763
config_21,dendritic_shunting,10,mnist,43,local_ca,0.9145999550819397,0.9194583296775818,0.9089166522026062
config_22,dendritic_shunting,10,mnist,44,local_ca,0.8912000060081482,0.8933541774749756,0.8901666402816772
config_23,dendritic_shunting,10,mnist,45,local_ca,0.9066999554634094,0.9137083292007446,0.9009999632835388
config_24,dendritic_shunting,10,mnist,46,local_ca,0.9012999534606934,0.9096666574478149,0.8964999914169312
config_25,dendritic_shunting,10,noise_resilience,42,local_ca,0.8850000500679016,0.9295000433921814,0.8510000109672546
config_26,dendritic_shunting,10,noise_resilience,43,local_ca,0.8950000405311584,0.9446250200271606,0.8980000615119934
config_27,dendritic_shunting,10,noise_resilience,44,local_ca,0.9110000729560852,0.9726250171661377,0.9290000200271606
config_28,dendritic_shunting,10,noise_resilience,45,local_ca,0.906000018119812,0.9745000600814819,0.9240000247955322
config_29,dendritic_shunting,10,noise_resilience,46,local_ca,0.9170000553131104,0.9778750538825989,0.9240000247955322
config_30,dendritic_shunting,20,mnist,42,local_ca,0.9134999513626099,0.9221875071525574,0.9081666469573975
config_31,dendritic_shunting,20,mnist,43,local_ca,0.916700005531311,0.9230625033378601,0.909333348274231
config_32,dendritic_shunting,20,mnist,44,local_ca,0.9163999557495117,0.921833336353302,0.9112499952316284
config_33,dendritic_shunting,20,mnist,45,local_ca,0.9143999814987183,0.9216041564941406,0.9110000133514404
config_34,dendritic_shunting,20,mnist,46,local_ca,0.9084999561309814,0.9166874885559082,0.9057499766349792
config_35,dendritic_shunting,20,noise_resilience,42,local_ca,0.859000027179718,0.9081250429153442,0.8420000672340393
config_36,dendritic_shunting,20,noise_resilience,43,local_ca,0.737000048160553,0.7576250433921814,0.7440000176429749
config_37,dendritic_shunting,20,noise_resilience,44,local_ca,0.9180000424385071,0.9687500596046448,0.9280000329017639
config_38,dendritic_shunting,20,noise_resilience,45,local_ca,0.9220000505447388,0.9718750715255737,0.9220000505447388
config_39,dendritic_shunting,20,noise_resilience,46,local_ca,0.9220000505447388,0.9770000576972961,0.921000063419342
config_40,dendritic_shunting,40,mnist,42,local_ca,0.9114999771118164,0.9153124690055847,0.8998333215713501
config_41,dendritic_shunting,40,mnist,43,local_ca,0.9186999797821045,0.9271875023841858,0.9137499928474426
config_42,dendritic_shunting,40,mnist,44,local_ca,0.8985999822616577,0.90625,0.8959999680519104
config_43,dendritic_shunting,40,mnist,45,local_ca,0.9181999564170837,0.9273541569709778,0.9165832996368408
config_44,dendritic_shunting,40,mnist,46,local_ca,0.905299961566925,0.914437472820282,0.9017499685287476
config_45,dendritic_shunting,40,noise_resilience,42,local_ca,0.8180000185966492,0.8482500314712524,0.7870000600814819
