core_type,dataset_name,ie_synapses,n_seeds,test_acc_mean,test_acc_std,train_acc_mean,valid_acc_mean
dendritic_additive,mnist,0,5,0.7906399846076966,0.018317550180692956,0.7840208292007447,0.7837499856948853
dendritic_additive,mnist,5,5,0.8898999929428101,0.008107728597125104,0.890637481212616,0.8847666501998901
dendritic_additive,mnist,10,5,0.8976199865341187,0.005887874380637836,0.9008833289146423,0.8942499995231629
dendritic_additive,mnist,20,5,0.8951599717140197,0.005062419833955421,0.8970875024795533,0.8905499815940857
dendritic_additive,mnist,40,5,0.8833799839019776,0.014341262682448156,0.8844541668891907,0.8775666713714599
dendritic_additive,noise_resilience,0,5,0.33180001378059387,0.015449914910876099,0.33275001049041747,0.3454000174999237
dendritic_additive,noise_resilience,5,5,0.4730000257492065,0.09060629322674446,0.4915250241756439,0.48080002665519717
dendritic_additive,noise_resilience,10,5,0.36340001225471497,0.0400474731016651,0.3454000174999237,0.3596000254154205
dendritic_additive,noise_resilience,20,5,0.3642000138759613,0.0504202392466483,0.36117501854896544,0.365800017118454
dendritic_additive,noise_resilience,40,5,0.3538000166416168,0.02662142240057186,0.34582502245903013,0.35220001339912416
dendritic_shunting,mnist,0,5,0.7259399890899658,0.05786641648106296,0.7210958242416382,0.7188500046730042
dendritic_shunting,mnist,5,5,0.9059999823570252,0.007299312435735337,0.911074984073639,0.9003999948501586
dendritic_shunting,mnist,10,5,0.9036399722099304,0.008518961168031797,0.910224997997284,0.8997333168983459
dendritic_shunting,mnist,20,5,0.9138999700546264,0.0033037972062109197,0.9210749983787536,0.9090999960899353
dendritic_shunting,mnist,40,5,0.9104599714279175,0.008604820769799206,0.918108320236206,0.9055833101272583
dendritic_shunting,noise_resilience,0,5,0.7168000221252442,0.019149412812480796,0.7333750486373901,0.7074000358581543
dendritic_shunting,noise_resilience,5,5,0.891800045967102,0.013026882420381167,0.9515500545501709,0.8938000440597534
dendritic_shunting,noise_resilience,10,5,0.9028000473976135,0.012814059355227631,0.9598250389099121,0.9052000284194947
dendritic_shunting,noise_resilience,20,5,0.8716000437736511,0.07985799972194933,0.9166750550270081,0.8714000463485718
dendritic_shunting,noise_resilience,40,5,0.8446000456809998,0.0724382690520555,0.885075056552887,0.8364000439643859
