dataset,neurons,strategy,core_type,seed,epoch,train_acc,test_acc
fashion_mnist,128,local_ca,dendritic_shunting,42,1,0.10622916370630264,0.10610000044107437
fashion_mnist,128,local_ca,dendritic_shunting,42,2,0.21014583110809326,0.21439999341964722
fashion_mnist,128,local_ca,dendritic_shunting,42,3,0.26620832085609436,0.26809999346733093
fashion_mnist,128,local_ca,dendritic_shunting,42,4,0.33908334374427795,0.34289997816085815
fashion_mnist,128,local_ca,dendritic_shunting,42,5,0.39781248569488525,0.39719998836517334
fashion_mnist,128,local_ca,dendritic_shunting,42,6,0.3571458160877228,0.35599997639656067
fashion_mnist,128,local_ca,dendritic_shunting,42,7,0.37193748354911804,0.37209999561309814
fashion_mnist,128,local_ca,dendritic_shunting,42,8,0.5036458373069763,0.4991999864578247
fashion_mnist,128,local_ca,dendritic_shunting,42,9,0.460895836353302,0.4585999846458435
fashion_mnist,128,local_ca,dendritic_shunting,42,10,0.5141666531562805,0.5133000016212463
fashion_mnist,128,local_ca,dendritic_shunting,42,11,0.44460415840148926,0.4406999945640564
fashion_mnist,128,local_ca,dendritic_shunting,42,12,0.4905208349227905,0.49129998683929443
fashion_mnist,128,local_ca,dendritic_shunting,42,13,0.5293333530426025,0.5291999578475952
fashion_mnist,128,local_ca,dendritic_shunting,42,14,0.5728332996368408,0.5679999589920044
fashion_mnist,128,local_ca,dendritic_shunting,42,15,0.589020848274231,0.5823999643325806
fashion_mnist,128,local_ca,dendritic_shunting,42,16,0.5906875133514404,0.5860999822616577
fashion_mnist,128,local_ca,dendritic_shunting,42,17,0.6274166703224182,0.6222000122070312
fashion_mnist,128,local_ca,dendritic_shunting,42,18,0.6432291865348816,0.6396999955177307
fashion_mnist,128,local_ca,dendritic_shunting,42,19,0.6552916765213013,0.6527000069618225
fashion_mnist,128,local_ca,dendritic_shunting,42,20,0.6614166498184204,0.6574999690055847
fashion_mnist,128,local_ca,dendritic_shunting,42,21,0.6675208210945129,0.6624999642372131
fashion_mnist,128,local_ca,dendritic_shunting,42,22,0.6719791889190674,0.6644999980926514
fashion_mnist,128,local_ca,dendritic_shunting,42,23,0.6790208220481873,0.6704999804496765
fashion_mnist,128,local_ca,dendritic_shunting,42,24,0.6811875104904175,0.6744999885559082
fashion_mnist,128,local_ca,dendritic_shunting,42,25,0.6839791536331177,0.6762999892234802
