config_id,sweep,model,strategy,seed,dataset,last_epoch,test_accuracy,train_accuracy,valid_accuracy
config_0,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,standard,42,cifar10,300,0.4034000039100647,0.5863999724388123,0.397599995136261
config_1,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,standard,43,cifar10,300,0.40119999647140503,0.5952000021934509,0.3959333300590515
config_10,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,standard,42,cifar10,300,0.38589999079704285,0.4245999753475189,0.3797111213207245
config_11,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,standard,43,cifar10,300,0.3836999833583832,0.4405999779701233,0.37586668133735657
config_12,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,standard,44,cifar10,300,0.3709000051021576,0.4397999942302704,0.36640000343322754
config_13,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,standard,45,cifar10,300,0.37279999256134033,0.4407999813556671,0.3767777681350708
config_14,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,standard,46,cifar10,300,0.37529999017715454,0.4245999753475189,0.3767111301422119
config_15,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,local_ca,42,cifar10,300,0.09999999403953552,0.10359999537467957,0.09960000216960907
config_16,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,local_ca,43,cifar10,300,0.09999999403953552,0.10639999806880951,0.09928888827562332
config_17,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,local_ca,44,cifar10,300,0.09999999403953552,0.11559999734163284,0.09826666861772537
config_18,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,local_ca,45,cifar10,300,0.09999999403953552,0.1013999953866005,0.09984444826841354
config_19,sweep_neurips_cifar10_local_20260225132739,dendritic_additive,local_ca,46,cifar10,300,0.09999999403953552,0.10559999942779541,0.09937778115272522
config_2,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,standard,44,cifar10,300,0.39809998869895935,0.599399983882904,0.3877333402633667
config_3,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,standard,45,cifar10,300,0.4009999930858612,0.6031999588012695,0.3953777849674225
config_4,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,standard,46,cifar10,300,0.4025999903678894,0.5727999806404114,0.3992444574832916
config_5,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,local_ca,42,cifar10,300,0.20729999244213104,0.22100000083446503,0.2043333351612091
config_6,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,local_ca,43,cifar10,300,0.2231999933719635,0.22179999947547913,0.21855555474758148
config_7,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,local_ca,44,cifar10,300,0.19999998807907104,0.21559999883174896,0.1929333359003067
config_8,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,local_ca,45,cifar10,300,0.21859999001026154,0.2231999933719635,0.21846666932106018
config_9,sweep_neurips_cifar10_local_20260225132739,dendritic_shunting,local_ca,46,cifar10,300,0.20989999175071716,0.21199999749660492,0.20897777378559113
