config_id,model_type,ie_synapses,dataset,seed,strategy,broadcast_mode,layer_name,is_shunting,R_tot_mean,R_tot_std,R_tot_median,R_tot_q25,R_tot_q75,R_tot_max,R_tot_min,g_tot_mean,g_tot_std,voltage_mean,voltage_std,sensitivity_exc_mean,sensitivity_exc_std,sensitivity_inh_mean,sensitivity_inh_std
config_0,dendritic_shunting,2,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.7498750686645508,0.19081079959869385,0.7619749307632446,0.6377741098403931,0.8981231898069382,1.0,0.03751961514353752,1.6388486623764038,1.757016658782959,0.2769969403743744,0.21777717769145966,0.5698084235191345,0.27026963233947754,0.18006660044193268,0.1108197346329689
config_0,dendritic_shunting,2,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.020039938390254974,0.0011092695640400052,0.020340384915471077,0.020183284766972065,0.020487718284130096,0.021291032433509827,0.01348022185266018,50.08423614501953,3.3342795372009277,0.23693780601024628,0.21812407672405243,0.015276526100933552,0.004438295960426331,0.004763410892337561,0.004415855742990971
config_0,dendritic_shunting,2,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.019947469234466553,0.00016161463281605393,0.019898010417819023,0.019817993510514498,0.020074046682566404,0.020340673625469208,0.019752614200115204,50.134944915771484,0.4035625755786896,0.17491820454597473,0.209087073802948,0.016460413113236427,0.004177873022854328,0.003487054957076907,0.004165770951658487
config_1,dendritic_shunting,2,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.7802295088768005,0.18545113503932953,0.8090879917144775,0.6607854217290878,0.9354335218667984,1.0,0.05597410351037979,1.5077013969421387,1.4410558938980103,0.2298017144203186,0.20660673081874847,0.6293759942054749,0.2681747078895569,0.15085351467132568,0.1042650118470192
config_1,dendritic_shunting,2,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.019806958734989166,0.0013452523853629827,0.0203381460160017,0.020087250042706728,0.020507339388132095,0.021218983456492424,0.013473421335220337,50.75724792480469,3.980372905731201,0.21729548275470734,0.2233150452375412,0.015485449694097042,0.00454688211902976,0.004321510903537273,0.004488150589168072
config_1,dendritic_shunting,2,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.0199478380382061,0.00013951763685327023,0.019927510991692543,0.01986095169559121,0.019998198375105858,0.020262785255908966,0.019742164760828018,50.1331901550293,0.349007248878479,0.19240011274814606,0.2329939305782318,0.01610928401350975,0.004648758098483086,0.003838552627712488,0.004650015849620104
config_10,dendritic_shunting,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.5982989072799683,0.2893916666507721,0.6726977825164795,0.2713848948478699,0.834941178560257,1.0,0.05290616303682327,2.586724042892456,2.189572334289551,0.17713764309883118,0.1733442097902298,0.4881170094013214,0.27834388613700867,0.11018187552690506,0.10819754004478455
config_10,dendritic_shunting,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.019764892756938934,0.0008691038237884641,0.020127099007368088,0.019166845828294754,0.020477507263422012,0.020918196067214012,0.015811655670404434,50.69730758666992,2.335740089416504,0.16391591727733612,0.15986815094947815,0.016510887071490288,0.003198497463017702,0.00325400335714221,0.0032035852782428265
config_10,dendritic_shunting,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.02002592384815216,0.00020864087855443358,0.02002456784248352,0.019839491229504347,0.02015750575810671,0.020362742245197296,0.019713161513209343,49.940696716308594,0.5200063586235046,0.15574300289154053,0.16566185653209686,0.01690812036395073,0.003324048826470971,0.0031178039498627186,0.0033129085786640644
config_11,dendritic_shunting,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.5260744094848633,0.29436832666397095,0.5905238389968872,0.19938397035002708,0.7806660681962967,1.0,0.06394585967063904,3.110668182373047,2.477893352508545,0.16233281791210175,0.16685277223587036,0.43237918615341187,0.2717720866203308,0.09369513392448425,0.10189240425825119
config_11,dendritic_shunting,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.019842887297272682,0.0008569168276153505,0.020213041454553604,0.019166527781635523,0.020526380743831396,0.020931562408804893,0.01620357111096382,50.49491500854492,2.2962265014648438,0.15229617059230804,0.15895360708236694,0.016797387972474098,0.0031629237346351147,0.0030454983934760094,0.0032222538720816374
config_11,dendritic_shunting,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.02005361020565033,0.00020758711616508663,0.02002888172864914,0.019861902575939894,0.020272098015993834,0.020389048382639885,0.019785694777965546,49.871665954589844,0.5152736902236938,0.14505282044410706,0.1696326583623886,0.017140820622444153,0.0033949699718505144,0.0029127902816981077,0.0034137326292693615
config_12,dendritic_shunting,5,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.6996079087257385,0.21323679387569427,0.7160592079162598,0.5872144550085068,0.8542779982089996,1.0,0.07758025825023651,1.726460576057434,1.1731631755828857,0.35654139518737793,0.23803545534610748,0.4741625487804413,0.2728375494480133,0.2254454344511032,0.12490511685609818
