config_dir,core_type,ie_synapses,dataset_name,seed,strategy,test_accuracy,train_accuracy,valid_accuracy
config_0,dendritic_shunting,20,fashion_mnist,42,local_ca,0.8183000087738037,0.8336458206176758,0.8276666402816772
config_1,dendritic_shunting,20,fashion_mnist,43,local_ca,0.8093000054359436,0.8270624876022339,0.8187499642372131
config_2,dendritic_shunting,20,fashion_mnist,44,local_ca,0.8283999562263489,0.8444166779518127,0.840499997138977
config_3,dendritic_shunting,20,fashion_mnist,45,local_ca,0.7982999682426453,0.8138958215713501,0.8159166574478149
config_4,dendritic_shunting,20,fashion_mnist,46,local_ca,0.8030999898910522,0.8163541555404663,0.8119166493415833
config_5,dendritic_shunting,20,fashion_mnist,42,standard,0.8774999976158142,0.9169791340827942,0.8889999985694885
config_6,dendritic_shunting,20,fashion_mnist,43,standard,0.8791999816894531,0.9205833077430725,0.8902499675750732
config_7,dendritic_shunting,20,fashion_mnist,44,standard,0.8815000057220459,0.9201874732971191,0.890500009059906
config_8,dendritic_shunting,20,fashion_mnist,45,standard,0.8781999945640564,0.9259374737739563,0.8895833492279053
config_9,dendritic_shunting,20,fashion_mnist,46,standard,0.8806999921798706,0.9167500138282776,0.8847500085830688
config_10,dendritic_additive,20,fashion_mnist,42,local_ca,0.8154999613761902,0.8294374942779541,0.8205833435058594
config_11,dendritic_additive,20,fashion_mnist,43,local_ca,0.809499979019165,0.8247500061988831,0.8186666369438171
config_12,dendritic_additive,20,fashion_mnist,44,local_ca,0.7928000092506409,0.8006874918937683,0.8056666851043701
config_13,dendritic_additive,20,fashion_mnist,45,local_ca,0.7962999939918518,0.8100416660308838,0.8032500147819519
config_14,dendritic_additive,20,fashion_mnist,46,local_ca,0.7563999891281128,0.7658958435058594,0.762416660785675
config_15,dendritic_additive,20,fashion_mnist,42,standard,0.8751999735832214,0.9153749942779541,0.8837499618530273
config_16,dendritic_additive,20,fashion_mnist,43,standard,0.873699963092804,0.9191874861717224,0.8847500085830688
config_17,dendritic_additive,20,fashion_mnist,44,standard,0.8764999508857727,0.9141666293144226,0.8851666450500488
config_18,dendritic_additive,20,fashion_mnist,45,standard,0.8734999895095825,0.9172499775886536,0.8847500085830688
config_19,dendritic_additive,20,fashion_mnist,46,standard,0.8722999691963196,0.9159583449363708,0.8829166293144226
