seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,aligned_strong,bound_sensitivity,4096,adam,exact,0.03,True,True,6.467009153460121e-06,6.190816849990623e-06,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,adam,unit_broadcast,0.03,True,True,0.00103733549244489,0.0009946543868432486,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,adam,calibrated_broadcast,0.03,True,True,0.0010368613247372014,0.0009941874398972659,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,adam,ancestry_three_oracle,0.03,True,True,1.0186600866461376e-05,9.709559640762185e-06,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,sgd,exact,0.3,True,True,0.0001681781926924646,0.00017247112098986252,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,sgd,unit_broadcast,0.3,True,True,0.00250584457681996,0.0024330201540631153,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,sgd,calibrated_broadcast,0.3,True,True,0.006628011817866451,0.006307511372573249,0,0,7.0
2111,aligned_strong,bound_sensitivity,4096,sgd,ancestry_three_oracle,0.3,True,True,0.00016628089347937362,0.0001699364453489373,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,adam,exact,0.03,True,True,2.0125903969138564e-07,1.9861692654710203e-07,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,adam,unit_broadcast,0.03,True,True,0.000991822907315331,0.0009436402688874556,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,adam,calibrated_broadcast,0.03,True,True,0.000991608233034167,0.0009434171537842382,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,adam,ancestry_three_oracle,0.03,True,True,1.6905277808106795e-07,1.7640663953848085e-07,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,sgd,exact,0.3,True,True,0.00013461790803119363,0.00013729713508132794,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,sgd,unit_broadcast,0.3,True,True,0.0023580916675407645,0.0022913850437976477,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,sgd,calibrated_broadcast,0.3,True,True,0.006171601081523823,0.005884678917955099,0,0,7.0
2111,aligned_strong,bound_sensitivity,8192,sgd,ancestry_three_oracle,0.3,True,True,0.00013171446164867922,0.00013404657482744118,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,adam,exact,0.03,True,True,1.837153075627949e-06,1.78339903954841e-06,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,adam,unit_broadcast,0.03,True,True,0.00036963683013614224,0.0003532621629205741,0,801,7.0
2111,aligned_strong,bound_sensitivity,12288,adam,calibrated_broadcast,0.03,True,True,0.0003685199384135193,0.00035216107173858526,0,802,7.0
2111,aligned_strong,bound_sensitivity,12288,adam,ancestry_three_oracle,0.03,True,True,1.193406577257432e-07,1.2450660665497685e-07,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,sgd,exact,0.3,True,True,0.00012917607072157202,0.00013127622027052398,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,sgd,unit_broadcast,0.3,True,True,0.0021407027021328297,0.00208545629171078,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,sgd,calibrated_broadcast,0.3,True,True,0.005133067932481322,0.0048880378782327595,0,0,7.0
2111,aligned_strong,bound_sensitivity,12288,sgd,ancestry_three_oracle,0.3,True,True,0.0001247245825733383,0.00012671314460293353,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,adam,exact,0.03,True,True,5.064834527387873e-06,5.309233823491806e-06,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,adam,unit_broadcast,0.03,True,True,0.0005125930206579548,0.00048721262808155676,0,2593,7.0
2111,aligned_strong,bound_sensitivity,16384,adam,calibrated_broadcast,0.03,True,True,0.0005120219133409444,0.0004866620183522434,0,2591,7.0
2111,aligned_strong,bound_sensitivity,16384,adam,ancestry_three_oracle,0.03,True,True,1.3676312671512998e-06,1.3820411997836494e-06,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,sgd,exact,0.3,True,True,0.00012750444067238662,0.00012945711315446237,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,sgd,unit_broadcast,0.3,True,True,0.001953920833120409,0.0019133152689368765,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,sgd,calibrated_broadcast,0.3,True,True,0.004190321093745784,0.003988281305259518,0,0,7.0
2111,aligned_strong,bound_sensitivity,16384,sgd,ancestry_three_oracle,0.3,True,True,0.00012159263214384433,0.0001235437240359345,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,adam,exact,0.03,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,adam,unit_broadcast,0.03,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,adam,calibrated_broadcast,0.03,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,adam,ancestry_three_oracle,0.03,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,sgd,exact,0.3,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,sgd,unit_broadcast,0.3,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,sgd,calibrated_broadcast,0.3,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,0,sgd,ancestry_three_oracle,0.3,True,True,2.4527101795934607,2.429738320496128,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,adam,exact,0.03,True,True,0.027235822117781833,0.027748801637321255,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,adam,unit_broadcast,0.03,True,True,0.847668568141515,0.844290766627701,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,adam,calibrated_broadcast,0.03,True,True,0.8476685581287062,0.8442907531019291,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,adam,ancestry_three_oracle,0.03,True,True,0.028388308446057255,0.02889957858312863,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,sgd,exact,0.3,True,True,0.03234038742594111,0.03273507608479822,0,0,7.0
