seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture,bound
2119,aligned_strong,bound_sensitivity,adam,exact,0.03,True,True,8192,3.3471967829040055e-07,3.3051203544818587e-07,0.9340816589585995,0.8950619732467209,1.2313027820562443,0.5474352560860156,0.7944169221990139,0.9345721468705424,0.8988017387046114,1.2223658923910818,0.5447863805364106,0.781929530885364,0.6685101221606586,0.6224002131446087,7.0
2119,aligned_strong,bound_sensitivity,adam,unit_broadcast,0.03,True,True,16384,1.7285399805373205e-06,1.7234992965943631e-06,0.9569205263699166,0.8884480229143149,1.2472191176082812,0.556985527619308,0.8148760534345608,0.9594488871423057,0.9175617392993951,1.1782509777861214,0.540217972243744,0.7719084611937956,0.669455415205551,0.5082812677787976,7.0
2119,aligned_strong,bound_sensitivity,adam,calibrated_broadcast,0.03,True,True,16384,1.1448544648494998e-06,1.1785927301649786e-06,0.9570675116130342,0.8882141909578161,1.2477843777182398,0.5567720201128816,0.8149851699153384,0.955309783440491,0.894157340893664,1.233471453595788,0.5684470317402913,0.845034785837932,0.6689503126244125,0.8148000398394333,7.0
2119,aligned_strong,bound_sensitivity,adam,ancestry_three_oracle,0.03,True,True,16384,8.47728744039137e-08,8.083045255545121e-08,0.9347780618229491,0.889625944313752,1.2443742571452399,0.5413462984039449,0.7915174492318043,0.9347157847593601,0.8893750811494804,1.2449797628387544,0.5416564467383126,0.7931119276548209,0.6485949220758016,0.6609465124445166,7.0
2119,aligned_strong,bound_sensitivity,sgd,exact,0.3,True,True,16384,0.00014374834814677502,0.00015380189640695142,0.9481513792015327,0.8882743138420988,1.2476390215965951,0.5433045625414622,0.8125957695263692,0.9486438161088953,0.8965027195578483,1.2278543977707324,0.5413031238711794,0.7939973037200257,0.6777046054739452,0.6285004735290862,7.0
2119,aligned_strong,bound_sensitivity,sgd,unit_broadcast,0.3,True,True,12288,0.0015568823942128432,0.0015991546850940839,0.9570260600506741,0.8887086508605592,1.2465892841803115,0.5436661260045541,0.8186420682383634,0.9568758234522947,0.888380065107238,1.247383379562111,0.5453398243406515,0.8261861311321306,0.6717676040853506,0.6644138240631485,7.0
2119,aligned_strong,bound_sensitivity,sgd,calibrated_broadcast,0.3,True,True,4096,0.0008718241960487653,0.0008880813097125955,0.9598036070958387,0.8893055499133766,1.245147624862458,0.5488279736316735,0.8353883883889545,0.9599739221824966,0.8940355501747502,1.23376362504053,0.5499301869640844,0.824135397207646,0.7059819003131915,0.6753739603460323,7.0
2119,aligned_strong,bound_sensitivity,sgd,ancestry_three_oracle,0.3,True,True,16384,0.00013482905782062204,0.00014439739855582535,0.9520781065689365,0.8867979342519899,1.2512116673052165,0.5433436224064149,0.8187640458877231,0.9524250646890846,0.8936171947131083,1.2347676104935499,0.5423719606648556,0.8028715597656959,0.6799742806425209,0.6395642705147162,7.0
2119,opposed_strong,bound_sensitivity,adam,exact,0.03,True,True,12288,8.274688218395717e-07,7.845482732475776e-07,0.9620882451098649,0.8885081118927891,1.2470738876335847,0.5531191960740618,0.8345568220307586,0.9625188154827299,0.9073377177509375,1.2021426520278184,0.5503312993957942,0.8058666335329533,0.6723007371214547,0.5399791737189334,7.0
2119,opposed_strong,bound_sensitivity,adam,unit_broadcast,0.03,True,True,12288,0.00028909784826239293,0.0002982759557078265,0.9875958471232512,0.8454782886820715,1.3537102904972071,0.5100168434632806,0.8308885878306114,0.9874651877781758,0.8459057687842175,1.3526279364527856,0.5111751124254305,0.8236722387298941,0.6163783671889026,0.5583211737606228,7.0
