label,family,x,y,x_plot,y_plot,value,value_definition,outcome,derived,source
factorial K=1,factorial,0.131285,0.125113,0.131285,0.125113,-0.358325,"heldout accuracy, ancestry minus best bandwidth-matched non-anatomical control",loss,y = K/r_eff with r_eff = 7.993 from task_spectra.csv,trained_subtree_address_full_factorial/condition_summary.csv + paired_contrasts.csv; credit_phase_existing/task_spectra.csv
factorial K=2,factorial,0.265194,0.250226,0.265194,0.250226,-0.154004,"heldout accuracy, ancestry minus best bandwidth-matched non-anatomical control",loss,y = K/r_eff with r_eff = 7.993 from task_spectra.csv,trained_subtree_address_full_factorial/condition_summary.csv + paired_contrasts.csv; credit_phase_existing/task_spectra.csv
factorial K=4,factorial,0.522873,0.500452,0.522873,0.500452,0.0126709,"heldout accuracy, ancestry minus best bandwidth-matched non-anatomical control",win,y = K/r_eff with r_eff = 7.993 from task_spectra.csv,trained_subtree_address_full_factorial/condition_summary.csv + paired_contrasts.csv; credit_phase_existing/task_spectra.csv
factorial K=8,factorial,1,1.0009,0.94,1.0009,0,"heldout accuracy, ancestry minus best bandwidth-matched non-anatomical control",tie,y = K/r_eff with r_eff = 7.993 from task_spectra.csv,trained_subtree_address_full_factorial/condition_summary.csv + paired_contrasts.csv; credit_phase_existing/task_spectra.csv
spectral sweep rho=0,sweep,0,0.8,0,0.8,-0.0107621,"spectral capture, ancestry minus random rank-4",loss,y = 4/r_eff(rho) estimated from dense-PCA cumulative captures (r_eff = 5.000),credit_phase_theory/spectral_phase_summary.csv + spectral_phase_seed.csv
spectral sweep rho=0.25,sweep,0.25,0.585475,0.25,0.585475,0.129917,"spectral capture, ancestry minus random rank-4",win,y = 4/r_eff(rho) estimated from dense-PCA cumulative captures (r_eff = 6.832),credit_phase_theory/spectral_phase_summary.csv + spectral_phase_seed.csv
spectral sweep rho=0.5,sweep,0.5,0.513252,0.5,0.513252,0.270596,"spectral capture, ancestry minus random rank-4",win,y = 4/r_eff(rho) estimated from dense-PCA cumulative captures (r_eff = 7.793),credit_phase_theory/spectral_phase_summary.csv + spectral_phase_seed.csv
spectral sweep rho=0.75,sweep,0.75,0.585274,0.75,0.585274,0.411276,"spectral capture, ancestry minus random rank-4",win,y = 4/r_eff(rho) estimated from dense-PCA cumulative captures (r_eff = 6.834),credit_phase_theory/spectral_phase_summary.csv + spectral_phase_seed.csv
spectral sweep rho=1,sweep,1,0.8,1,0.8,0.551955,"spectral capture, ancestry minus random rank-4",win,y = 4/r_eff(rho) estimated from dense-PCA cumulative captures (r_eff = 5.000),credit_phase_theory/spectral_phase_summary.csv + spectral_phase_seed.csv
MICrONS controlled a=0,microns,0,0.167831,0,0.167831,-0.134646,"field capture, ancestry routes minus random paths (mean of 8 cells)",loss,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
MICrONS controlled a=0.2,microns,0.2,0.155369,0.2,0.155369,0.0343526,"field capture, ancestry routes minus random paths (mean of 8 cells)",win,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
MICrONS controlled a=0.4,microns,0.4,0.23326,0.4,0.23326,0.20333,"field capture, ancestry routes minus random paths (mean of 8 cells)",win,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
MICrONS controlled a=0.6,microns,0.6,0.394811,0.6,0.394811,0.372301,"field capture, ancestry routes minus random paths (mean of 8 cells)",win,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
MICrONS controlled a=0.8,microns,0.8,0.648904,0.8,0.648904,0.541266,"field capture, ancestry routes minus random paths (mean of 8 cells)",win,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
MICrONS controlled a=1,microns,1,1,1,1,0.710209,"field capture, ancestry routes minus random paths (mean of 8 cells)",win,"y = geometric-mean over cells of a^2 + 8(1-a)^2/(n-8), the population K/r_eff of the documented field generator (not read from a results table)",alignment_controlled/cell_paired_contrasts.csv + summary.json (n_weighted_coordinates)
measured responses (null),measured,0.474526,3.73089,0.474526,3.73089,0.0282265,"heldout field capture, ancestry routes (0.475) minus shuffled ancestry (0.446); interval crosses zero",null,y = 4/r_eff with r_eff = 1.072 estimated from dense-oracle captures at 1/2/4/8 channels,"figure5/task_target_method_means_ch{1,2,4,8}.csv"
credit reversal K=2,reversal,1,1.00036,1.06,1.00036,0.0438965,"test accuracy, correct two-subtree routing minus one shared neuronal coordinate (10/10 seeds)",win,"y = 2/r_eff with r_eff = 1/(c^2+(1-c)^2) = 1.999, c = 0.5095 the shared-coordinate capture (rank-2 family, near-even split); derived, not read from a table",trained_subtree_address/condition_summary.csv + paired_contrasts.csv
