seed,family,family_index,structure,rule,optimizer,rate,step,test_nmse,clean_test_nmse,population_nmse,true_cut_bound,status,gradient_clipped_steps,parameter_projected_steps,max_abs_parameter,parameter_norm,parameters,edges,seconds
930921,matching,0,estimated_dp,exact,adam,0.01,0,1.5236287276194236,1.5019667002938621,1.5155857199784188,0.0,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.0038836440071463585
930921,matching,0,estimated_dp,broadcast,adam,0.003,0,1.5236287276194236,1.5019667002938621,1.5155857199784188,0.0,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.0039088670164346695
930921,matching,0,development_fixed,exact,adam,0.01,0,2.058006517334828,2.0309362590357556,2.061554863480907,0.6089950328819179,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.003925746073946357
930921,matching,0,development_fixed,broadcast,adam,0.003,0,2.058006517334828,2.0309362590357556,2.061554863480907,0.6089950328819179,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.003941061091609299
930921,matching,0,oracle_dp,exact,adam,0.01,0,2.538597795336294,2.514622275308973,2.568800919991412,0.0,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.003954727086238563
930921,matching,0,oracle_dp,broadcast,adam,0.003,0,2.538597795336294,2.514622275308973,2.568800919991412,0.0,completed,0,0,1.1782301685604266,2.6785099193315935,28,14,0.003968405071645975
930921,matching,0,estimated_dp,exact,adam,0.01,1,1.4493365038186856,1.42742960731355,1.4358728880572234,0.0,completed,0,0,1.168230169010465,2.6401788381975995,28,14,0.007389278034679592
930921,matching,0,estimated_dp,broadcast,adam,0.003,1,1.515643435145734,1.4939974963635752,1.5070834345276172,0.0,completed,0,0,1.1812301683105126,2.6791076838797796,28,14,0.007414070074446499
930921,matching,0,development_fixed,exact,adam,0.01,1,1.912672776779167,1.8859452180539846,1.9121676985637706,0.6089950328819179,completed,0,0,1.1682301689956986,2.643214585313639,28,14,0.007431228063069284
930921,matching,0,development_fixed,broadcast,adam,0.003,1,2.0298332372527597,2.002775041805438,2.0320309696686643,0.6089950328819179,completed,0,0,1.1812301682652526,2.6720948628849865,28,14,0.00744604307692498
930921,matching,0,oracle_dp,exact,adam,0.01,1,2.3483254033219874,2.3244950152684742,2.369616885731136,0.0,completed,0,0,1.1682301688176278,2.65504735809565,28,14,0.007459863089025021
930921,matching,0,oracle_dp,broadcast,adam,0.003,1,2.4974343009722197,2.47351517231165,2.5252540553512297,0.0,completed,0,0,1.1812301684510735,2.672655275931275,28,14,0.007473257021047175
930921,matching,0,estimated_dp,exact,adam,0.01,16,1.015024615240555,0.9908041076351356,0.9902604445261882,0.0,completed,0,0,1.06357473285518,2.2756906535110675,28,14,0.020454746088944376
930921,matching,0,estimated_dp,broadcast,adam,0.003,16,1.3854886727641262,1.363312453141511,1.3744833663943143,0.0,completed,0,0,1.199185952318656,2.665806529148724,28,14,0.020479442086070776
930921,matching,0,development_fixed,exact,adam,0.01,16,1.1078065198394396,1.0828651584191356,1.0829170242851989,0.6089950328819179,completed,0,0,1.0492397374962321,2.251626130226612,28,14,0.020495831035077572
930921,matching,0,development_fixed,broadcast,adam,0.003,16,1.657770889200532,1.631457709279168,1.6468254092845087,0.6089950328819179,completed,0,0,1.2103253794001227,2.5826511948004187,28,14,0.020510551054030657
930921,matching,0,oracle_dp,exact,adam,0.01,16,1.183913940627133,1.1604889747484155,1.1640166581171871,0.0,completed,0,0,1.0372755553655477,2.288415772437574,28,14,0.02052459307014942
930921,matching,0,oracle_dp,broadcast,adam,0.003,16,2.020934513968437,1.9974701577956706,2.0288764697152684,0.0,completed,0,0,1.2185909445057725,2.5902519587811725,28,14,0.020538330078125
930921,matching,0,estimated_dp,exact,adam,0.01,64,0.7757440432678533,0.7511472438572817,0.7555768162752129,0.0,completed,0,0,0.8033633773759449,2.06907026665966,28,14,0.05538034706842154
930921,matching,0,estimated_dp,broadcast,adam,0.003,64,1.1255508153863925,1.1018323119640607,1.1090084581312998,0.0,completed,0,0,1.1651389346292802,2.625046994382159,28,14,0.05540689209010452
930921,matching,0,development_fixed,exact,adam,0.01,64,0.9218132734164691,0.896217497007282,0.8958653081859083,0.6089950328819179,completed,0,0,1.092867739933969,2.1794210109112875,28,14,0.05542336404323578
930921,matching,0,development_fixed,broadcast,adam,0.003,64,1.1715584021946328,1.1460557987047486,1.146792285129944,0.6089950328819179,completed,0,0,1.2158827328589108,2.352830896688453,28,14,0.05543807300273329
930921,matching,0,oracle_dp,exact,adam,0.01,64,0.7307288469502281,0.7075479499449537,0.7032322639872169,0.0,completed,0,0,0.9767538099716456,2.1426510273641055,28,14,0.05545188800897449
930921,matching,0,oracle_dp,broadcast,adam,0.003,64,1.3040364269012859,1.2811356075393754,1.2887434614748248,0.0,completed,0,0,1.320312011032421,2.427864494408929,28,14,0.05546547006815672
930921,matching,0,estimated_dp,exact,adam,0.01,256,0.02333476364714599,0.0005425655291497284,0.000542796468714042,0.0,completed,0,0,1.1550321733480948,2.661619887785345,28,14,0.18937218701466918
930921,matching,0,estimated_dp,broadcast,adam,0.003,256,0.6009303282268188,0.5801187507673659,0.5749518353935775,0.0,completed,0,0,1.3325858594899338,2.7811756500118103,28,14,0.18940302799455822
930921,matching,0,development_fixed,exact,adam,0.01,256,0.6499865781697276,0.6293145240992694,0.6227642326614927,0.6089950328819179,completed,0,0,1.2739090391344305,2.512976542005629,28,14,0.1894214201020077
930921,matching,0,development_fixed,broadcast,adam,0.003,256,1.0055573614623636,0.980095540674214,0.9766147267502046,0.6089950328819179,completed,0,0,1.1985507244338272,2.0884404654834854,28,14,0.18943600310012698
930921,matching,0,oracle_dp,exact,adam,0.01,256,0.024076363645883374,0.0011567121802931479,0.001171500211795221,0.0,completed,0,0,1.0174722935928828,2.6200785744450337,28,14,0.1894512081053108
930921,matching,0,oracle_dp,broadcast,adam,0.003,256,0.6555426049539834,0.6351545911640312,0.6358733380507178,0.0,completed,0,0,1.2372637905364148,2.4174179302175913,28,14,0.18946447304915637
930921,matching,0,estimated_dp,exact,adam,0.01,1024,0.023695017036263734,0.0008748767097758051,0.000853259786674854,0.0,completed,0,0,1.1394055453485197,2.668747721804358,28,14,0.6998976990580559
930921,matching,0,estimated_dp,broadcast,adam,0.003,1024,0.023120544956306874,0.0003041898406981064,0.00030369170397570805,0.0,completed,0,0,1.2416005739471372,2.873775282906061,28,14,0.699923781096004
930921,matching,0,development_fixed,exact,adam,0.01,1024,0.6476418558670911,0.6267544075955658,0.6196450850705402,0.6089950328819179,completed,0,0,1.2731146757550065,2.4288262484778467,28,14,0.6999400000786409
930921,matching,0,development_fixed,broadcast,adam,0.003,1024,1.0449194689478127,1.0199629850287608,1.0172105423952913,0.6089950328819179,completed,0,0,1.1274913935095252,2.440799239406577,28,14,0.6999545550206676
930921,matching,0,oracle_dp,exact,adam,0.01,1024,0.023395499852752757,0.0006850918662589874,0.0006749761650611621,0.0,completed,0,0,1.015234477426289,2.634808649915029,28,14,0.6999681571032852
930921,matching,0,oracle_dp,broadcast,adam,0.003,1024,0.026851280700217944,0.004259600037130556,0.004217347510970121,0.0,completed,0,0,1.681372485458721,3.07990541406043,28,14,0.6999855710892007
930921,quartet,1,estimated_dp,exact,adam,0.01,0,1.0255037466891277,0.9970301814592126,1.0174857618065973,0.0,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.0027731599984690547
930921,quartet,1,estimated_dp,broadcast,adam,0.003,0,1.0255037466891277,0.9970301814592126,1.0174857618065973,0.0,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.002806819975376129
930921,quartet,1,development_fixed,exact,adam,0.01,0,1.0551060794847493,1.0268154934925904,1.0459426896458788,0.2195383043304229,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.0028235549107193947
930921,quartet,1,development_fixed,broadcast,adam,0.003,0,1.0551060794847493,1.0268154934925904,1.0459426896458788,0.2195383043304229,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.002837856998667121
930921,quartet,1,oracle_dp,exact,adam,0.01,0,1.0500536909993394,1.0219874430269011,1.0174857618065973,0.0,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.002851748955436051
