task,rule,rate,step,mean,ci_low,ci_high
aligned_strong,unit_broadcast,0.03,1,1.0549768086256621,0.9388395916841723,1.1887832726707175
aligned_strong,unit_broadcast,0.03,16,0.34350448789216714,0.2810065799961646,0.417558709524024
aligned_strong,unit_broadcast,0.03,64,0.015181136375932094,0.013248102440709834,0.01722816864766922
aligned_strong,unit_broadcast,0.03,256,0.0029550900357528808,0.002331097113450504,0.0036776206062303844
aligned_strong,unit_broadcast,0.03,512,0.0013225852427447928,0.0008835025368541577,0.0018211647949389104
aligned_strong,unit_broadcast,0.03,1024,0.0009459653835040235,0.0005674140496535734,0.0013868418052380954
aligned_strong,unit_broadcast,0.03,2048,0.0007609333949259754,0.000439791521230059,0.0011308951972904113
aligned_strong,unit_broadcast,0.03,4096,0.0005665631591551175,0.00033859855301343313,0.0008286893461231605
aligned_strong,unit_broadcast,0.03,8192,0.00031659627423700094,0.00019308921497263604,0.00045816788777329465
aligned_strong,unit_broadcast,0.03,12288,0.0003037954302346192,0.00016610523170131774,0.00045329477467212406
aligned_strong,unit_broadcast,0.03,16384,0.00032347813237540885,0.0001672076169003885,0.0004964880301058689
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,0,1.1286356722719426,1.0083771506967103,1.2675335553069553
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,1,1.0547634660720693,0.9372610158282859,1.19300021295975
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,16,0.3447638918910925,0.28251664175371327,0.4196706866033343
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,64,0.015520977251798965,0.012775968136135202,0.01859013724449723
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,256,0.0015702645588366632,0.0013379587161715324,0.001803740061003257
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,512,0.0003638148216281439,0.0003164317023791705,0.0004128499847068224
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,1024,0.00010888017317365773,9.26589349025466e-05,0.0001259033814921918
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,2048,3.2422300444308364e-05,2.546919369488495e-05,4.0265485182420615e-05
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,4096,9.072781017205191e-06,7.495093854913186e-06,1.078601572506745e-05
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,8192,1.1205580771473505e-06,4.2936527574067107e-07,1.980413488698024e-06
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,12288,1.8230045677174137e-06,7.331209985653095e-07,3.11283980978382e-06
aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,16384,8.740010491317558e-07,3.8253127364829507e-07,1.484042818539794e-06
opposed_strong,exact,0.03,0,1.2670086989899327,1.11149018021146,1.4386633375530296
opposed_strong,exact,0.03,1,1.1737877654770232,1.0263042006002858,1.3336704725427726
opposed_strong,exact,0.03,16,0.40980081070650237,0.3431987410565903,0.4918602815850706
opposed_strong,exact,0.03,64,0.01993339365140176,0.013098869775983079,0.027673550133873577
opposed_strong,exact,0.03,256,0.0002791110125344674,0.0002267243888199475,0.00034551889853015805
opposed_strong,exact,0.03,512,0.00019362761957089473,0.00017154378518560763,0.00021628377637751735
opposed_strong,exact,0.03,1024,0.0001479844342537607,0.0001290282023927207,0.0001678325065054122
opposed_strong,exact,0.03,2048,7.212393859339204e-05,6.115184705222182e-05,8.376939641468758e-05
opposed_strong,exact,0.03,4096,2.1789327728583418e-05,1.6310423177189052e-05,2.841268532195456e-05
opposed_strong,exact,0.03,8192,5.3796179438058855e-06,1.825113885318399e-06,1.0896645964176115e-05
opposed_strong,exact,0.03,12288,2.4981769876194063e-05,3.0694218862973918e-06,5.528109524252109e-05
opposed_strong,exact,0.03,16384,1.6887603859596115e-05,1.972758445681973e-06,3.69988512674429e-05
opposed_strong,hard_distal_unit_proximal,0.03,0,1.2670086989899327,1.1071279205884312,1.43791637983197
opposed_strong,hard_distal_unit_proximal,0.03,1,1.1737245891278083,1.0268055664732991,1.3374162702579795
opposed_strong,hard_distal_unit_proximal,0.03,16,0.40430637830301785,0.3386907208776856,0.48819735511297896
opposed_strong,hard_distal_unit_proximal,0.03,64,0.020525731474128707,0.013324409973130266,0.029298338549065616
opposed_strong,hard_distal_unit_proximal,0.03,256,0.0003095269909889736,0.00024056496174355306,0.00039100507351574274
opposed_strong,hard_distal_unit_proximal,0.03,512,0.0001762641588903546,0.0001561161294038262,0.00019716206817916147
opposed_strong,hard_distal_unit_proximal,0.03,1024,0.00011983488377240882,0.00010439663689116205,0.0001362269443174568
opposed_strong,hard_distal_unit_proximal,0.03,2048,7.015239609637937e-05,5.9453553566560105e-05,8.081025654272044e-05
opposed_strong,hard_distal_unit_proximal,0.03,4096,2.3277881252926438e-05,1.883208197638295e-05,2.829424752494518e-05
opposed_strong,hard_distal_unit_proximal,0.03,8192,5.558874209341005e-06,9.41323236948543e-07,1.2144358956588079e-05
opposed_strong,hard_distal_unit_proximal,0.03,12288,7.046606537990652e-06,1.7040265899030111e-06,1.4102823531046384e-05
opposed_strong,hard_distal_unit_proximal,0.03,16384,1.3013239229449881e-05,5.482512201047016e-07,3.2413539705337e-05
opposed_strong,unit_broadcast,0.03,0,1.2670086989899327,1.1084303098622967,1.4374490098965294
opposed_strong,unit_broadcast,0.03,1,1.2181333780183057,1.0662099507796163,1.3887220343455013
opposed_strong,unit_broadcast,0.03,16,0.9051601787108161,0.8042758719370648,1.010154569203788
opposed_strong,unit_broadcast,0.03,64,0.859941201227197,0.7537856811283422,0.9619080787663408
opposed_strong,unit_broadcast,0.03,256,0.6604909179010285,0.5401175041003944,0.7775691556562209
opposed_strong,unit_broadcast,0.03,512,0.6099146164110496,0.48070751039451953,0.735010251247678
opposed_strong,unit_broadcast,0.03,1024,0.5794204410408249,0.45232632059637606,0.704143511001378
opposed_strong,unit_broadcast,0.03,2048,0.5427392734814649,0.41049861367328916,0.6762861613263331
opposed_strong,unit_broadcast,0.03,4096,0.5219101527896643,0.37946506215753495,0.6628133936134448
opposed_strong,unit_broadcast,0.03,8192,0.5862147608245587,0.4482472991805488,0.7205578644124168
opposed_strong,unit_broadcast,0.03,12288,0.6091068171013695,0.45983695087979076,0.745875071926529
opposed_strong,unit_broadcast,0.03,16384,0.6047737084736959,0.46090039509857866,0.7371413933851165
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,0,1.2670086989899327,1.1107014120144811,1.4389930295838207
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,1,1.1737877623764126,1.0270551535639316,1.3328689020589095
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,16,0.4098660666112616,0.3437608811784665,0.4923683853234689
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,64,0.019953942808960814,0.013081367316614466,0.027946241985082058
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,256,0.00026615227203436744,0.00021676842089779448,0.0003280573612131851
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,512,0.0001745012403071394,0.00015367276272217507,0.00019610156235419095
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,1024,0.00011432848264486789,9.900060770978688e-05,0.0001307547415469007
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,2048,6.831007848242646e-05,5.723237926206491e-05,8.007221445540176e-05
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,4096,2.2799115087624316e-05,1.747910163408071e-05,2.91464834297226e-05
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,8192,1.0054347292322171e-05,1.7327540243396473e-06,2.4565267124338314e-05
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,12288,1.3879508235970626e-05,1.3817618763247806e-06,3.530777681415334e-05
opposed_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,16384,2.361997653146956e-06,9.147428452566977e-07,4.140812328610728e-06
