task,rule,rate,step,mean,ci_low,ci_high
aligned_strong,exact,0.03,0,1.1286356722719426,1.0090235115396273,1.2654763813155165
aligned_strong,exact,0.03,1,1.0547634685050924,0.9394118342043121,1.1891687590381628
aligned_strong,exact,0.03,16,0.34466152431166724,0.28101950842195406,0.41876397038371965
aligned_strong,exact,0.03,64,0.015570821635286036,0.012834063788999983,0.018643417834451975
aligned_strong,exact,0.03,256,0.0015988709330490348,0.0013642537901667727,0.0018373686722287896
aligned_strong,exact,0.03,512,0.0003713482240710485,0.00032061633440121394,0.0004247519383491979
aligned_strong,exact,0.03,1024,0.00012889895884561988,0.00010851993254267297,0.00015117032645457044
aligned_strong,exact,0.03,2048,3.311618576667414e-05,2.6536140296951643e-05,4.0550075175480075e-05
aligned_strong,exact,0.03,4096,7.5315087317338315e-06,6.102471295516877e-06,9.114975634327545e-06
aligned_strong,exact,0.03,8192,6.123516050059421e-06,1.431088980217101e-06,1.20276755734579e-05
aligned_strong,exact,0.03,12288,4.204037026401204e-06,1.4966421319971499e-06,7.85935496270638e-06
aligned_strong,exact,0.03,16384,1.6530196341592218e-05,4.346200117781044e-06,3.2755295681761065e-05
aligned_strong,hard_distal_unit_proximal,0.03,0,1.1286356722719426,1.0080561860298138,1.2685628684904362
aligned_strong,hard_distal_unit_proximal,0.03,1,1.0559177489599674,0.9390074847949371,1.1904643518842188
aligned_strong,hard_distal_unit_proximal,0.03,16,0.3555767998431138,0.2897117142872989,0.43567750096574603
aligned_strong,hard_distal_unit_proximal,0.03,64,0.01573404581369582,0.01346647182986651,0.018327566770312595
aligned_strong,hard_distal_unit_proximal,0.03,256,0.0019685303778367155,0.001628413015260837,0.002408452671722895
aligned_strong,hard_distal_unit_proximal,0.03,512,0.00039701141764109755,0.0003473462906243568,0.00045108718056998976
aligned_strong,hard_distal_unit_proximal,0.03,1024,0.00011526565870006902,0.00010097551028235285,0.00012919806145795246
aligned_strong,hard_distal_unit_proximal,0.03,2048,3.271160134499125e-05,2.6345135645252503e-05,3.955562205046266e-05
aligned_strong,hard_distal_unit_proximal,0.03,4096,1.0553726591188192e-05,8.331932328880814e-06,1.286976675116986e-05
aligned_strong,hard_distal_unit_proximal,0.03,8192,8.38651528038791e-07,3.489377857868689e-07,1.5315195868265561e-06
aligned_strong,hard_distal_unit_proximal,0.03,12288,5.545121857321757e-06,7.23002640382409e-07,1.3548403809611152e-05
aligned_strong,hard_distal_unit_proximal,0.03,16384,5.134916086842923e-06,5.791576451647076e-07,1.3293329253502485e-05
aligned_strong,unit_broadcast,0.03,0,1.1286356722719426,1.0110463039137128,1.269646999736511
