historical_seed,state,source_rule,evaluated_rule,context_cancellation_ratio
2101,initial,calibrated_broadcast,exact,0.5927702399715015
2102,initial,calibrated_broadcast,exact,0.7258561950961359
2103,initial,calibrated_broadcast,exact,0.6247094010213002
2104,initial,calibrated_broadcast,exact,0.6404929010107284
2105,initial,calibrated_broadcast,exact,0.4938440600409869
2106,initial,calibrated_broadcast,exact,0.6816148544814776
2107,initial,calibrated_broadcast,exact,0.5136701496941856
2108,initial,calibrated_broadcast,exact,0.5822788258478909
2109,initial,calibrated_broadcast,exact,0.6676186929626023
2110,initial,calibrated_broadcast,exact,0.5999753349336993
2111,initial,calibrated_broadcast,exact,0.7324513936526337
2112,initial,calibrated_broadcast,exact,0.7468021535010595
2113,initial,calibrated_broadcast,exact,0.6651656128728903
2114,initial,calibrated_broadcast,exact,0.5627939750892413
2115,initial,calibrated_broadcast,exact,0.6766025193270107
2116,initial,calibrated_broadcast,exact,0.5809846838992384
2117,initial,calibrated_broadcast,exact,0.6970223935057868
2118,initial,calibrated_broadcast,exact,0.6474074511795354
2119,initial,calibrated_broadcast,exact,0.7028963340750166
2120,initial,calibrated_broadcast,exact,0.5930271067045726
2101,extended_best,calibrated_broadcast,exact,0.8449276542166385
2102,extended_best,calibrated_broadcast,exact,0.8374308528283795
2103,extended_best,calibrated_broadcast,exact,0.07255790263394997
2104,extended_best,calibrated_broadcast,exact,0.967058914326063
2105,extended_best,calibrated_broadcast,exact,0.7045406675895372
2106,extended_best,calibrated_broadcast,exact,0.7093984086926799
2107,extended_best,calibrated_broadcast,exact,0.917204528365481
2108,extended_best,calibrated_broadcast,exact,0.7571530510853728
2109,extended_best,calibrated_broadcast,exact,0.006743484345536806
2110,extended_best,calibrated_broadcast,exact,0.9817268342315012
2111,extended_best,calibrated_broadcast,exact,0.8438959574283114
2112,extended_best,calibrated_broadcast,exact,0.09203514818174106
2113,extended_best,calibrated_broadcast,exact,0.04952725198778911
2114,extended_best,calibrated_broadcast,exact,0.7513500465753656
2115,extended_best,calibrated_broadcast,exact,0.7221154592625298
2116,extended_best,calibrated_broadcast,exact,0.9787108035888996
2117,extended_best,calibrated_broadcast,exact,0.16545397171289297
2118,extended_best,calibrated_broadcast,exact,0.9377813101408022
2119,extended_best,calibrated_broadcast,exact,0.7042398878233729
2120,extended_best,calibrated_broadcast,exact,0.6870119577555469
2101,initial,calibrated_broadcast,calibrated_broadcast,0.24569895194878538
2102,initial,calibrated_broadcast,calibrated_broadcast,0.48262731265931486
2103,initial,calibrated_broadcast,calibrated_broadcast,0.42554452764771217
2104,initial,calibrated_broadcast,calibrated_broadcast,0.270478695431861
2105,initial,calibrated_broadcast,calibrated_broadcast,0.25617345353666937
2106,initial,calibrated_broadcast,calibrated_broadcast,0.5352126482104194
2107,initial,calibrated_broadcast,calibrated_broadcast,0.10583945250911683
2108,initial,calibrated_broadcast,calibrated_broadcast,0.3682505647125846
2109,initial,calibrated_broadcast,calibrated_broadcast,0.5318526458909837
2110,initial,calibrated_broadcast,calibrated_broadcast,0.166964825603052
2111,initial,calibrated_broadcast,calibrated_broadcast,0.09872749198633304
2112,initial,calibrated_broadcast,calibrated_broadcast,0.31851259629135276
2113,initial,calibrated_broadcast,calibrated_broadcast,0.23652097481446344
2114,initial,calibrated_broadcast,calibrated_broadcast,0.1898453920548026
2115,initial,calibrated_broadcast,calibrated_broadcast,0.4255456624292745
2116,initial,calibrated_broadcast,calibrated_broadcast,0.17557898434637528
2117,initial,calibrated_broadcast,calibrated_broadcast,0.4661183709480219
2118,initial,calibrated_broadcast,calibrated_broadcast,0.379426813235577
2119,initial,calibrated_broadcast,calibrated_broadcast,0.6681301983709238
2120,initial,calibrated_broadcast,calibrated_broadcast,0.2465465052700043
2101,extended_best,calibrated_broadcast,calibrated_broadcast,0.13833644643412812
2102,extended_best,calibrated_broadcast,calibrated_broadcast,0.01861484785222123
2103,extended_best,calibrated_broadcast,calibrated_broadcast,0.041587212445841404
2104,extended_best,calibrated_broadcast,calibrated_broadcast,0.05791233424023927
2105,extended_best,calibrated_broadcast,calibrated_broadcast,0.1851811985324426
2106,extended_best,calibrated_broadcast,calibrated_broadcast,0.25545813280852503
2107,extended_best,calibrated_broadcast,calibrated_broadcast,0.06379180869109187
2108,extended_best,calibrated_broadcast,calibrated_broadcast,0.0913168787908936
2109,extended_best,calibrated_broadcast,calibrated_broadcast,0.01506708760316035
2110,extended_best,calibrated_broadcast,calibrated_broadcast,0.1310031246752576
2111,extended_best,calibrated_broadcast,calibrated_broadcast,0.10183560936703887
2112,extended_best,calibrated_broadcast,calibrated_broadcast,0.056076273930243496
2113,extended_best,calibrated_broadcast,calibrated_broadcast,0.05046658182931775
2114,extended_best,calibrated_broadcast,calibrated_broadcast,0.022081949068925407
2115,extended_best,calibrated_broadcast,calibrated_broadcast,0.8126820654634487
2116,extended_best,calibrated_broadcast,calibrated_broadcast,0.21930486901140914
2117,extended_best,calibrated_broadcast,calibrated_broadcast,0.14753641318212843
2118,extended_best,calibrated_broadcast,calibrated_broadcast,0.0418277224050465
2119,extended_best,calibrated_broadcast,calibrated_broadcast,0.4485854800245206
2120,extended_best,calibrated_broadcast,calibrated_broadcast,0.5459574770548024
