root_id,nucleus_id,cell_type,matched_additive_localization,focal_shunt_localization,shunt_minus_additive,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,n_focal_sites
864691134941194851,294539,L2IT,0.011276294204041,0.1751378551342641,0.163861560930223,0.0120139380173836,0.1631239171168804,14.0
864691135082534135,221058,L2IT,0.0557184073752897,0.296899535815741,0.2411811284404513,,,1.0
864691135334986985,256606,L2IT,0.0103976927122426,0.1662163648242984,0.1558186721120558,-0.0175167646504652,0.1837331294747637,14.0
864691135342193329,262847,L4IT,0.0198323821117415,0.102303890856975,0.0824715087452335,-0.0116866379046328,0.1139905287616079,3.0
864691135367232761,262777,L4IT,0.0351381618105822,0.2031169036486161,0.1679787418380338,0.0078959755290197,0.1952209281195963,3.0
864691135404231406,256609,L2IT,0.0112981139272744,0.1665327678579737,0.1552346539306992,0.0703453593487807,0.0961874085091929,8.0
864691135404277230,256530,L2IT,0.0102964723437081,0.150056871594639,0.1397603992509309,0.0384494004977298,0.1116074710969091,5.0
864691135416557754,221105,L2IT,0.0016274375764865,0.1345992986654881,0.1329718610890015,0.1345992986654881,0.0,3.0
864691135455195242,255213,L2IT,0.0060831757001772,0.1370753499347833,0.1309921742346061,-0.001170464429733,0.1382458143645163,3.0
864691135468547212,256313,L2IT,0.0067980486814687,0.2309408701427057,0.224142821461237,0.0519485943771441,0.1789922757655615,3.0
864691135495249040,256280,L2IT,0.021317061901477,0.1663331635698203,0.1450161016683432,0.0579470784510975,0.1083860851187228,3.0
864691135502788957,222898,L2IT,0.0732427542817494,0.1502860513165653,0.0770432970348159,-3.3398847923415964e-16,0.1502860513165657,2.0
864691135516884435,256386,L2IT,0.0007079410176592,0.0202290229851409,0.0195210819674816,,,1.0
864691135572379429,256521,L2IT,0.0087326739707859,0.124877452782054,0.116144778811268,0.0421873424352518,0.0826901103468022,4.0
864691135573814980,258345,L2IT,0.0130915075988706,0.1471364946450037,0.134044987046133,0.0342858243921609,0.1128506702528427,13.0
864691135658994050,294510,L3IT,0.0104848107590632,0.1128243121342526,0.1023395013751894,0.0044755321365338,0.1083487799977188,11.0
864691135687601120,255252,L2IT,0.0196113308710462,0.1845323780170349,0.1649210471459887,0.0241155463816895,0.1604168316353454,3.0
864691135716106266,263031,L4IT,0.0083437123741513,0.0406769172224483,0.032333204848297,0.0032368799715958,0.0374400372508525,5.0
