root_id,n_segments,n_e_segments,n_i_segments,mapping_pass_fraction,credit_kernel_participation_rank,max_topological_depth,wiring_nonzeros,morphology_wiring_density,capture_dense_oracle,capture_depth_bins,capture_morphology_paths,capture_random_paths,capture_shuffled_ancestry,residual_dense_oracle,residual_depth_bins,residual_morphology_paths,residual_random_paths,residual_shuffled_ancestry,morphology_capture_fraction_of_dense,morphology_minus_random_capture,morphology_minus_depth_capture,morphology_minus_shuffled_capture,focal_shunt_localization,matched_additive_localization,shunt_minus_additive,n_focal_sites,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,nucleus_id,source_root_id,cell_type
864691134941194851,101,50,74,0.9806241426611796,11.010148619266408,8,29.0,0.0725,0.7588911175829326,0.28848907916643884,0.6731665406578464,0.26902629656236166,0.20938517902596634,0.4910102510884153,0.8435027510095912,0.5716656195495715,0.8549458213473246,0.8891460474743493,0.8870396886471423,0.40414024409548477,0.3846774614914076,0.4637813616318801,0.1751378551342641,0.011276294204041014,0.16386156093022305,14.0,0.012013938017383676,0.1631239171168804,294539,864691136914414321,L2IT
864691135082534135,106,19,64,0.985563041385948,4.698389438955863,9,10.0,0.06578947368421052,0.9584464523859502,0.6292507690794114,0.9332580742397122,0.20454327858419527,0.3858868549701394,0.20376481837553687,0.6088363463218915,0.25826204528646435,0.8917937374996873,0.783365079053929,0.9737195770472787,0.7287147956555169,0.30400730516030083,0.5473712192695728,0.296899535815741,0.0557184073752897,0.2411811284404513,1.0,,,221058,864691135938777092,L2IT
864691135334986985,106,48,77,0.981442484864438,15.59068248086306,10,18.0,0.046875,0.6284421004193195,0.25145850481406595,0.5169102955481271,0.20762475397620267,0.2039676751759553,0.6095378704591381,0.8651773199853781,0.6950267003232675,0.8901398921867045,0.892194109455897,0.8225265226553499,0.3092855415719244,0.2654517907340611,0.3129426203721718,0.16621636482429847,0.010397692712242623,0.15581867211205586,14.0,-0.017516764650465214,0.1837331294747637,256606,864691135577749022,L2IT
864691135342193329,27,20,25,0.9816971713810316,11.106941826899591,3,13.0,0.08125,0.777158143722821,0.5533344213118724,0.6275773873604129,0.4624192464791858,0.38950037818102845,0.47202561631169965,0.6683076756574776,0.6101866921720069,0.733157156463272,0.7813127826661723,0.8075285479916979,0.1651581408812271,0.07424296604854053,0.23807700917938446,0.10230389085697505,0.019832382111741532,0.08247150874523353,3.0,-0.011686637904632853,0.11399052876160791,262847,864691135441883720,L4IT
864691135367232761,45,26,35,0.9888475836431226,4.227062702568687,6,23.0,0.11057692307692307,0.9186865862830983,0.3446240360145515,0.8647819828712151,0.4874657582426076,0.36767473248963706,0.28508701207140025,0.8095402116218346,0.367612449477884,0.7158189285651946,0.79509430452281,0.9413242729166482,0.3773162246286075,0.5201579468566636,0.49710725038157805,0.2031169036486161,0.0351381618105822,0.16797874183803385,3.0,0.007895975529019734,0.19522092811959632,262777,864691136380816597,L4IT
864691135404231406,115,34,72,0.981675392670157,6.732328231790572,9,15.0,0.05514705882352941,0.8516402810984269,0.3444336478207578,0.7481521451819592,0.2666417646946843,0.2911631560553463,0.385151024112621,0.809636280859554,0.5017688666825271,0.8562666794636378,0.8418523156857141,0.8784837469371564,0.48151038048727485,0.40371849736120136,0.45698898912661284,0.16653276785797372,0.011298113927274448,0.15523465393069927,8.0,0.07034535934878075,0.09618740850919295,256609,864691137198691137,L2IT
864691135404277230,92,30,62,0.9835509581142954,3.645986154360152,8,39.0,0.1625,0.8822003041898732,0.45535181766735133,0.8183432952817007,0.26728693798522307,0.374158986414448,0.3431784013669804,0.7379828013581626,0.4261331751465377,0.8557742567166706,0.7909860642143477,0.9276162016665677,0.5510563572964776,0.36299147761434936,0.4441843088672527,0.15005687159463904,0.01029647234370812,0.13976039925093092,5.0,0.03844940049772986,0.11160747109690919,256530,864691135732318393,L2IT
864691135416557754,111,16,63,0.9801578354002256,2.18847274278667,11,16.0,0.125,0.9887270570120006,0.8465848032647043,0.9110603275526961,0.4449523789736246,0.5843816986694744,0.10612955629822848,0.3915723020396548,0.2981386833176426,0.744355370924303,0.6443437225918566,0.9214477555676299,0.46610794857907145,0.06447552428799175,0.32667862888322163,0.13459929866548817,0.0016274375764865998,0.13297186108900158,3.0,0.13459929866548817,0.0,221105,864691136138892669,L2IT
864691135455195242,105,21,53,0.9878552343939762,4.885868020935658,9,17.0,0.10119047619047619,0.9814323171346242,0.627799483925674,0.9211070790546575,0.3720526848377373,0.42854425645010225,0.13623061268916006,0.6100628638707453,0.2808104273362086,0.7922998703849958,0.7558178588923894,0.9385334709008856,0.5490543942169201,0.2933075951289835,0.49256282260455525,0.1370753499347833,0.0060831757001772,0.1309921742346061,3.0,-0.0011704644297330332,0.13824581436451636,255213,864691135375745736,L2IT
864691135468547212,117,33,64,0.9839319470699432,11.216803168322649,10,12.0,0.045454545454545456,0.7609474018345385,0.3576599805392749,0.6096958939997451,0.2191206283894004,0.24705548643990327,0.48889314166198555,0.8014434245356015,0.6247010687946545,0.8836304886412784,0.8677045668892409,0.801232637801053,0.3905752656103447,0.2520359134604702,0.36264040755984184,0.23094087014270573,0.006798048681468733,0.224142821461237,3.0,0.05194859437714417,0.17899227576556154,256313,864691135499767059,L2IT
